mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
356	356	2845/2	4.0	-1	2/2	1	0						357
357	357	2853/2	4.0	-1	2/2	1	0				line		358
358	358	2861/2	4.0	-1	2/2	1	0						359
359	359	2869/2	4.0	-1	2/2	1	0						360
360	360	2877/2	4.0	-1	2/2	1	0				line		361
361	361	2885/2	4.0	-1	2/2	1	0						362
362	362	2893/2	4.0	-1	2/2	1	0						363
363	363	2901/2	4.0	-1	2/2	1	0						364
364	364	2909/2	4.0	-1	2/2	1	0				line		365
365	365	2917/2	4.0	-1	2/2	1	0						366
366	366	2925/2	4.0	-1	2/2	1	0						367
367	367	2933/2	4.0	-1	2/2	1	0						368
368	368	2941/2	4.0	-1	2/2	1	0				line		369
369	369	2949/2	4.0	-1	2/2	1	0						370
370	370	2957/2	4.0	-1	2/2	1	0						371
371	371	2965/2	4.0	-1	2/2	1	0						372
372	372	2973/2	4.0	-1	2/2	1	0						373
373	373	2981/2	4.0	-1	2/2	1	0						374
374	374	2989/2	4.0	-1	2/2	1	0					lastMeasure	-1
