mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
6	6	6	6a	20	20	4.0	0	0	2/2	13	1	1			1	1		-4	68	Ab4	4	15
6	6	6	6a	20	20	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	15
6	6	6	6a	22	22	2.0	1/2	1/2	2/2	14	2	1/2			1/2	1		-1	29	F1	1	17
7	7	7	7a	24	24	4.0	0	0	2/2	14	1	1			1	1		-1	41	F2	2	19
7	7	7	7a	24	24	4.0	0	0	2/2	14	1	1			1	1		0	48	C3	3	19
7	7	7	7a	24	24	4.0	0	0	2/2	14	1	1			1	1		2	50	D3	3	19
7	7	7	7a	24	24	4.0	0	0	2/2	14	1	1			1	1		-4	56	Ab3	3	19
7	7	7	7a	24	24	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	18
7	7	7	7a	24	24	4.0	0	0	2/2	13	1	1			1	1		2	62	D4	4	18
7	7	7	7a	24	24	4.0	0	0	2/2	13	1	1			1	1		-1	65	F4	4	18
7	7	7	7a	24	24	4.0	0	0	2/2	13	1	1			1	1		-4	68	Ab4	4	18
7	7	7	7a	24	24	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	18
7	7	7	7a	26	26	2.0	1/2	1/2	2/2	14	2	1/2			1/2	1		-1	29	F1	1	20
8	8	8	8a	28	28	4.0	0	0	2/2	14	1	1			1	1		-1	41	F2	2	25
8	8	8	8a	28	28	4.0	0	0	2/2	14	1	1			1	1		0	48	C3	3	25
8	8	8	8a	28	28	4.0	0	0	2/2	14	1	1			1	1		-5	49	Db3	3	25
8	8	8	8a	28	28	4.0	0	0	2/2	14	1	1			1	1		-4	56	Ab3	3	25
8	8	8	8a	28	28	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	21
8	8	8	8a	28	28	4.0	0	0	2/2	13	1	1			1	1		-5	61	Db4	4	21
8	8	8	8a	28	28	4.0	0	0	2/2	13	1	1			1	1		-1	65	F4	4	21
8	8	8	8a	28	28	4.0	0	0	2/2	13	1	1			1	1		-4	68	Ab4	4	21
8	8	8	8a	28	28	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	21
8	8	8	8a	29	29	1.0	1/4	1/4	2/2	14	2	1/4			1/4	1		-4	32	Ab1	1	27
8	8	8	8a	29	29	1.0	1/4	1/4	2/2	14	2	1/4			1/4	1		-4	44	Ab2	2	27
8	8	8	8a	29	29	1.0	1/4	1/4	2/2	13	2	1/4			1/4	1		-4	56	Ab3	3	22
8	8	8	8a	30	30	1.0	1/2	1/2	2/2	14	2	1/4			1/4	1		-1	29	F1	1	28
8	8	8	8a	30	30	1.0	1/2	1/2	2/2	14	2	1/4			1/4	1		-1	41	F2	2	28
8	8	8	8a	30	30	1.0	1/2	1/2	2/2	13	2	1/4			1/4	1		-1	53	F3	3	23
8	8	8	8a	31	31	1.0	3/4	3/4	2/2	14	2	1/4			1/4	1		1	31	G1	1	29
8	8	8	8a	31	31	1.0	3/4	3/4	2/2	14	2	1/4			1/4	1		1	43	G2	2	29
8	8	8	8a	31	31	1.0	3/4	3/4	2/2	13	2	1/4			1/4	1		1	55	G3	3	24
8	8	8	8a	32	32	0.5	1	1	2/2	14	1	1/8			1/8	1		1	43	G2	2	26
8	8	8	8a	32	32	0.5	1	1	2/2	14	1	1/8			1/8	1		0	48	C3	3	26
8	8	8	8a	32	32	0.5	1	1	2/2	14	1	1/8			1/8	1		-3	51	Eb3	3	26
8	8	8	8a	32	32	0.5	1	1	2/2	14	1	1/8			1/8	1		1	55	G3	3	26
9	9	9	9a	65/2	65/2	0.0	0	0	2/2	14	2	0	acciaccatura		1/8	1		1	43	G2	2	47
9	9	9	9a	65/2	65/2	0.0	0	0	2/2	14	2	0	acciaccatura		1/8	1		0	48	C3	3	47
9	9	9	9a	65/2	65/2	0.0	0	0	2/2	14	2	0	acciaccatura		1/8	1		-3	51	Eb3	3	47
9	9	9	9a	65/2	65/2	0.0	0	0	2/2	14	2	0	acciaccatura		1/8	1		1	55	G3	3	47
9	9	9	9a	65/2	65/2	0.25	0	0	2/2	14	1	1/16			1/8	1/2		0	24	C1	1	31
9	9	9	9a	65/2	65/2	0.25	0	0	2/2	14	1	1/16			1/8	1/2		0	36	C2	2	31
9	9	9	9a	65/2	65/2	0.5	0	0	2/2	14	2	1/8			1/8	1		-3	51	Eb3	3	48
9	9	9	9a	65/2	65/2	4.0	0	0	2/2	13	1	1			1	1		0	60	C4	4	30
9	9	9	9a	65/2	65/2	4.0	0	0	2/2	13	1	1			1	1		-3	63	Eb4	4	30
9	9	9	9a	65/2	65/2	4.0	0	0	2/2	13	1	1			1	1		1	67	G4	4	30
9	9	9	9a	65/2	65/2	4.0	0	0	2/2	13	1	1			1	1		0	72	C5	5	30
9	9	9	9a	131/4	131/4	0.25	1/16	1/16	2/2	14	1	1/16			1/8	1/2		1	43	G2	2	32
9	9	9	9a	33	33	0.25	1/8	1/8	2/2	14	1	1/16			1/8	1/2		0	48	C3	3	33
9	9	9	9a	133/4	133/4	0.25	3/16	3/16	2/2	14	1	1/16			1/8	1/2		-3	51	Eb3	3	34
9	9	9	9a	67/2	67/2	0.25	1/4	1/4	2/2	14	1	1/16			1/8	1/2		-4	56	Ab3	3	35
9	9	9	9a	135/4	135/4	0.25	5/16	5/16	2/2	14	1	1/16			1/8	1/2		1	55	G3	3	36
9	9	9	9a	34	34	0.25	3/8	3/8	2/2	14	1	1/16			1/8	1/2		0	60	C4	4	37
9	9	9	9a	137/4	137/4	0.25	7/16	7/16	2/2	14	1	1/16			1/8	1/2		-3	63	Eb4	4	38
9	9	9	9a	69/2	69/2	0.25	1/2	1/2	2/2	14	1	1/16			1/8	1/2		1	43	G2	2	39
9	9	9	9a	139/4	139/4	0.25	9/16	9/16	2/2	14	1	1/16			1/8	1/2		0	48	C3	3	40
9	9	9	9a	35	35	0.25	5/8	5/8	2/2	14	1	1/16			1/8	1/2		-3	51	Eb3	3	41
9	9	9	9a	141/4	141/4	0.25	11/16	11/16	2/2	14	1	1/16			1/8	1/2		1	55	G3	3	42
9	9	9	9a	71/2	71/2	0.25	3/4	3/4	2/2	14	1	1/16			1/8	1/2		2	62	D4	4	43
9	9	9	9a	143/4	143/4	0.25	13/16	13/16	2/2	14	1	1/16			1/8	1/2		0	60	C4	4	44
9	9	9	9a	36	36	0.25	7/8	7/8	2/2	14	1	1/16			1/8	1/2		-3	63	Eb4	4	45
9	9	9	9a	145/4	145/4	0.25	15/16	15/16	2/2	14	1	1/16			1/8	1/2		1	67	G4	4	46
10	10	10	10a	73/2	73/2	0.2222222222222222	0	0	2/2	14	1	1/18			1/8	4/9		0	24	C1	1	49
10	10	10	10a	661/18	661/18	0.2222222222222222	1/18	1/18	2/2	14	1	1/18			1/8	4/9		0	36	C2	2	50
10	10	10	10a	665/18	665/18	0.2222222222222222	1/9	1/9	2/2	14	1	1/18			1/8	4/9		1	43	G2	2	51
10	10	10	10a	223/6	223/6	0.2222222222222222	1/6	1/6	2/2	14	1	1/18			1/8	4/9		0	48	C3	3	52
10	10	10	10a	673/18	673/18	0.2222222222222222	2/9	2/9	2/2	14	1	1/18			1/8	4/9		-3	51	Eb3	3	53
10	10	10	10a	677/18	677/18	0.2222222222222222	5/18	5/18	2/2	14	1	1/18			1/8	4/9		-4	56	Ab3	3	54
10	10	10	10a	227/6	227/6	0.2222222222222222	1/3	1/3	2/2	14	1	1/18			1/8	4/9		1	55	G3	3	55
10	10	10	10a	685/18	685/18	0.2222222222222222	7/18	7/18	2/2	14	1	1/18			1/8	4/9		0	60	C4	4	56
10	10	10	10a	689/18	689/18	0.2222222222222222	4/9	4/9	2/2	14	1	1/18			1/8	4/9		-3	63	Eb4	4	57
10	10	10	10a	77/2	77/2	0.25	1/2	1/2	2/2	14	1	1/16			1/8	1/2		1	43	G2	2	58
10	10	10	10a	155/4	155/4	0.25	9/16	9/16	2/2	14	1	1/16			1/8	1/2		0	48	C3	3	59
10	10	10	10a	39	39	0.25	5/8	5/8	2/2	14	1	1/16			1/8	1/2		-3	51	Eb3	3	60
10	10	10	10a	157/4	157/4	0.25	11/16	11/16	2/2	14	1	1/16			1/8	1/2		1	55	G3	3	61
10	10	10	10a	79/2	79/2	0.25	3/4	3/4	2/2	14	1	1/16			1/8	1/2		2	62	D4	4	62
10	10	10	10a	159/4	159/4	0.25	13/16	13/16	2/2	14	1	1/16			1/8	1/2		0	60	C4	4	63
10	10	10	10a	40	40	0.25	7/8	7/8	2/2	14	1	1/16			1/8	1/2		-3	63	Eb4	4	64
10	10	10	10a	161/4	161/4	0.25	15/16	15/16	2/2	14	1	1/16			1/8	1/2		1	67	G4	4	65
11	11	11	11a	81/2	81/2	0.2222222222222222	0	0	2/2	14	1	1/18			1/8	4/9		0	24	C1	1	68
11	11	11	11a	81/2	81/2	1.0	0	0	2/2	18	1	1/4			1/4	1		0	36	C2	2	91
11	11	11	11a	81/2	81/2	1.0	0	0	2/2	20	1	1/4			1/4	1		0	36	C2	2	93
11	11	11	11a	81/2	81/2	3.0	0	0	2/2	3	1	3/4			1/2	3/2		0	60	C4	4	66
11	11	11	11a	81/2	81/2	3.0	0	0	2/2	15	1	3/4			1/2	3/2		0	60	C4	4	85
11	11	11	11a	81/2	81/2	3.0	0	0	2/2	16	1	3/4			1/2	3/2		0	60	C4	4	87
11	11	11	11a	81/2	81/2	3.0	0	0	2/2	17	1	3/4			1/2	3/2		0	60	C4	4	89
11	11	11	11a	733/18	733/18	0.2222222222222222	1/18	1/18	2/2	14	1	1/18			1/8	4/9		0	36	C2	2	69
11	11	11	11a	737/18	737/18	0.2222222222222222	1/9	1/9	2/2	14	1	1/18			1/8	4/9		1	43	G2	2	70
11	11	11	11a	247/6	247/6	0.2222222222222222	1/6	1/6	2/2	14	1	1/18			1/8	4/9		0	48	C3	3	71
11	11	11	11a	745/18	745/18	0.2222222222222222	2/9	2/9	2/2	14	1	1/18			1/8	4/9		-3	51	Eb3	3	72
11	11	11	11a	749/18	749/18	0.2222222222222222	5/18	5/18	2/2	14	1	1/18			1/8	4/9		-4	56	Ab3	3	73
11	11	11	11a	251/6	251/6	0.2222222222222222	1/3	1/3	2/2	14	1	1/18			1/8	4/9		1	55	G3	3	74
11	11	11	11a	757/18	757/18	0.2222222222222222	7/18	7/18	2/2	14	1	1/18			1/8	4/9		0	60	C4	4	75
11	11	11	11a	761/18	761/18	0.2222222222222222	4/9	4/9	2/2	14	1	1/18			1/8	4/9		-3	63	Eb4	4	76
11	11	11	11a	85/2	85/2	0.25	1/2	1/2	2/2	14	1	1/16			1/8	1/2		1	31	G1	1	77
11	11	11	11a	85/2	85/2	1.0	1/2	1/2	2/2	20	1	1/4			1/4	1		1	31	G1	1	94
11	11	11	11a	85/2	85/2	1.0	1/2	1/2	2/2	18	1	1/4			1/4	1		1	43	G2	2	92
11	11	11	11a	171/4	171/4	0.25	9/16	9/16	2/2	14	1	1/16			1/8	1/2		1	43	G2	2	78
11	11	11	11a	43	43	0.25	5/8	5/8	2/2	14	1	1/16			1/8	1/2		2	50	D3	3	79
11	11	11	11a	173/4	173/4	0.25	11/16	11/16	2/2	14	1	1/16			1/8	1/2		-1	53	F3	3	80
11	11	11	11a	87/2	87/2	0.25	3/4	3/4	2/2	14	1	1/16			1/8	1/2		0	60	C4	4	81
11	11	11	11a	87/2	87/2	1.0	3/4	3/4	2/2	3	1	1/4			1/4	1		2	62	D4	4	67
11	11	11	11a	87/2	87/2	1.0	3/4	3/4	2/2	15	1	1/4			1/4	1		2	62	D4	4	86
11	11	11	11a	87/2	87/2	1.0	3/4	3/4	2/2	16	1	1/4			1/4	1		2	62	D4	4	88
11	11	11	11a	87/2	87/2	1.0	3/4	3/4	2/2	17	1	1/4			1/4	1		2	62	D4	4	90
11	11	11	11a	175/4	175/4	0.25	13/16	13/16	2/2	14	1	1/16			1/8	1/2		5	59	B3	3	82
11	11	11	11a	44	44	0.25	7/8	7/8	2/2	14	1	1/16			1/8	1/2		2	62	D4	4	83
11	11	11	11a	177/4	177/4	0.25	15/16	15/16	2/2	14	1	1/16			1/8	1/2		1	67	G4	4	84
12	12	12	12a	89/2	89/2	0.2222222222222222	0	0	2/2	14	1	1/18			1/8	4/9		0	24	C1	1	97
12	12	12	12a	89/2	89/2	1.0	0	0	2/2	18	1	1/4			1/4	1		0	36	C2	2	120
12	12	12	12a	89/2	89/2	1.0	0	0	2/2	20	1	1/4			1/4	1		0	36	C2	2	122
12	12	12	12a	89/2	89/2	3.0	0	0	2/2	3	1	3/4			1/2	3/2		0	60	C4	4	95
12	12	12	12a	89/2	89/2	3.0	0	0	2/2	15	1	3/4			1/2	3/2		0	60	C4	4	114
12	12	12	12a	89/2	89/2	3.0	0	0	2/2	16	1	3/4			1/2	3/2		0	60	C4	4	116
12	12	12	12a	89/2	89/2	3.0	0	0	2/2	17	1	3/4			1/2	3/2		0	60	C4	4	118
12	12	12	12a	805/18	805/18	0.2222222222222222	1/18	1/18	2/2	14	1	1/18			1/8	4/9		0	36	C2	2	98
12	12	12	12a	809/18	809/18	0.2222222222222222	1/9	1/9	2/2	14	1	1/18			1/8	4/9		1	43	G2	2	99
