mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0									Moderato	80.0	1.0							
1	1	0	0	0.0	0	0	Dynamic	2/2	13	1	0						pp												
1	1	0	0	0.0	0	0	Spanner	2/2	13	1	0																0		
1	1	0	0	4.0	0	0	Chord	2/2	13	1	1			1	1	0		articTenutoAbove									0		
1	1	0	0	4.0	0	0	Chord	2/2	14	1	1			1	1	1													
1	1	2	2	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	2		articAccentAbove											
2	2	4	4	0.0	0	0	StaffText	2/2	13	1	0								"<i><font size=""12""/>poco a poco cresc.</i>"								0		
2	2	4	4	4.0	0	0	Chord	2/2	13	1	1			1	1	3		articTenutoAbove									0		
2	2	4	4	4.0	0	0	Chord	2/2	14	1	1			1	1	4													
2	2	6	6	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	5		articAccentAbove											
3	3	8	8	4.0	0	0	Chord	2/2	13	1	1			1	1	6		articTenutoAbove									0		
3	3	8	8	4.0	0	0	Chord	2/2	14	1	1			1	1	7													
3	3	10	10	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	8		articAccentAbove											
4	4	12	12	4.0	0	0	Chord	2/2	13	1	1			1	1	9		articTenutoAbove									0		
4	4	12	12	4.0	0	0	Chord	2/2	14	1	1			1	1	10													
4	4	14	14	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	11		articAccentAbove											
5	5	16	16	4.0	0	0	Chord	2/2	13	1	1			1	1	12		articAccentBelow									0		
5	5	16	16	4.0	0	0	Chord	2/2	14	1	1			1	1	13		articAccentAbove											
5	5	18	18	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	14		articAccentAbove											
6	6	20	20	4.0	0	0	Chord	2/2	13	1	1			1	1	15		articAccentBelow									0		
6	6	20	20	4.0	0	0	Chord	2/2	14	1	1			1	1	16		articAccentAbove											
6	6	22	22	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	17		articAccentAbove											
7	7	24	24	4.0	0	0	Chord	2/2	13	1	1			1	1	18		articAccentAbove									0		
7	7	24	24	4.0	0	0	Chord	2/2	14	1	1			1	1	19		articAccentAbove											
7	7	26	26	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	20		articAccentBelow											
8	8	28	28	0.0	0	0	Tempo	2/2	1	1	0									rit.	70.0	1.0							
8	8	30	30	0.0	1/2	1/2	Tempo	2/2	1	1	0									60	60.0	0.0							
8	8	32	32	0.0	1	1	Tempo	2/2	1	1	0									152	152.0	0.0							
8	8	28	28	0.0	0	0	StaffText	2/2	13	1	0								"<i><font size=""12""/>rit.</i>"								0		
8	8	28	28	4.0	0	0	Chord	2/2	13	1	1			1	1	21		articAccentAbove									0		
8	8	32	32	0.0	1	1	Spanner	2/2	13	1	0																		
8	8	29	29	1.0	1/4	1/4	Chord	2/2	13	2	1/4			1/4	1	22		articAccentBelow											
8	8	30	30	1.0	1/2	1/2	Chord	2/2	13	2	1/4			1/4	1	23		articAccentBelow											
8	8	31	31	1.0	3/4	3/4	Chord	2/2	13	2	1/4			1/4	1	24		articAccentBelow											
8	8	28	28	4.0	0	0	Chord	2/2	14	1	1			1	1	25		articAccentAbove											
8	8	31	31	0.0	3/4	3/4	Spanner	2/2	14	1	0														0	0			
8	8	32	32	0.0	1	1	Spanner	2/2	14	1	0																		
8	8	32	32	0.5	1	1	Chord	2/2	14	1	1/8			1/8	1	26		articAccentBelow											
8	8	29	29	1.0	1/4	1/4	Chord	2/2	14	2	1/4			1/4	1	27		articAccentBelow											
8	8	30	30	1.0	1/2	1/2	Chord	2/2	14	2	1/4			1/4	1	28		articAccentBelow											
8	8	31	31	1.0	3/4	3/4	Chord	2/2	14	2	1/4			1/4	1	29		articAccentBelow											
9	9	65/2	65/2	0.0	0	0	Tempo	2/2	1	1	0									atempo	152.0	1.0							
9	9	65/2	65/2	0.0	0	0	Dynamic	2/2	13	1	0						ff												
9	9	65/2	65/2	0.0	0	0	StaffText	2/2	13	1	0								"<i><font size=""12""/>a tempo</i>"										
9	9	65/2	65/2	0.0	0	0	StaffText	2/2	13	1	0								"<i><font size=""12""/>con passione</i>"										
9	9	65/2	65/2	4.0	0	0	Chord	2/2	13	1	1			1	1	30		articAccentAbove											
9	9	65/2	65/2	0.0	0	0	Spanner	2/2	14	1	0														1	1			
9	9	65/2	65/2	0.25	0	0	Chord	2/2	14	1	1/16			1/8	1/2	31		articAccentBelow					0		1	1			
9	9	131/4	131/4	0.0	1/16	1/16	Dynamic	2/2	14	1	0						f						0		1	1			
9	9	131/4	131/4	0.25	1/16	1/16	Chord	2/2	14	1	1/16			1/8	1/2	32							0		1	1			
9	9	33	33	0.25	1/8	1/8	Chord	2/2	14	1	1/16			1/8	1/2	33							0		1	1			
9	9	133/4	133/4	0.25	3/16	3/16	Chord	2/2	14	1	1/16			1/8	1/2	34							0		1	1			
9	9	67/2	67/2	0.25	1/4	1/4	Chord	2/2	14	1	1/16			1/8	1/2	35							0		1	1			
9	9	135/4	135/4	0.25	5/16	5/16	Chord	2/2	14	1	1/16			1/8	1/2	36							0		1	1			
9	9	34	34	0.25	3/8	3/8	Chord	2/2	14	1	1/16			1/8	1/2	37							0		1	1			
9	9	137/4	137/4	0.25	7/16	7/16	Chord	2/2	14	1	1/16			1/8	1/2	38									1	1			
9	9	69/2	69/2	0.0	1/2	1/2	Dynamic	2/2	14	1	0						ff												
9	9	69/2	69/2	0.0	1/2	1/2	Spanner	2/2	14	1	0																		
9	9	69/2	69/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														2	2			
9	9	69/2	69/2	0.25	1/2	1/2	Chord	2/2	14	1	1/16			1/8	1/2	39		articAccentBelow					1		2	2			
9	9	139/4	139/4	0.0	9/16	9/16	Dynamic	2/2	14	1	0						f						1		2	2			
9	9	139/4	139/4	0.25	9/16	9/16	Chord	2/2	14	1	1/16			1/8	1/2	40							1		2	2			
9	9	35	35	0.25	5/8	5/8	Chord	2/2	14	1	1/16			1/8	1/2	41							1		2	2			
9	9	141/4	141/4	0.25	11/16	11/16	Chord	2/2	14	1	1/16			1/8	1/2	42							1		2	2			
9	9	71/2	71/2	0.25	3/4	3/4	Chord	2/2	14	1	1/16			1/8	1/2	43							1		2	2			
9	9	143/4	143/4	0.25	13/16	13/16	Chord	2/2	14	1	1/16			1/8	1/2	44							1		2	2			
9	9	36	36	0.25	7/8	7/8	Chord	2/2	14	1	1/16			1/8	1/2	45							1		2	2			
9	9	145/4	145/4	0.25	15/16	15/16	Chord	2/2	14	1	1/16			1/8	1/2	46									2	2			
9	9	65/2	65/2	0.0	0	0	Chord	2/2	14	2	0	acciaccatura		1/8	1	47									2	2			
9	9	65/2	65/2	0.5	0	0	Chord	2/2	14	2	1/8			1/8	1	48									2	2			
10	10	73/2	73/2	0.0	0	0	Dynamic	2/2	14	1	0						ff												
10	10	73/2	73/2	0.0	0	0	Spanner	2/2	14	1	0																		
10	10	73/2	73/2	0.0	0	0	Spanner	2/2	14	1	0														3	3			
10	10	73/2	73/2	0.2222222222222222	0	0	Chord	2/2	14	1	1/18			1/8	4/9	49		articAccentBelow					2		3	3			
10	10	661/18	661/18	0.0	1/18	1/18	Dynamic	2/2	14	1	0						f						2		3	3			
10	10	661/18	661/18	0.2222222222222222	1/18	1/18	Chord	2/2	14	1	1/18			1/8	4/9	50							2		3	3			
10	10	665/18	665/18	0.2222222222222222	1/9	1/9	Chord	2/2	14	1	1/18			1/8	4/9	51							2		3	3			
10	10	223/6	223/6	0.2222222222222222	1/6	1/6	Chord	2/2	14	1	1/18			1/8	4/9	52							2		3	3			
10	10	673/18	673/18	0.2222222222222222	2/9	2/9	Chord	2/2	14	1	1/18			1/8	4/9	53							2		3	3			
10	10	677/18	677/18	0.2222222222222222	5/18	5/18	Chord	2/2	14	1	1/18			1/8	4/9	54							2		3	3			
10	10	227/6	227/6	0.2222222222222222	1/3	1/3	Chord	2/2	14	1	1/18			1/8	4/9	55							2		3	3			
10	10	685/18	685/18	0.2222222222222222	7/18	7/18	Chord	2/2	14	1	1/18			1/8	4/9	56							2		3	3			
10	10	689/18	689/18	0.2222222222222222	4/9	4/9	Chord	2/2	14	1	1/18			1/8	4/9	57									3	3			
10	10	77/2	77/2	0.0	1/2	1/2	Dynamic	2/2	14	1	0						ff												
10	10	77/2	77/2	0.0	1/2	1/2	Spanner	2/2	14	1	0																		
10	10	77/2	77/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														4	4			
10	10	77/2	77/2	0.25	1/2	1/2	Chord	2/2	14	1	1/16			1/8	1/2	58		articAccentBelow					3		4	4			
10	10	155/4	155/4	0.0	9/16	9/16	Dynamic	2/2	14	1	0						f						3		4	4			
10	10	155/4	155/4	0.25	9/16	9/16	Chord	2/2	14	1	1/16			1/8	1/2	59							3		4	4			
10	10	39	39	0.25	5/8	5/8	Chord	2/2	14	1	1/16			1/8	1/2	60							3		4	4			
10	10	157/4	157/4	0.25	11/16	11/16	Chord	2/2	14	1	1/16			1/8	1/2	61							3		4	4			
10	10	79/2	79/2	0.25	3/4	3/4	Chord	2/2	14	1	1/16			1/8	1/2	62							3		4	4			
10	10	159/4	159/4	0.25	13/16	13/16	Chord	2/2	14	1	1/16			1/8	1/2	63							3		4	4			
10	10	40	40	0.25	7/8	7/8	Chord	2/2	14	1	1/16			1/8	1/2	64							3		4	4			
10	10	161/4	161/4	0.25	15/16	15/16	Chord	2/2	14	1	1/16			1/8	1/2	65									4	4			
11	11	81/2	81/2	0.0	0	0	Dynamic	2/2	3	1	0						ff												
11	11	81/2	81/2	0.0	0	0	StaffText	2/2	3	1	0								<i/>I.										
11	11	81/2	81/2	3.0	0	0	Chord	2/2	3	1	3/4			1/2	3/2	66		articTenutoBelow					4						
11	11	87/2	87/2	1.0	3/4	3/4	Chord	2/2	3	1	1/4			1/4	1	67													
11	11	81/2	81/2	0.0	0	0	Dynamic	2/2	14	1	0						ff												
11	11	81/2	81/2	0.0	0	0	Spanner	2/2	14	1	0																		
11	11	81/2	81/2	0.0	0	0	Spanner	2/2	14	1	0														5	5			
11	11	81/2	81/2	0.2222222222222222	0	0	Chord	2/2	14	1	1/18			1/8	4/9	68		articAccentBelow					5		5	5			
11	11	733/18	733/18	0.2222222222222222	1/18	1/18	Chord	2/2	14	1	1/18			1/8	4/9	69							5		5	5			
11	11	737/18	737/18	0.2222222222222222	1/9	1/9	Chord	2/2	14	1	1/18			1/8	4/9	70							5		5	5			
11	11	247/6	247/6	0.2222222222222222	1/6	1/6	Chord	2/2	14	1	1/18			1/8	4/9	71							5		5	5			
11	11	745/18	745/18	0.2222222222222222	2/9	2/9	Chord	2/2	14	1	1/18			1/8	4/9	72							5		5	5			
11	11	749/18	749/18	0.2222222222222222	5/18	5/18	Chord	2/2	14	1	1/18			1/8	4/9	73							5		5	5			
11	11	251/6	251/6	0.2222222222222222	1/3	1/3	Chord	2/2	14	1	1/18			1/8	4/9	74							5		5	5			
11	11	757/18	757/18	0.2222222222222222	7/18	7/18	Chord	2/2	14	1	1/18			1/8	4/9	75							5		5	5			
11	11	761/18	761/18	0.2222222222222222	4/9	4/9	Chord	2/2	14	1	1/18			1/8	4/9	76									5	5			
11	11	85/2	85/2	0.0	1/2	1/2	Spanner	2/2	14	1	0																		
11	11	85/2	85/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														6	6			
11	11	85/2	85/2	0.25	1/2	1/2	Chord	2/2	14	1	1/16			1/8	1/2	77		articAccentBelow					6		6	6			
11	11	171/4	171/4	0.25	9/16	9/16	Chord	2/2	14	1	1/16			1/8	1/2	78							6		6	6			
11	11	43	43	0.25	5/8	5/8	Chord	2/2	14	1	1/16			1/8	1/2	79							6		6	6			
11	11	173/4	173/4	0.25	11/16	11/16	Chord	2/2	14	1	1/16			1/8	1/2	80							6		6	6			
11	11	87/2	87/2	0.25	3/4	3/4	Chord	2/2	14	1	1/16			1/8	1/2	81							6		6	6			
11	11	175/4	175/4	0.25	13/16	13/16	Chord	2/2	14	1	1/16			1/8	1/2	82							6		6	6			
11	11	44	44	0.25	7/8	7/8	Chord	2/2	14	1	1/16			1/8	1/2	83							6		6	6			
11	11	177/4	177/4	0.25	15/16	15/16	Chord	2/2	14	1	1/16			1/8	1/2	84									6	6			
11	11	81/2	81/2	0.0	0	0	StaffText	2/2	15	1	0								"<i/><font face=""ScoreText""/><i><font face=""Edwin""/> con passione</i>"										
11	11	81/2	81/2	0.0	0	0	Dynamic	2/2	15	1	0						ff												
11	11	81/2	81/2	3.0	0	0	Chord	2/2	15	1	3/4			1/2	3/2	85		articTenutoBelow					7						
11	11	87/2	87/2	1.0	3/4	3/4	Chord	2/2	15	1	1/4			1/4	1	86													
11	11	81/2	81/2	0.0	0	0	StaffText	2/2	16	1	0								"<i/><font face=""ScoreText""/><i><font face=""Edwin""/> con passione</i>"										
11	11	81/2	81/2	0.0	0	0	Dynamic	2/2	16	1	0						ff												
11	11	81/2	81/2	3.0	0	0	Chord	2/2	16	1	3/4			1/2	3/2	87		articTenutoBelow					8						
11	11	87/2	87/2	1.0	3/4	3/4	Chord	2/2	16	1	1/4			1/4	1	88													
11	11	81/2	81/2	0.0	0	0	Dynamic	2/2	17	1	0						ff												
11	11	81/2	81/2	0.0	0	0	StaffText	2/2	17	1	0								"<i/><font face=""ScoreText""/><i><font face=""Edwin""/> con passione</i>"										
11	11	81/2	81/2	3.0	0	0	Chord	2/2	17	1	3/4			1/2	3/2	89		articTenutoAbove					9						
11	11	87/2	87/2	1.0	3/4	3/4	Chord	2/2	17	1	1/4			1/4	1	90													
11	11	81/2	81/2	0.0	0	0	Dynamic	2/2	18	1	0						ff												
11	11	81/2	81/2	0.0	0	0	StaffText	2/2	18	1	0								pizz.										
11	11	81/2	81/2	1.0	0	0	Chord	2/2	18	1	1/4			1/4	1	91													
11	11	85/2	85/2	1.0	1/2	1/2	Chord	2/2	18	1	1/4			1/4	1	92													
11	11	81/2	81/2	0.0	0	0	Dynamic	2/2	20	1	0						ff												
11	11	81/2	81/2	0.0	0	0	StaffText	2/2	20	1	0								pizz.										
11	11	81/2	81/2	1.0	0	0	Chord	2/2	20	1	1/4			1/4	1	93													
11	11	85/2	85/2	1.0	1/2	1/2	Chord	2/2	20	1	1/4			1/4	1	94													
12	12	89/2	89/2	3.0	0	0	Chord	2/2	3	1	3/4			1/2	3/2	95		articTenutoBelow					10						
12	12	95/2	95/2	1.0	3/4	3/4	Chord	2/2	3	1	1/4			1/4	1	96													
12	12	89/2	89/2	0.0	0	0	Spanner	2/2	14	1	0																		
12	12	89/2	89/2	0.0	0	0	Spanner	2/2	14	1	0														7	7			
12	12	89/2	89/2	0.2222222222222222	0	0	Chord	2/2	14	1	1/18			1/8	4/9	97		articAccentBelow					11		7	7			
12	12	805/18	805/18	0.2222222222222222	1/18	1/18	Chord	2/2	14	1	1/18			1/8	4/9	98							11		7	7			
12	12	809/18	809/18	0.2222222222222222	1/9	1/9	Chord	2/2	14	1	1/18			1/8	4/9	99							11		7	7			
12	12	271/6	271/6	0.2222222222222222	1/6	1/6	Chord	2/2	14	1	1/18			1/8	4/9	100							11		7	7			
12	12	817/18	817/18	0.2222222222222222	2/9	2/9	Chord	2/2	14	1	1/18			1/8	4/9	101							11		7	7			
12	12	821/18	821/18	0.2222222222222222	5/18	5/18	Chord	2/2	14	1	1/18			1/8	4/9	102							11		7	7			
12	12	275/6	275/6	0.2222222222222222	1/3	1/3	Chord	2/2	14	1	1/18			1/8	4/9	103							11		7	7			
12	12	829/18	829/18	0.2222222222222222	7/18	7/18	Chord	2/2	14	1	1/18			1/8	4/9	104							11		7	7			
12	12	833/18	833/18	0.2222222222222222	4/9	4/9	Chord	2/2	14	1	1/18			1/8	4/9	105									7	7			
12	12	93/2	93/2	0.0	1/2	1/2	Spanner	2/2	14	1	0																		
12	12	93/2	93/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														8	8			
12	12	93/2	93/2	0.25	1/2	1/2	Chord	2/2	14	1	1/16			1/8	1/2	106		articAccentBelow					12		8	8			
12	12	187/4	187/4	0.25	9/16	9/16	Chord	2/2	14	1	1/16			1/8	1/2	107							12		8	8			
12	12	47	47	0.25	5/8	5/8	Chord	2/2	14	1	1/16			1/8	1/2	108							12		8	8			
12	12	189/4	189/4	0.25	11/16	11/16	Chord	2/2	14	1	1/16			1/8	1/2	109							12		8	8			
12	12	95/2	95/2	0.25	3/4	3/4	Chord	2/2	14	1	1/16			1/8	1/2	110							12		8	8			
12	12	191/4	191/4	0.25	13/16	13/16	Chord	2/2	14	1	1/16			1/8	1/2	111							12		8	8			
12	12	48	48	0.25	7/8	7/8	Chord	2/2	14	1	1/16			1/8	1/2	112							12		8	8			
12	12	193/4	193/4	0.25	15/16	15/16	Chord	2/2	14	1	1/16			1/8	1/2	113									8	8			
12	12	89/2	89/2	3.0	0	0	Chord	2/2	15	1	3/4			1/2	3/2	114		articTenutoBelow					13						
12	12	95/2	95/2	1.0	3/4	3/4	Chord	2/2	15	1	1/4			1/4	1	115													
12	12	89/2	89/2	3.0	0	0	Chord	2/2	16	1	3/4			1/2	3/2	116		articTenutoBelow					14						
12	12	95/2	95/2	1.0	3/4	3/4	Chord	2/2	16	1	1/4			1/4	1	117													
12	12	89/2	89/2	3.0	0	0	Chord	2/2	17	1	3/4			1/2	3/2	118		articTenutoAbove					15						
12	12	95/2	95/2	1.0	3/4	3/4	Chord	2/2	17	1	1/4			1/4	1	119													
12	12	89/2	89/2	1.0	0	0	Chord	2/2	18	1	1/4			1/4	1	120													
12	12	93/2	93/2	1.0	1/2	1/2	Chord	2/2	18	1	1/4			1/4	1	121													
12	12	89/2	89/2	1.0	0	0	Chord	2/2	20	1	1/4			1/4	1	122													
12	12	93/2	93/2	1.0	1/2	1/2	Chord	2/2	20	1	1/4			1/4	1	123													
13	13	97/2	97/2	3.0	0	0	Chord	2/2	3	1	3/4			1/2	3/2	124		articTenutoBelow					16						
13	13	103/2	103/2	1.0	3/4	3/4	Chord	2/2	3	1	1/4			1/4	1	125							16						
13	13	97/2	97/2	0.0	0	0	Spanner	2/2	14	1	0																		
13	13	97/2	97/2	0.0	0	0	Spanner	2/2	14	1	0														9	9			
13	13	97/2	97/2	0.2222222222222222	0	0	Chord	2/2	14	1	1/18			1/8	4/9	126		articAccentAbove					17		9	9			
13	13	877/18	877/18	0.2222222222222222	1/18	1/18	Chord	2/2	14	1	1/18			1/8	4/9	127							17		9	9			
13	13	881/18	881/18	0.2222222222222222	1/9	1/9	Chord	2/2	14	1	1/18			1/8	4/9	128							17		9	9			
13	13	295/6	295/6	0.2222222222222222	1/6	1/6	Chord	2/2	14	1	1/18			1/8	4/9	129							17		9	9			
13	13	889/18	889/18	0.2222222222222222	2/9	2/9	Chord	2/2	14	1	1/18			1/8	4/9	130							17		9	9			
13	13	893/18	893/18	0.2222222222222222	5/18	5/18	Chord	2/2	14	1	1/18			1/8	4/9	131							17		9	9			
13	13	299/6	299/6	0.2222222222222222	1/3	1/3	Chord	2/2	14	1	1/18			1/8	4/9	132							17		9	9			
13	13	901/18	901/18	0.2222222222222222	7/18	7/18	Chord	2/2	14	1	1/18			1/8	4/9	133							17		9	9			
13	13	905/18	905/18	0.2222222222222222	4/9	4/9	Chord	2/2	14	1	1/18			1/8	4/9	134									9	9			
13	13	101/2	101/2	0.0	1/2	1/2	Spanner	2/2	14	1	0																		
13	13	101/2	101/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														10	10			
13	13	101/2	101/2	0.2222222222222222	1/2	1/2	Chord	2/2	14	1	1/18			1/8	4/9	135		articAccentAbove					18		10	10			
13	13	913/18	913/18	0.2222222222222222	5/9	5/9	Chord	2/2	14	1	1/18			1/8	4/9	136							18		10	10			
13	13	917/18	917/18	0.2222222222222222	11/18	11/18	Chord	2/2	14	1	1/18			1/8	4/9	137							18		10	10			
13	13	307/6	307/6	0.2222222222222222	2/3	2/3	Chord	2/2	14	1	1/18			1/8	4/9	138							18		10	10			
13	13	925/18	925/18	0.2222222222222222	13/18	13/18	Chord	2/2	14	1	1/18			1/8	4/9	139							18		10	10			
13	13	929/18	929/18	0.2222222222222222	7/9	7/9	Chord	2/2	14	1	1/18			1/8	4/9	140							18		10	10			
13	13	311/6	311/6	0.2222222222222222	5/6	5/6	Chord	2/2	14	1	1/18			1/8	4/9	141							18		10	10			
13	13	937/18	937/18	0.2222222222222222	8/9	8/9	Chord	2/2	14	1	1/18			1/8	4/9	142							18		10	10			
13	13	941/18	941/18	0.2222222222222222	17/18	17/18	Chord	2/2	14	1	1/18			1/8	4/9	143									10	10			
13	13	97/2	97/2	3.0	0	0	Chord	2/2	15	1	3/4			1/2	3/2	144		articTenutoBelow					19						
13	13	103/2	103/2	1.0	3/4	3/4	Chord	2/2	15	1	1/4			1/4	1	145													
13	13	97/2	97/2	3.0	0	0	Chord	2/2	16	1	3/4			1/2	3/2	146		articTenutoBelow					20						
13	13	103/2	103/2	1.0	3/4	3/4	Chord	2/2	16	1	1/4			1/4	1	147													
13	13	97/2	97/2	3.0	0	0	Chord	2/2	17	1	3/4			1/2	3/2	148		articTenutoAbove					21						
13	13	103/2	103/2	1.0	3/4	3/4	Chord	2/2	17	1	1/4			1/4	1	149													
13	13	97/2	97/2	1.0	0	0	Chord	2/2	18	1	1/4			1/4	1	150													
13	13	101/2	101/2	1.0	1/2	1/2	Chord	2/2	18	1	1/4			1/4	1	151													
13	13	97/2	97/2	1.0	0	0	Chord	2/2	20	1	1/4			1/4	1	152													
13	13	101/2	101/2	1.0	1/2	1/2	Chord	2/2	20	1	1/4			1/4	1	153													
14	14	105/2	105/2	0.0	0	0	Spanner	2/2	3	1	0												16					0	
14	14	105/2	105/2	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	154							16					0	
14	14	107/2	107/2	1.0	1/4	1/4	Chord	2/2	3	1	1/4			1/4	1	155							16					0	
14	14	109/2	109/2	2.0	1/2	1/2	Chord	2/2	3	1	1/2			1/2	1	156												0	
14	14	105/2	105/2	0.0	0	0	Spanner	2/2	13	1	0																	1	
14	14	109/2	109/2	0.0	1/2	1/2	Dynamic	2/2	13	1	0						f												
14	14	109/2	109/2	0.0	1/2	1/2	Spanner	2/2	13	1	0																		
14	14	105/2	105/2	0.0	0	0	Spanner	2/2	14	1	0																		
14	14	105/2	105/2	0.0	0	0	Spanner	2/2	14	1	0														11	11			
14	14	105/2	105/2	0.2222222222222222	0	0	Chord	2/2	14	1	1/18			1/8	4/9	157		articAccentAbove					22		11	11			
14	14	949/18	949/18	0.2222222222222222	1/18	1/18	Chord	2/2	14	1	1/18			1/8	4/9	158							22		11	11			
14	14	953/18	953/18	0.2222222222222222	1/9	1/9	Chord	2/2	14	1	1/18			1/8	4/9	159							22		11	11			
14	14	319/6	319/6	0.2222222222222222	1/6	1/6	Chord	2/2	14	1	1/18			1/8	4/9	160							22		11	11			
14	14	961/18	961/18	0.2222222222222222	2/9	2/9	Chord	2/2	14	1	1/18			1/8	4/9	161							22		11	11			
14	14	965/18	965/18	0.2222222222222222	5/18	5/18	Chord	2/2	14	1	1/18			1/8	4/9	162							22		11	11			
14	14	323/6	323/6	0.2222222222222222	1/3	1/3	Chord	2/2	14	1	1/18			1/8	4/9	163							22		11	11			
14	14	973/18	973/18	0.2222222222222222	7/18	7/18	Chord	2/2	14	1	1/18			1/8	4/9	164							22		11	11			
14	14	977/18	977/18	0.2222222222222222	4/9	4/9	Chord	2/2	14	1	1/18			1/8	4/9	165									11	11			
14	14	109/2	109/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														12	12			
14	14	109/2	109/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														12	12			
14	14	109/2	109/2	0.2222222222222222	1/2	1/2	Chord	2/2	14	1	1/18			1/8	4/9	166		articAccentAbove					23		12	12			
14	14	985/18	985/18	0.2222222222222222	5/9	5/9	Chord	2/2	14	1	1/18			1/8	4/9	167							23		12	12			
14	14	989/18	989/18	0.2222222222222222	11/18	11/18	Chord	2/2	14	1	1/18			1/8	4/9	168							23		12	12			
14	14	331/6	331/6	0.2222222222222222	2/3	2/3	Chord	2/2	14	1	1/18			1/8	4/9	169							23		12	12			
14	14	997/18	997/18	0.2222222222222222	13/18	13/18	Chord	2/2	14	1	1/18			1/8	4/9	170							23		12	12			
14	14	1001/18	1001/18	0.2222222222222222	7/9	7/9	Chord	2/2	14	1	1/18			1/8	4/9	171							23		12	12			
14	14	335/6	335/6	0.2222222222222222	5/6	5/6	Chord	2/2	14	1	1/18			1/8	4/9	172							23		12	12			
14	14	1009/18	1009/18	0.2222222222222222	8/9	8/9	Chord	2/2	14	1	1/18			1/8	4/9	173							23		12	12			
14	14	1013/18	1013/18	0.2222222222222222	17/18	17/18	Chord	2/2	14	1	1/18			1/8	4/9	174									12	12			
14	14	105/2	105/2	0.0	0	0	Spanner	2/2	15	1	0																	2	
14	14	105/2	105/2	1.0	0	0	Chord	2/2	15	1	1/4			1/4	1	175							24					2	
14	14	107/2	107/2	1.0	1/4	1/4	Chord	2/2	15	1	1/4			1/4	1	176												2	
14	14	109/2	109/2	2.0	1/2	1/2	Chord	2/2	15	1	1/2			1/2	1	177												2	
14	14	105/2	105/2	0.0	0	0	Spanner	2/2	16	1	0																	3	
14	14	105/2	105/2	1.0	0	0	Chord	2/2	16	1	1/4			1/4	1	178							25					3	
14	14	107/2	107/2	1.0	1/4	1/4	Chord	2/2	16	1	1/4			1/4	1	179												3	
14	14	109/2	109/2	2.0	1/2	1/2	Chord	2/2	16	1	1/2			1/2	1	180												3	
14	14	105/2	105/2	0.0	0	0	Spanner	2/2	17	1	0																	4	
14	14	105/2	105/2	1.0	0	0	Chord	2/2	17	1	1/4			1/4	1	181							26					4	
14	14	107/2	107/2	1.0	1/4	1/4	Chord	2/2	17	1	1/4			1/4	1	182												4	
14	14	109/2	109/2	2.0	1/2	1/2	Chord	2/2	17	1	1/2			1/2	1	183												4	
14	14	105/2	105/2	1.0	0	0	Chord	2/2	18	1	1/4			1/4	1	184													
14	14	109/2	109/2	1.0	1/2	1/2	Chord	2/2	18	1	1/4			1/4	1	185													
14	14	105/2	105/2	1.0	0	0	Chord	2/2	20	1	1/4			1/4	1	186													
14	14	109/2	109/2	1.0	1/2	1/2	Chord	2/2	20	1	1/4			1/4	1	187													
15	15	113/2	113/2	0.0	0	0	Dynamic	2/2	3	1	0						mf												
15	15	113/2	113/2	0.0	0	0	Spanner	2/2	3	1	0																		
15	15	113/2	113/2	0.0	0	0	Spanner	2/2	3	1	0																1		
15	15	113/2	113/2	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	188							27				1		
15	15	115/2	115/2	1.0	1/4	1/4	Chord	2/2	3	1	1/4			1/4	1	189							27				1		
15	15	117/2	117/2	0.0	1/2	1/2	Dynamic	2/2	3	1	0						f						27						
15	15	117/2	117/2	0.0	1/2	1/2	Spanner	2/2	3	1	0												27						
15	15	117/2	117/2	1.0	1/2	1/2	Chord	2/2	3	1	1/4			1/4	1	190							27						
15	15	119/2	119/2	1.0	3/4	3/4	Chord	2/2	3	1	1/4			1/4	1	191							27						
15	15	117/2	117/2	2.0	1/2	1/2	Chord	2/2	3	2	1/2			1/2	1	192							28						
15	15	117/2	117/2	0.0	1/2	1/2	Dynamic	2/2	5	1	0						f												
