piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	audioComUrl	subtitle	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus	staff_7_instrument	staff_7_ambitus	staff_8_instrument	staff_8_ambitus	staff_9_instrument	staff_9_ambitus	staff_10_instrument	staff_10_ambitus	staff_11_instrument	staff_11_ambitus	staff_12_instrument	staff_12_ambitus	staff_13_instrument	staff_13_ambitus	staff_14_instrument	staff_14_ambitus	staff_15_instrument	staff_15_ambitus	staff_16_instrument	staff_16_ambitus	staff_17_instrument	staff_17_ambitus	staff_18_instrument	staff_18_ambitus	staff_19_instrument	staff_19_ambitus	staff_20_instrument	staff_20_ambitus	staff_21_instrument	staff_21_ambitus	staff_22_instrument	staff_22_ambitus	staff_23_instrument	staff_23_ambitus	staff_24_instrument	staff_24_ambitus	staff_25_instrument	staff_25_ambitus
Bruckner_WAB.105_3a_Scherzo	1: 3/4	1: 0	382	382	1146.0	382	382	1146.0	13097.0	10305	1545	0	0	0	Bruckner, Anton	Symphony No. 5 in B-flat major	3(a)	Scherzo. Molto vivace (schnell)	WAB.105			Score: CC0 1.0 Universal; Annotations: CC-By-SA			IMSLP #562139		4.4.1	2.6.0.post1.dev1+ga429209ac.d20260201	.	./Bruckner_WAB.105_3a_Scherzo.mscz	False	28-93 (E1-A6)			Flöte	74-93 (D5-A6)	Flöte	74-93 (D5-A6)	Oboe	62-87 (D4-Eb6)	Oboe	62-87 (D4-Eb6)	Klarinette in B	57-87 (A3-Eb6)	Klarinette in B	56-87 (Ab3-Eb6)	Fagott	40-71 (E2-B4)	Fagott	38-71 (D2-B4)	Horn in F	50-74 (D3-D5)	Horn in F	52-74 (E3-D5)	Horn in F	46-72 (Bb2-C5)	Horn in F	46-72 (Bb2-C5)	Trumpet	60-81 (C4-A5)	Trumpet	60-79 (C4-G5)	Trumpet	56-80 (Ab3-G#5)	Altposaune	52-69 (E3-A4)	Tenorposaune	52-69 (E3-A4)	Bassposaune	40-65 (E2-F4)	Bass Tuba in F	40-62 (E2-D4)	Pauke	40-50 (E2-D3)	Violin	55-93 (G3-A6)	Violin	55-89 (G3-F6)	Viola	48-81 (C3-A5)	Violoncello	36-69 (C2-A4)	Contrabass	28-57 (E1-A3)
Bruckner_WAB.105_3b_Trio	1: 2/4	1: 0	148	148	296.0	296	296	592.0	1563.5	1368	400	0	0	0	Bruckner, Anton	Symphony No. 5 in B-flat major	3(b)	Trio. Im gleichen Tempo	WAB.105			Score: CC0 1.0 Universal; Annotations: CC-By-SA			IMSLP #562139		4.4.1	2.6.0.post1.dev1+ga429209ac.d20260201	.	./Bruckner_WAB.105_3b_Trio.mscz	False	29-91 (F1-G6)			Flöte	79-91 (G5-G6)	Flöte	77-85 (F5-Db6)	Oboe	60-81 (C4-A5)	Oboe	63-74 (Eb4-D5)	Klarinette in B	58-82 (Bb3-Bb5)	Klarinette in B	58-75 (Bb3-Eb5)	Fagott	56-62 (Ab3-D4)	Fagott	49-62 (Db3-D4)	Horn in F	60-72 (C4-C5)	Horn in F	60-70 (C4-Bb4)	Horn in F	53-69 (F3-A4)	Horn in F	57-69 (A3-A4)	Trumpet	73-76 (Db5-E5)	Trumpet	70-73 (Bb4-C#5)	Trumpet	61-64 (Db4-E4)	Alto Trombone	58-69 (Bb3-A4)	Tenorposaune	48-57 (C3-A3)	Bassposaune	42-57 (Gb2-A3)	Bass Tuba in F		Pauke		Violin	63-90 (Eb4-Gb6)	Violin	59-87 (B3-Eb6)	Viola	54-75 (F#3-Eb5)	Violoncello	43-66 (G2-Gb4)	Contrabass	29-48 (F1-C3)
