mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
77	77	77	77a	153	153	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		-3	63	Eb4	4	774
77	77	77	77a	153	153	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		-7	71	Cb5	5	770
77	77	77	77a	153	153	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		-7	83	Cb6	6	765
77	77	77	77a	307/2	307/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		-4	68	Ab4	4	771
77	77	77	77a	307/2	307/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		-4	80	Ab5	5	766
78	78	78	78a	154	154	1.0	0	0	2/4	25	1	1/4	1/4	1		-2	34	Bb1	1	784
78	78	78	78a	154	154	2.0	0	0	2/4	24	1	1/2	1/2	1		-8	64	Fb4	4	783
78	78	78	78a	154	154	2.0	0	0	2/4	23	1	1/2	1/2	1	1	-6	66	Gb4	4	782
78	78	78	78a	154	154	0.5	0	0	2/4	22	1	1/8	1/8	1		-3	75	Eb5	5	778
78	78	78	78a	154	154	2.0	0	0	2/4	21	1	1/2	1/2	1	1	-6	78	Gb5	5	777
78	78	78	78a	309/2	309/2	0.5	1/8	1/8	2/4	22	1	1/8	1/8	1		-5	73	Db5	5	779
78	78	78	78a	155	155	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-6	42	Gb2	2	785
78	78	78	78a	155	155	0.5	1/4	1/4	2/4	22	1	1/8	1/8	1		-7	71	Cb5	5	780
78	78	78	78a	311/2	311/2	0.5	3/8	3/8	2/4	22	1	1/8	1/8	1		-5	73	Db5	5	781
79	79	79	79a	156	156	1.0	0	0	2/4	25	1	1/4	1/4	1		-7	35	Cb2	2	801
79	79	79	79a	156	156	0.5	0	0	2/4	24	1	1/8	1/8	1		-6	54	Gb3	3	798
79	79	79	79a	156	156	2.0	0	0	2/4	11	1	1/2	1/2	1	1	-6	54	Gb3	3	788
79	79	79	79a	156	156	2.0	0	0	2/4	10	1	1/2	1/2	1	1	-3	63	Eb4	4	787
79	79	79	79a	156	156	0.5	0	0	2/4	23	1	1/8	1/8	1	-1	-6	66	Gb4	4	794
79	79	79	79a	156	156	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	786
79	79	79	79a	156	156	2.0	0	0	2/4	22	1	1/2	1/2	1	1	-3	75	Eb5	5	793
79	79	79	79a	156	156	0.5	0	0	2/4	21	1	1/8	1/8	1	-1	-6	78	Gb5	5	789
79	79	79	79a	313/2	313/2	0.5	1/8	1/8	2/4	24	1	1/8	1/8	1		-6	66	Gb4	4	799
79	79	79	79a	313/2	313/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		-3	75	Eb5	5	795
79	79	79	79a	313/2	313/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		-3	87	Eb6	6	790
79	79	79	79a	157	157	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-6	42	Gb2	2	802
79	79	79	79a	157	157	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1	1	-3	63	Eb4	4	800
79	79	79	79a	157	157	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		-7	71	Cb5	5	796
79	79	79	79a	157	157	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		-7	83	Cb6	6	791
79	79	79	79a	315/2	315/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		-4	68	Ab4	4	797
79	79	79	79a	315/2	315/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		-4	80	Ab5	5	792
80	80	80	80a	158	158	1.0	0	0	2/4	25	1	1/4	1/4	1		-7	35	Cb2	2	818
80	80	80	80a	158	158	2.0	0	0	2/4	11	1	1/2	1/2	1	-1	-6	54	Gb3	3	805
80	80	80	80a	158	158	0.5	0	0	2/4	24	1	1/8	1/8	1	-1	-3	63	Eb4	4	815
80	80	80	80a	158	158	2.0	0	0	2/4	10	1	1/2	1/2	1	0	-3	63	Eb4	4	804
80	80	80	80a	158	158	0.5	0	0	2/4	23	1	1/8	1/8	1		-6	66	Gb4	4	811
80	80	80	80a	158	158	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	803
80	80	80	80a	158	158	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-3	75	Eb5	5	810
80	80	80	80a	158	158	0.5	0	0	2/4	21	1	1/8	1/8	1		-6	78	Gb5	5	806
80	80	80	80a	317/2	317/2	0.5	1/8	1/8	2/4	24	1	1/8	1/8	1		-6	66	Gb4	4	816
80	80	80	80a	317/2	317/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		-3	75	Eb5	5	812
80	80	80	80a	317/2	317/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		-3	87	Eb6	6	807
80	80	80	80a	159	159	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-6	42	Gb2	2	819
80	80	80	80a	159	159	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1	1	-3	63	Eb4	4	817
80	80	80	80a	159	159	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		-7	71	Cb5	5	813
80	80	80	80a	159	159	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		-7	83	Cb6	6	808
80	80	80	80a	319/2	319/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		-4	68	Ab4	4	814
80	80	80	80a	319/2	319/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		-4	80	Ab5	5	809
81	81	81	81a	160	160	1.0	0	0	2/4	25	1	1/4	1/4	1		-2	34	Bb1	1	834
81	81	81	81a	160	160	0.5	0	0	2/4	24	1	1/8	1/8	1	-1	-3	63	Eb4	4	831
81	81	81	81a	160	160	2.0	0	0	2/4	10	1	1/2	1/2	1	0	-3	63	Eb4	4	821
81	81	81	81a	160	160	0.5	0	0	2/4	23	1	1/8	1/8	1		-6	66	Gb4	4	827
81	81	81	81a	160	160	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	820
81	81	81	81a	160	160	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-3	75	Eb5	5	826
81	81	81	81a	160	160	0.5	0	0	2/4	21	1	1/8	1/8	1		-6	78	Gb5	5	822
81	81	81	81a	321/2	321/2	0.5	1/8	1/8	2/4	24	1	1/8	1/8	1		-6	66	Gb4	4	832
81	81	81	81a	321/2	321/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		-3	75	Eb5	5	828
81	81	81	81a	321/2	321/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		-3	87	Eb6	6	823
81	81	81	81a	161	161	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-6	42	Gb2	2	835
81	81	81	81a	161	161	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1	1	-3	63	Eb4	4	833
81	81	81	81a	161	161	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		-7	71	Cb5	5	829
81	81	81	81a	161	161	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		-7	83	Cb6	6	824
81	81	81	81a	323/2	323/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		-4	68	Ab4	4	830
81	81	81	81a	323/2	323/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		-4	80	Ab5	5	825
82	82	82	82a	162	162	1.0	0	0	2/4	25	1	1/4	1/4	1		3	33	A1	1	842
82	82	82	82a	162	162	1.0	0	0	2/4	10	1	1/4	1/4	1	-1	-3	63	Eb4	4	837
82	82	82	82a	162	162	1.0	0	0	2/4	24	1	1/4	1/4	1	-1	-3	63	Eb4	4	841
82	82	82	82a	162	162	1.0	0	0	2/4	23	1	1/4	1/4	1		-6	66	Gb4	4	840
82	82	82	82a	162	162	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	836
82	82	82	82a	162	162	1.0	0	0	2/4	22	1	1/4	1/4	1	-1	-3	75	Eb5	5	839
82	82	82	82a	162	162	1.0	0	0	2/4	21	1	1/4	1/4	1		-6	78	Gb5	5	838
82	82	82	82a	163	163	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-6	42	Gb2	2	843
83	83	83	83a	164	164	1.0	0	0	2/4	25	1	1/4	1/4	1		-4	32	Ab1	1	845
83	83	83	83a	164	164	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	844
83	83	83	83a	165	165	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-6	42	Gb2	2	846
84	84	84	84a	166	166	1.0	0	0	2/4	25	1	1/4	1/4	1		-11	31	Abb1	1	848
84	84	84	84a	166	166	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	847
84	84	84	84a	167	167	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-6	42	Gb2	2	849
85	85	85	85a	168	168	1.0	0	0	2/4	25	1	1/4	1/4	1		-6	30	Gb1	1	851
85	85	85	85a	168	168	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	850
85	85	85	85a	169	169	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-6	42	Gb2	2	852
86	86	86	86a	170	170	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	853
87	87	87	87a	172	172	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	854
88	88	88	88a	174	174	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	858
88	88	88	88a	175	175	1.0	1/4	1/4	2/4	3	1	1/4	1/4	1	1	-2	70	Bb4	4	856
88	88	88	88a	175	175	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1	1	-2	70	Bb4	4	857
88	88	88	88a	175	175	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5	855
89	89	89	89a	176	176	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	864
89	89	89	89a	176	176	1.0	0	0	2/4	5	1	1/4	1/4	1	-1	-2	70	Bb4	4	862
89	89	89	89a	176	176	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	861
89	89	89	89a	176	176	1.0	0	0	2/4	1	1	1/4	1/4	1	-1	-2	82	Bb5	5	859
89	89	89	89a	177	177	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		0	72	C5	5	863
89	89	89	89a	177	177	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		0	84	C6	6	860
90	90	90	90a	178	178	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	870
90	90	90	90a	178	178	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	867
90	90	90	90a	178	178	1.0	0	0	2/4	5	1	1/4	1/4	1		2	74	D5	5	868
90	90	90	90a	178	178	1.0	0	0	2/4	1	1	1/4	1/4	1		2	86	D6	6	865
90	90	90	90a	179	179	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	871
90	90	90	90a	179	179	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		-3	75	Eb5	5	869
90	90	90	90a	179	179	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		-3	87	Eb6	6	866
91	91	91	91a	180	180	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	879
91	91	91	91a	180	180	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	875
91	91	91	91a	180	180	1.0	0	0	2/4	5	1	1/4	1/4	1		-1	77	F5	5	876
91	91	91	91a	180	180	1.0	0	0	2/4	1	1	1/4	1/4	1		-1	89	F6	6	872
91	91	91	91a	181	181	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	880
91	91	91	91a	181	181	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	877
91	91	91	91a	181	181	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	873
91	91	91	91a	363/2	363/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		2	74	D5	5	878
91	91	91	91a	363/2	363/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	874
92	92	92	92a	182	182	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	884
92	92	92	92a	182	182	1.0	0	0	2/4	3	1	1/4	1/4	1		3	69	A4	4	882
92	92	92	92a	182	182	1.0	0	0	2/4	5	1	1/4	1/4	1		0	72	C5	5	883
92	92	92	92a	182	182	1.0	0	0	2/4	1	1	1/4	1/4	1		0	84	C6	6	881
93	93	93	93a	184	184	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	885
94	94	94	94a	186	186	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	889
94	94	94	94a	187	187	1.0	1/4	1/4	2/4	3	1	1/4	1/4	1	1	-2	70	Bb4	4	887
94	94	94	94a	187	187	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1	1	-2	70	Bb4	4	888
94	94	94	94a	187	187	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5	886
95	95	95	95a	188	188	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	895
95	95	95	95a	188	188	1.0	0	0	2/4	5	1	1/4	1/4	1	-1	-2	70	Bb4	4	893
95	95	95	95a	188	188	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	892
95	95	95	95a	188	188	1.0	0	0	2/4	1	1	1/4	1/4	1	-1	-2	82	Bb5	5	890
95	95	95	95a	189	189	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		0	72	C5	5	894
95	95	95	95a	189	189	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		0	84	C6	6	891
96	96	96	96a	190	190	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	901
96	96	96	96a	190	190	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	898
96	96	96	96a	190	190	1.0	0	0	2/4	5	1	1/4	1/4	1		2	74	D5	5	899
96	96	96	96a	190	190	1.0	0	0	2/4	1	1	1/4	1/4	1		2	86	D6	6	896
96	96	96	96a	191	191	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	902
96	96	96	96a	191	191	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		-3	75	Eb5	5	900
96	96	96	96a	191	191	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		-3	87	Eb6	6	897
97	97	97	97a	192	192	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	912
97	97	97	97a	192	192	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	907
97	97	97	97a	192	192	0.5	0	0	2/4	5	1	1/8	1/8	1		1	79	G5	5	908
97	97	97	97a	192	192	0.5	0	0	2/4	1	1	1/8	1/8	1		1	91	G6	6	903
97	97	97	97a	385/2	385/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-1	77	F5	5	909
97	97	97	97a	385/2	385/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		-1	89	F6	6	904
97	97	97	97a	193	193	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	913
97	97	97	97a	193	193	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	910
97	97	97	97a	193	193	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	905
97	97	97	97a	387/2	387/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		2	74	D5	5	911
97	97	97	97a	387/2	387/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	906
98	98	98	98a	194	194	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	917
98	98	98	98a	194	194	1.0	0	0	2/4	3	1	1/4	1/4	1		3	69	A4	4	915
98	98	98	98a	194	194	1.0	0	0	2/4	5	1	1/4	1/4	1		0	72	C5	5	916
98	98	98	98a	194	194	1.0	0	0	2/4	1	1	1/4	1/4	1		0	84	C6	6	914
99	99	99	99a	196	196	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	918
100	100	100	100a	198	198	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	922
100	100	100	100a	199	199	1.0	1/4	1/4	2/4	3	1	1/4	1/4	1	1	-2	70	Bb4	4	920
100	100	100	100a	199	199	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		-2	70	Bb4	4	921
100	100	100	100a	199	199	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5	919
101	101	101	101a	200	200	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	932
101	101	101	101a	200	200	0.5	0	0	2/4	5	1	1/8	1/8	1		-2	70	Bb4	4	928
101	101	101	101a	200	200	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	927
101	101	101	101a	200	200	0.5	0	0	2/4	1	1	1/8	1/8	1	-1	-2	82	Bb5	5	923
101	101	101	101a	401/2	401/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		0	72	C5	5	929
101	101	101	101a	401/2	401/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		0	84	C6	6	924
101	101	101	101a	201	201	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		2	74	D5	5	930
101	101	101	101a	201	201	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		2	86	D6	6	925
101	101	101	101a	403/2	403/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	931
101	101	101	101a	403/2	403/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	926
102	102	102	102a	202	202	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	939
102	102	102	102a	202	202	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	934
102	102	102	102a	202	202	0.5	0	0	2/4	5	1	1/8	1/8	1		-1	77	F5	5	935
102	102	102	102a	202	202	2.0	0	0	2/4	1	1	1/2	1/2	1	1	-1	89	F6	6	933
102	102	102	102a	405/2	405/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-2	82	Bb5	5	936
102	102	102	102a	203	203	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	940
102	102	102	102a	203	203	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		3	81	A5	5	937
102	102	102	102a	407/2	407/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		1	79	G5	5	938
103	103	103	103a	204	204	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	947
103	103	103	103a	204	204	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	942
103	103	103	103a	204	204	0.5	0	0	2/4	5	1	1/8	1/8	1		-1	77	F5	5	943
103	103	103	103a	204	204	2.0	0	0	2/4	1	1	1/2	1/2	1	0	-1	89	F6	6	941
103	103	103	103a	409/2	409/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-2	82	Bb5	5	944
103	103	103	103a	205	205	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	948
103	103	103	103a	205	205	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		3	81	A5	5	945
103	103	103	103a	411/2	411/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		1	79	G5	5	946
104	104	104	104a	206	206	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	954
104	104	104	104a	206	206	1.0	0	0	2/4	5	1	1/4	1/4	1		-1	77	F5	5	953
104	104	104	104a	206	206	0.5	0	0	2/4	1	1	1/8	1/8	1	-1	-1	89	F6	6	949
104	104	104	104a	413/2	413/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		4	88	E6	6	950
104	104	104	104a	207	207	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	951
104	104	104	104a	415/2	415/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	952
105	105	105	105a	208	208	0.5	0	0	2/4	21	1	1/8	1/8	1		0	84	C6	6	955
105	105	105	105a	417/2	417/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		-2	82	Bb5	5	956
105	105	105	105a	209	209	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		3	81	A5	5	957
105	105	105	105a	419/2	419/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		1	79	G5	5	958
106	106	106	106a	210	210	0.5	0	0	2/4	21	1	1/8	1/8	1		-1	77	F5	5	959
106	106	106	106a	421/2	421/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		4	76	E5	5	960
106	106	106	106a	211	211	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		-3	75	Eb5	5	961
106	106	106	106a	423/2	423/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		2	74	D5	5	962
107	107	107	107a	212	212	2.0	0	0	2/4	18	1	1/2	1/2	1	1	-6	42	Gb2	2	968
107	107	107	107a	212	212	2.0	0	0	2/4	17	1	1/2	1/2	1	1	-5	49	Db3	3	967
107	107	107	107a	212	212	2.0	0	0	2/4	16	1	1/2	1/2	1	1	-2	58	Bb3	3	966
107	107	107	107a	212	212	2.0	0	0	2/4	15	1	1/2	1/2	1	1	-5	61	Db4	4	965
107	107	107	107a	212	212	2.0	0	0	2/4	23	1	1/2	1/2	1		-5	61	Db4	4	971
107	107	107	107a	212	212	2.0	0	0	2/4	14	1	1/2	1/2	1	1	-2	70	Bb4	4	964
107	107	107	107a	212	212	2.0	0	0	2/4	22	1	1/2	1/2	1		-2	70	Bb4	4	970
107	107	107	107a	212	212	2.0	0	0	2/4	13	1	1/2	1/2	1	1	-5	73	Db5	5	963
107	107	107	107a	212	212	2.0	0	0	2/4	21	1	1/2	1/2	1		-5	73	Db5	5	969
107	107	107	107a	212	212	2.0	0	0	2/4	22	1	1/2	1/2	1		-2	82	Bb5	5	970
107	107	107	107a	212	212	2.0	0	0	2/4	21	1	1/2	1/2	1		-5	85	Db6	6	969
108	108	108	108a	214	214	1.0	0	0	2/4	18	1	1/4	1/4	1	-1	-6	42	Gb2	2	979
108	108	108	108a	214	214	1.0	0	0	2/4	17	1	1/4	1/4	1	-1	-5	49	Db3	3	977
108	108	108	108a	214	214	1.0	0	0	2/4	16	1	1/4	1/4	1	-1	-2	58	Bb3	3	975
108	108	108	108a	214	214	2.0	0	0	2/4	15	1	1/2	1/2	1	0	-5	61	Db4	4	974
108	108	108	108a	214	214	2.0	0	0	2/4	23	1	1/2	1/2	1		-5	61	Db4	4	983
108	108	108	108a	214	214	2.0	0	0	2/4	14	1	1/2	1/2	1	0	-2	70	Bb4	4	973
108	108	108	108a	214	214	2.0	0	0	2/4	22	1	1/2	1/2	1		-2	70	Bb4	4	982
108	108	108	108a	214	214	2.0	0	0	2/4	13	1	1/2	1/2	1	0	-5	73	Db5	5	972
108	108	108	108a	214	214	2.0	0	0	2/4	21	1	1/2	1/2	1		-5	73	Db5	5	981
108	108	108	108a	214	214	2.0	0	0	2/4	22	1	1/2	1/2	1		-2	82	Bb5	5	982
108	108	108	108a	214	214	2.0	0	0	2/4	21	1	1/2	1/2	1		-5	85	Db6	6	981
108	108	108	108a	215	215	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1	1	-6	42	Gb2	2	985
108	108	108	108a	215	215	1.0	1/4	1/4	2/4	17	1	1/4	1/4	1	1	-6	54	Gb3	3	978
108	108	108	108a	215	215	1.0	1/4	1/4	2/4	18	1	1/4	1/4	1	1	-6	54	Gb3	3	980
108	108	108	108a	215	215	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1	1	-6	54	Gb3	3	984
108	108	108	108a	215	215	1.0	1/4	1/4	2/4	16	1	1/4	1/4	1	1	-6	66	Gb4	4	976
109	109	109	109a	216	216	1.0	0	0	2/4	25	1	1/4	1/4	1	-1	-6	42	Gb2	2	1004
109	109	109	109a	216	216	1.0	0	0	2/4	17	1	1/4	1/4	1	-1	-6	54	Gb3	3	995
109	109	109	109a	216	216	1.0	0	0	2/4	18	1	1/4	1/4	1	-1	-6	54	Gb3	3	997
109	109	109	109a	216	216	1.0	0	0	2/4	24	1	1/4	1/4	1	-1	-6	54	Gb3	3	1002
109	109	109	109a	216	216	1.0	0	0	2/4	15	1	1/4	1/4	1	-1	-5	61	Db4	4	992
109	109	109	109a	216	216	2.0	0	0	2/4	23	1	1/2	1/2	1		-5	61	Db4	4	1001
109	109	109	109a	216	216	1.0	0	0	2/4	16	1	1/4	1/4	1	-1	-6	66	Gb4	4	993
109	109	109	109a	216	216	1.0	0	0	2/4	14	1	1/4	1/4	1	-1	-2	70	Bb4	4	991
109	109	109	109a	216	216	2.0	0	0	2/4	22	1	1/2	1/2	1		-2	70	Bb4	4	1000
109	109	109	109a	216	216	1.0	0	0	2/4	13	1	1/4	1/4	1	-1	-5	73	Db5	5	990
109	109	109	109a	216	216	2.0	0	0	2/4	21	1	1/2	1/2	1		-5	73	Db5	5	999
109	109	109	109a	216	216	2.0	0	0	2/4	22	1	1/2	1/2	1		-2	82	Bb5	5	1000
109	109	109	109a	216	216	2.0	0	0	2/4	21	1	1/2	1/2	1		-5	85	Db6	6	999
109	109	109	109a	217	217	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-1	41	F2	2	1005
109	109	109	109a	217	217	1.0	1/4	1/4	2/4	17	1	1/4	1/4	1		-1	53	F3	3	996
109	109	109	109a	217	217	1.0	1/4	1/4	2/4	18	1	1/4	1/4	1		-1	53	F3	3	998
109	109	109	109a	217	217	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		-1	53	F3	3	1003
109	109	109	109a	217	217	1.0	1/4	1/4	2/4	16	1	1/4	1/4	1		-1	65	F4	4	994
109	109	109	109a	217	217	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1	1	-6	66	Gb4	4	986
109	109	109	109a	217	217	1.0	1/4	1/4	2/4	10	1	1/4	1/4	1	1	-6	66	Gb4	4	987
109	109	109	109a	217	217	1.0	1/4	1/4	2/4	11	1	1/4	1/4	1	1	-6	66	Gb4	4	988
109	109	109	109a	217	217	1.0	1/4	1/4	2/4	12	1	1/4	1/4	1	1	-6	66	Gb4	4	989
110	110	110	110a	218	218	1.0	0	0	2/4	25	1	1/4	1/4	1		-3	39	Eb2	2	1025
110	110	110	110a	218	218	1.0	0	0	2/4	17	1	1/4	1/4	1		-3	51	Eb3	3	1016
110	110	110	110a	218	218	1.0	0	0	2/4	18	1	1/4	1/4	1		-3	51	Eb3	3	1018
110	110	110	110a	218	218	1.0	0	0	2/4	24	1	1/4	1/4	1		-3	51	Eb3	3	1023
110	110	110	110a	218	218	2.0	0	0	2/4	23	1	1/2	1/2	1		-5	61	Db4	4	1022
110	110	110	110a	218	218	1.0	0	0	2/4	16	1	1/4	1/4	1		-3	63	Eb4	4	1014
110	110	110	110a	218	218	1.0	0	0	2/4	9	1	1/4	1/4	1	-1	-6	66	Gb4	4	1006
110	110	110	110a	218	218	1.0	0	0	2/4	10	1	1/4	1/4	1	-1	-6	66	Gb4	4	1008
110	110	110	110a	218	218	1.0	0	0	2/4	11	1	1/4	1/4	1	-1	-6	66	Gb4	4	1010
