mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
11	11	11	11a	21	21	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	56
11	11	11	11a	21	21	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	51
11	11	11	11a	43/2	43/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		2	74	D5	5	57
11	11	11	11a	43/2	43/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	52
12	12	12	12a	22	22	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	63
12	12	12	12a	22	22	1.0	0	0	2/4	3	1	1/4	1/4	1		3	69	A4	4	61
12	12	12	12a	22	22	1.0	0	0	2/4	5	1	1/4	1/4	1		0	72	C5	5	62
12	12	12	12a	22	22	1.0	0	0	2/4	1	1	1/4	1/4	1		0	84	C6	6	60
13	13	13	13a	24	24	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	64
14	14	14	14a	26	26	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	68
14	14	14	14a	27	27	1.0	1/4	1/4	2/4	3	1	1/4	1/4	1	1	-2	70	Bb4	4	66
14	14	14	14a	27	27	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1	1	-2	70	Bb4	4	67
14	14	14	14a	27	27	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5	65
15	15	15	15a	28	28	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	78
15	15	15	15a	28	28	0.5	0	0	2/4	5	1	1/8	1/8	1	-1	-2	70	Bb4	4	74
15	15	15	15a	28	28	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	73
15	15	15	15a	28	28	0.5	0	0	2/4	1	1	1/8	1/8	1	-1	-2	82	Bb5	5	69
15	15	15	15a	57/2	57/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		0	72	C5	5	75
15	15	15	15a	57/2	57/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		0	84	C6	6	70
15	15	15	15a	29	29	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		2	74	D5	5	76
15	15	15	15a	29	29	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		2	86	D6	6	71
15	15	15	15a	59/2	59/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	77
15	15	15	15a	59/2	59/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	72
16	16	16	16a	30	30	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	85
16	16	16	16a	30	30	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	80
16	16	16	16a	30	30	0.5	0	0	2/4	5	1	1/8	1/8	1		-1	77	F5	5	81
16	16	16	16a	30	30	2.0	0	0	2/4	1	1	1/2	1/2	1	1	-1	89	F6	6	79
16	16	16	16a	61/2	61/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-2	82	Bb5	5	82
16	16	16	16a	31	31	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	86
16	16	16	16a	31	31	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		3	81	A5	5	83
16	16	16	16a	63/2	63/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		1	79	G5	5	84
17	17	17	17a	32	32	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	93
17	17	17	17a	32	32	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	88
17	17	17	17a	32	32	0.5	0	0	2/4	5	1	1/8	1/8	1		-1	77	F5	5	89
17	17	17	17a	32	32	2.0	0	0	2/4	1	1	1/2	1/2	1	0	-1	89	F6	6	87
17	17	17	17a	65/2	65/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-2	82	Bb5	5	90
17	17	17	17a	33	33	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	94
17	17	17	17a	33	33	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		3	81	A5	5	91
17	17	17	17a	67/2	67/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		1	79	G5	5	92
18	18	18	18a	34	34	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	100
18	18	18	18a	34	34	1.0	0	0	2/4	5	1	1/4	1/4	1		-1	77	F5	5	99
18	18	18	18a	34	34	0.5	0	0	2/4	1	1	1/8	1/8	1	-1	-1	89	F6	6	95
18	18	18	18a	69/2	69/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		4	88	E6	6	96
18	18	18	18a	35	35	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	97
18	18	18	18a	71/2	71/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	98
19	19	19	19a	36	36	0.5	0	0	2/4	21	1	1/8	1/8	1		0	84	C6	6	101
19	19	19	19a	73/2	73/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		-2	82	Bb5	5	102
19	19	19	19a	37	37	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		3	81	A5	5	103
19	19	19	19a	75/2	75/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		1	79	G5	5	104
