mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
107	107	107	107a	212	2.0	0	2/4	1/2	0										108
108	108	108	108a	214	2.0	0	2/4	1/2	0										109
109	109	109	109a	216	2.0	0	2/4	1/2	0				line						110
110	110	110	110a	218	2.0	0	2/4	1/2	0										111
111	111	111	111a	220	2.0	0	2/4	1/2	0										112
112	112	112	112a	222	2.0	0	2/4	1/2	0										113
113	113	113	113a	224	2.0	0	2/4	1/2	0										114
114	114	114	114a	226	2.0	0	2/4	1/2	0										115
115	115	115	115a	228	2.0	0	2/4	1/2	0										116
116	116	116	116a	230	2.0	0	2/4	1/2	0										117
117	117	117	117a	232	2.0	0	2/4	1/2	0										118
118	118	118	118a	234	2.0	0	2/4	1/2	0										119
119	119	119	119a	236	2.0	0	2/4	1/2	0										120
120	120	120	120a	238	2.0	0	2/4	1/2	0										121
121	121	121	121a	240	2.0	0	2/4	1/2	0										122
122	122	122	122a	242	2.0	0	2/4	1/2	0										123
123	123	123	123a	244	2.0	0	2/4	1/2	0										124
124	124	124	124a	246	2.0	0	2/4	1/2	0										125
125	125	125	125a	248	2.0	0	2/4	1/2	0				line						126
126	126	126	126a	250	2.0	0	2/4	1/2	0										127
127	127	127	127a	252	2.0	0	2/4	1/2	0										128
128	128	128	128a	254	2.0	0	2/4	1/2	0										129
129	129	129	129a	256	2.0	0	2/4	1/2	0										130
130	130	130	130a	258	2.0	0	2/4	1/2	0										131
131	131	131	131a	260	2.0	0	2/4	1/2	0										132
132	132	132	132a	262	2.0	0	2/4	1/2	0										133
133	133	133	133a	264	2.0	0	2/4	1/2	0										134
134	134	134	134a	266	2.0	0	2/4	1/2	0										135
135	135	135	135a	268	2.0	0	2/4	1/2	0										136
136	136	136	136a	270	2.0	0	2/4	1/2	0										137
137	137	137	137a	272	2.0	0	2/4	1/2	0				line						138
138	138	138	138a	274	2.0	0	2/4	1/2	0										139
139	139	139	139a	276	2.0	0	2/4	1/2	0										140
140	140	140	140a	278	2.0	0	2/4	1/2	0										141
141	141	141	141a	280	2.0	0	2/4	1/2	0										142
142	142	142	142a	282	2.0	0	2/4	1/2	0										143
143	143	143	143a	284	2.0	0	2/4	1/2	0										144
144	144	144	144a	286	2.0	0	2/4	1/2	0										145
145	145	145	145a	288	2.0	0	2/4	1/2	0										146
146	146	146	146a	290	2.0	0	2/4	1/2	0										147
147	147	147	147a	292	2.0	0	2/4	1/2	0										148
148	148	148	148a	294	2.0	0	2/4	1/2	0			double		lastMeasure		start		end	1, -1
1	1	149	1b	296	2.0	0	2/4	1/2	0					firstMeasure					2
2	2	150	2b	298	2.0	0	2/4	1/2	0										3
3	3	151	3b	300	2.0	0	2/4	1/2	0										4
4	4	152	4b	302	2.0	0	2/4	1/2	0										5
5	5	153	5b	304	2.0	0	2/4	1/2	0										6
6	6	154	6b	306	2.0	0	2/4	1/2	0										7
7	7	155	7b	308	2.0	0	2/4	1/2	0										8
8	8	156	8b	310	2.0	0	2/4	1/2	0										9
9	9	157	9b	312	2.0	0	2/4	1/2	0										10
10	10	158	10b	314	2.0	0	2/4	1/2	0										11
11	11	159	11b	316	2.0	0	2/4	1/2	0										12
12	12	160	12b	318	2.0	0	2/4	1/2	0										13
13	13	161	13b	320	2.0	0	2/4	1/2	0										14
14	14	162	14b	322	2.0	0	2/4	1/2	0										15
15	15	163	15b	324	2.0	0	2/4	1/2	0										16
16	16	164	16b	326	2.0	0	2/4	1/2	0				line						17
17	17	165	17b	328	2.0	0	2/4	1/2	0										18
18	18	166	18b	330	2.0	0	2/4	1/2	0										19
19	19	167	19b	332	2.0	0	2/4	1/2	0										20
20	20	168	20b	334	2.0	0	2/4	1/2	0										21
21	21	169	21b	336	2.0	0	2/4	1/2	0										22
22	22	170	22b	338	2.0	0	2/4	1/2	0										23
23	23	171	23b	340	2.0	0	2/4	1/2	0										24
24	24	172	24b	342	2.0	0	2/4	1/2	0										25
25	25	173	25b	344	2.0	0	2/4	1/2	0										26
26	26	174	26b	346	2.0	0	2/4	1/2	0										27
27	27	175	27b	348	2.0	0	2/4	1/2	0										28
28	28	176	28b	350	2.0	0	2/4	1/2	0										29
29	29	177	29b	352	2.0	0	2/4	1/2	0										30
30	30	178	30b	354	2.0	0	2/4	1/2	0										31
31	31	179	31b	356	2.0	0	2/4	1/2	0										32
32	32	180	32b	358	2.0	0	2/4	1/2	0				line						33
33	33	181	33b	360	2.0	0	2/4	1/2	0										34
34	34	182	34b	362	2.0	0	2/4	1/2	0										35
35	35	183	35b	364	2.0	0	2/4	1/2	0										36
36	36	184	36b	366	2.0	0	2/4	1/2	0										37
37	37	185	37b	368	2.0	0	2/4	1/2	0										38
38	38	186	38b	370	2.0	0	2/4	1/2	0										39
39	39	187	39b	372	2.0	0	2/4	1/2	0										40
40	40	188	40b	374	2.0	0	2/4	1/2	0										41
41	41	189	41b	376	2.0	0	2/4	1/2	0										42
42	42	190	42b	378	2.0	0	2/4	1/2	0										43
43	43	191	43b	380	2.0	0	2/4	1/2	0										44
44	44	192	44b	382	2.0	0	2/4	1/2	0				line						45
45	45	193	45b	384	2.0	0	2/4	1/2	0										46
46	46	194	46b	386	2.0	0	2/4	1/2	0										47
47	47	195	47b	388	2.0	0	2/4	1/2	0										48
48	48	196	48b	390	2.0	0	2/4	1/2	0										49
49	49	197	49b	392	2.0	0	2/4	1/2	0										50
