mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_line	HairPin:2_sempre cresc.	HairPin:2_cresc. sempre	HairPin:2_sempre crescendo	HairPin:2_(cresc.)	diminuendo_line	HairPin:3_sempre diminuendo	HairPin:3_(dim.)	HairPin:3_dimin.	crescendo_hairpin	decrescendo_hairpin
9	9	17	17	1.0	1/4	1/4	Chord	2/4	5	1	1/4	1/4	1	40			articStaccatissimoAbove																	4	
9	9	16	16	0.0	0	0	Spanner	2/4	9	1	0																							5	
9	9	16	16	2.0	0	0	Chord	2/4	9	1	1/2	1/2	1	41									5											5	
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	42			articStaccatissimoAbove																	3	
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	43			articStaccatissimoAbove																	3	
10	10	18	18	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	44									6												
10	10	18	18	1.0	0	0	Chord	2/4	5	1	1/4	1/4	1	45			articStaccatissimoAbove																	4	
10	10	19	19	1.0	1/4	1/4	Chord	2/4	5	1	1/4	1/4	1	46			articStaccatissimoAbove																	4	
10	10	18	18	1.0	0	0	Chord	2/4	9	1	1/4	1/4	1	47			articStaccatissimoAbove																	5	
10	10	19	19	1.0	1/4	1/4	Chord	2/4	9	1	1/4	1/4	1	48			articStaccatissimoAbove																	5	
11	11	20	20	0.0	0	0	Spanner	2/4	1	1	0																								
11	11	20	20	0.0	0	0	Spanner	2/4	1	1	0																								3
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	49									7												3
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	50									7												3
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	51									7												3
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	52									7												3
11	11	20	20	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	53									6												
11	11	20	20	0.0	0	0	Spanner	2/4	5	1	0																								
11	11	20	20	0.0	0	0	Spanner	2/4	5	1	0																								4
11	11	20	20	0.5	0	0	Chord	2/4	5	1	1/8	1/8	1	54									8												4
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	5	1	1/8	1/8	1	55									8												4
11	11	21	21	0.5	1/4	1/4	Chord	2/4	5	1	1/8	1/8	1	56									8												4
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	5	1	1/8	1/8	1	57									8												4
11	11	20	20	0.0	0	0	Spanner	2/4	9	1	0																								
11	11	20	20	0.0	0	0	Spanner	2/4	9	1	0																								5
11	11	20	20	1.0	0	0	Chord	2/4	9	1	1/4	1/4	1	58									9												5
11	11	21	21	1.0	1/4	1/4	Chord	2/4	9	1	1/4	1/4	1	59									9												5
12	12	22	22	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	60																					3
