mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
16	16	61/2	61/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-2	82	Bb5	5	82
16	16	31	31	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	86
16	16	31	31	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		3	81	A5	5	83
16	16	63/2	63/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		1	79	G5	5	84
17	17	32	32	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	93
17	17	32	32	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	88
17	17	32	32	0.5	0	0	2/4	5	1	1/8	1/8	1		-1	77	F5	5	89
17	17	32	32	2.0	0	0	2/4	1	1	1/2	1/2	1	0	-1	89	F6	6	87
17	17	65/2	65/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-2	82	Bb5	5	90
17	17	33	33	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	94
17	17	33	33	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		3	81	A5	5	91
17	17	67/2	67/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		1	79	G5	5	92
18	18	34	34	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	100
18	18	34	34	1.0	0	0	2/4	5	1	1/4	1/4	1		-1	77	F5	5	99
18	18	34	34	0.5	0	0	2/4	1	1	1/8	1/8	1	-1	-1	89	F6	6	95
18	18	69/2	69/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		4	88	E6	6	96
18	18	35	35	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	97
18	18	71/2	71/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	98
19	19	36	36	0.5	0	0	2/4	21	1	1/8	1/8	1		0	84	C6	6	101
19	19	73/2	73/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		-2	82	Bb5	5	102
19	19	37	37	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		3	81	A5	5	103
19	19	75/2	75/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		1	79	G5	5	104
20	20	38	38	0.5	0	0	2/4	21	1	1/8	1/8	1		-1	77	F5	5	105
20	20	77/2	77/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		4	76	E5	5	106
20	20	39	39	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		-3	75	Eb5	5	107
20	20	79/2	79/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		2	74	D5	5	108
21	21	40	40	2.0	0	0	2/4	23	1	1/2	1/2	1	1	-5	61	Db4	4	111
21	21	40	40	2.0	0	0	2/4	22	1	1/2	1/2	1	1	-2	70	Bb4	4	110
21	21	40	40	2.0	0	0	2/4	21	1	1/2	1/2	1	1	-5	73	Db5	5	109
22	22	42	42	2.0	0	0	2/4	23	1	1/2	1/2	1	0	-5	61	Db4	4	114
22	22	42	42	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-2	70	Bb4	4	113
22	22	42	42	2.0	0	0	2/4	21	1	1/2	1/2	1	0	-5	73	Db5	5	112
22	22	43	43	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1	1	-6	42	Gb2	2	116
22	22	43	43	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1	1	-6	54	Gb3	3	115
23	23	44	44	1.0	0	0	2/4	25	1	1/4	1/4	1	-1	-6	42	Gb2	2	122
23	23	44	44	1.0	0	0	2/4	24	1	1/4	1/4	1	-1	-6	54	Gb3	3	120
23	23	44	44	2.0	0	0	2/4	23	1	1/2	1/2	1	0	-5	61	Db4	4	119
23	23	44	44	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-2	70	Bb4	4	118
23	23	44	44	2.0	0	0	2/4	21	1	1/2	1/2	1	0	-5	73	Db5	5	117
23	23	45	45	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-1	41	F2	2	123
23	23	45	45	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		-1	53	F3	3	121
24	24	46	46	1.0	0	0	2/4	25	1	1/4	1/4	1		-3	39	Eb2	2	129
24	24	46	46	1.0	0	0	2/4	24	1	1/4	1/4	1		-3	51	Eb3	3	127
24	24	46	46	2.0	0	0	2/4	23	1	1/2	1/2	1	0	-5	61	Db4	4	126
24	24	46	46	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-2	70	Bb4	4	125
24	24	46	46	2.0	0	0	2/4	21	1	1/2	1/2	1	0	-5	73	Db5	5	124
24	24	47	47	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-5	37	Db2	2	130
24	24	47	47	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		-5	49	Db3	3	128
25	25	48	48	1.0	0	0	2/4	25	1	1/4	1/4	1		0	36	C2	2	137
25	25	48	48	1.0	0	0	2/4	24	1	1/4	1/4	1		0	48	C3	3	134
25	25	48	48	2.0	0	0	2/4	23	1	1/2	1/2	1	-1	-5	61	Db4	4	133
25	25	48	48	2.0	0	0	2/4	22	1	1/2	1/2	1	-1	-2	70	Bb4	4	132
25	25	48	48	2.0	0	0	2/4	21	1	1/2	1/2	1	-1	-5	73	Db5	5	131
25	25	49	49	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		-5	37	Db2	2	138
25	25	49	49	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		-5	49	Db3	3	135
25	25	99/2	99/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		-3	39	Eb2	2	139
25	25	99/2	99/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		-3	51	Eb3	3	136
26	26	50	50	1.0	0	0	2/4	25	1	1/4	1/4	1		-1	41	F2	2	144
26	26	50	50	1.0	0	0	2/4	24	1	1/4	1/4	1		-1	53	F3	3	143
26	26	50	50	2.0	0	0	2/4	23	1	1/2	1/2	1		0	60	C4	4	142
26	26	50	50	2.0	0	0	2/4	22	1	1/2	1/2	1		3	69	A4	4	141
26	26	50	50	2.0	0	0	2/4	21	1	1/2	1/2	1		0	72	C5	5	140
27	27	52	52	1.0	0	0	2/4	25	1	1/4	1/4	1		-2	34	Bb1	1	151
27	27	52	52	1.0	0	0	2/4	24	1	1/4	1/4	1		-2	46	Bb2	2	148
27	27	52	52	2.0	0	0	2/4	23	1	1/2	1/2	1		-7	59	Cb4	4	147
27	27	52	52	2.0	0	0	2/4	22	1	1/2	1/2	1		-4	68	Ab4	4	146
27	27	52	52	2.0	0	0	2/4	21	1	1/2	1/2	1		-7	71	Cb5	5	145
27	27	53	53	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		-7	35	Cb2	2	152
27	27	53	53	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		-7	47	Cb3	3	149
27	27	107/2	107/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		-5	37	Db2	2	153
27	27	107/2	107/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		-5	49	Db3	3	150
28	28	54	54	1.0	0	0	2/4	25	1	1/4	1/4	1		-3	39	Eb2	2	158
28	28	54	54	1.0	0	0	2/4	24	1	1/4	1/4	1		-3	51	Eb3	3	157
28	28	54	54	1.0	0	0	2/4	23	1	1/4	1/4	1		-2	58	Bb3	3	156
28	28	54	54	2.0	0	0	2/4	22	1	1/2	1/2	1	1	1	67	G4	4	155
28	28	54	54	2.0	0	0	2/4	21	1	1/2	1/2	1	1	-2	70	Bb4	4	154
29	29	56	56	1.0	0	0	2/4	25	1	1/4	1/4	1		3	33	A1	1	164
