mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
89	83	1/2	1/2	2/2	1	1	V43		c	I		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2	0	3	0.0	0.0	0.5	0.0
89	83	3/4	3/4	2/2	1	1	I6		c	I		I6		I		6						M	1	0	4, 1, 0		0	4	0	4	0.0	0.0	0.75	0.0
90	84	0	0	2/2	1	1	IV		c	I		IV		IV								M	1	0	-1, 3, 0		-1	-1	2	3	0.4	1.125	0.625	0.6428571428571429
90	84	1/4	1/4	2/2	1	1	I6		c	I		I6		I		6						M	1	0	4, 1, 0		0	4	0	4	0.0	0.0	0.75	0.0
90	84	1/2	1/2	2/2	1	1	IV6		c	I		IV6		IV		6						M	1	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.625	0.16666666666666666
90	84	3/4	3/4	2/2	1	1	iii6		c	I		iii6		iii		6						m	1	0	1, 5, 4		4	1	0	4	0.0	0.0	0.75	0.0
91	85	0	0	2/2	1	1	ii6		c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1	2	3	0.4	0.875	0.625	0.5833333333333334
91	85	1/4	1/4	2/2	1	1	I6		c	I		I6		I		6						M	1	0	4, 1, 0		0	4	0	4	0.0	0.0	0.75	0.0
91	85	1/2	1/2	2/2	1	1	viio6]		c	I		viio6		vii	o	6			]			o	1	0	2, -1, 5		5	2	1	3	0.25	0.125	0.625	0.16666666666666666
91	85	3/4	3/4	2/2	1	1	#viio7/V		c	I		#viio7/V		#vii	o	7		V				o7	1	0	6, 3, 0, -3		6	6	0	5	0.0	0.0	1.0	0.0
92	86	0	0	2/2	1	1	V(64)		c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1	0	7	0.0	0.0	1.25	0.0
92	86	1/2	1/2	2/2	1	1	V7		c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1	0	8	0.0	0.0	1.5	0.0
93	87	0	0	2/2	1	1	I		c	I		I		I								M	1	0	0, 4, 1		0	0	2	9	0.18181818181818182	0.25	1.75	0.125
95	88	0	0	2/2	1	1	i.i		c	i		i		i								m	1	1	0, -3, 1		0	0	2	3	0.4	0.25	0.5	0.3333333333333333
95	88	1/2	1/2	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	12	16	0.42857142857142855	1.375	2.875	0.3235294117647059
97	90	0	0	2/2	1	1	V6		c	i		V6		V		6						M	1	1	5, 2, 1		1	5	0	4	0.0	0.0	1.0	0.0
97	90	1/4	1/4	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	0	3	0.0	0.0	0.75	0.0
97	90	1/2	1/2	2/2	1	1	v6		c	i		v6		v		6						m	1	1	-2, 2, 1		1	-2	0	3	0.0	0.0	0.75	0.0
97	90	3/4	3/4	2/2	1	1	VIM7		c	i		VIM7		VI	M	7						MM7	1	1	-4, 0, -3, 1		-4	-4	0	3	0.0	0.0	0.75	0.0
98	91	0	0	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	2	6	0.25	0.25	2.0	0.1111111111111111
99	92	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	8	10	0.4444444444444444	1.0	1.5	0.4
100	93	0	0	2/2	1	1	v.iv		c	v		iv		iv								m	1	1	0, -3, 1		0	0	5	5	0.5	0.5	1.0	0.3333333333333333
100	93	3/4	3/4	2/2	1	1	#viio7/V		c	v		#viio7/V		#vii	o	7		V				o7	1	1	7, 4, 1, -2		7	7	2	3	0.4	0.25	0.5	0.3333333333333333
101	94	0	0	2/2	1	1	V(64)		c	v		V(64)		V			64					M	1	1	2, 1, -2		2	2	0	3	0.0	0.0	0.75	0.0
101	94	1/4	1/4	2/2	1	1	.Ger6		c	v		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-3, 1, -2, 7		7	-3	2	4	0.3333333333333333	0.25	0.75	0.25
101	94	1/2	1/2	2/2	1	1	V(64)		c	v		V(64)		V			64					M	1	1	2, 1, -2		2	2	0	4	0.0	0.0	1.0	0.0
101	94	3/4	3/4	2/2	1	1	V		c	v		V		V								M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
102	95	0	0	2/2	1	1	i\\	1	c	v		i		i							\\	m	1	1	1, -2, 2		1	1	2	7	0.2222222222222222	0.25	1.75	0.125
103	96	0	0	2/2	1	1	i	2	c	v		i		i								m	1	1	1, -2, 2		1	1	3	8	0.2727272727272727	0.375	1.875	0.16666666666666666
104	97	0	0	2/2	1	1	i.V7/iv		c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0	0	6	0.0	0.0	1.5	0.0
104	97	1/2	1/2	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	7	0.0	0.0	1.75	0.0
105	98	0	0	2/2	1	1	VII7		c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2	0	6	0.0	0.0	1.5	0.0
105	98	1/2	1/2	2/2	1	1	III		c	i		III		III								M	1	1	-3, 1, -2		-3	-3	0	7	0.0	0.0	1.75	0.0
106	99	0	0	2/2	1	1	iv6(2)		c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4	5	5	0.5	0.75	1.0	0.42857142857142855
106	99	1/2	1/2	2/2	1	1	ii%43		c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4	1	4	0.2	0.125	0.875	0.125
106	99	3/4	3/4	2/2	1	1	.It6		c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4	1	3	0.25	0.125	0.625	0.16666666666666666
107	100	0	0	2/2	1	1	V\\		c	i		V		V							\\	M	1	1	1, 5, 2		1	1	2	6	0.25	0.25	3.0	0.07692307692307693
108	101	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	13	15	0.4642857142857143	1.75	2.5	0.4117647058823529
109	102	1/2	1/2	2/2	1	1	VI		c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4	1	3	0.25	0.125	0.625	0.16666666666666666
109	102	3/4	3/4	2/2	1	1	#viio6/iv		c	i		#viio6/iv		#vii	o	6		iv				o	1	1	1, -2, 4		4	1	2	4	0.3333333333333333	0.25	0.75	0.25
110	103	0	0	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
110	103	1/4	1/4	2/2	1	1	.Ger6		c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4	2	4	0.3333333333333333	0.25	0.75	0.25
110	103	1/2	1/2	2/2	1	1	V(64)		c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	1.0	0.0
110	103	3/4	3/4	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
111	104	0	0	2/2	1	1	i\\		c	i		i		i							\\	m	1	1	0, -3, 1		0	0	4	9	0.3076923076923077	0.5	2.0	0.2
112	105	0	0	2/2	1	1	V7/iv		c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0	0	8	0.0	0.0	2.0	0.0
112	105	1/2	1/2	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	7	0.0	0.0	1.75	0.0
113	106	0	0	2/2	1	1	VII7		c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2	0	6	0.0	0.0	1.5	0.0
113	106	1/2	1/2	2/2	1	1	III		c	i		III		III								M	1	1	-3, 1, -2		-3	-3	0	7	0.0	0.0	1.75	0.0
114	107	0	0	2/2	1	1	iv6(2)		c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4	0	4	0.0	0.0	1.0	0.0
114	107	1/4	1/4	2/2	1	1	iv6		c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4	3	2	0.6	0.375	0.625	0.375
114	107	1/2	1/2	2/2	1	1	ii%43		c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4	0	3	0.0	0.0	0.75	0.0
114	107	3/4	3/4	2/2	1	1	.Fr6		c	i		Fr6	Fr	V		43	b5	V				Fr	1	1	-4, 0, 2, 6		2	-4	0	3	0.0	0.0	0.75	0.0
115	108	0	0	2/2	1	1	V\\		c	i		V		V							\\	M	1	1	1, 5, 2		1	1	9	14	0.391304347826087	1.125	2.875	0.28125
116	109	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	14	20	0.4117647058823529	1.625	2.875	0.3611111111111111
117	110	1/4	1/4	2/2	1	1	i2		c	i		i2		i		2						mm7	1	1	-2, 0, -3, 1		0	-2	1	6	0.14285714285714285	0.125	0.875	0.125
117	110	1/2	1/2	2/2	1	1	VI		c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4	1	6	0.14285714285714285	0.125	0.875	0.125
117	110	3/4	3/4	2/2	1	1	i64		c	i		i64		i		64						m	1	1	1, 0, -3		0	1	1	6	0.14285714285714285	0.125	0.875	0.125
118	111	0	0	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	6	0.0	0.0	1.0	0.0
118	111	1/4	1/4	2/2	1	1	.It6		c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4	1	5	0.16666666666666666	0.125	0.875	0.125
118	111	1/2	1/2	2/2	1	1	V(64)		c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	1.0	0.0
118	111	3/4	3/4	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
119	112	0	0	2/2	1	1	i\\		c	i		i		i							\\	m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.0	0.0
119	112	1/2	1/2	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
120	113	0	0	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	4	9	0.3076923076923077	0.5	2.0	0.2
121	114	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	2	13	0.13333333333333333	0.25	3.5	0.06666666666666667
122	115	0	0	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	0	6	0.0	0.0	2.0	0.0
122	115	1/2	1/2	2/2	1	1	i64		c	i		i64		i		64						m	1	1	1, 0, -3		0	1	0	8	0.0	0.0	1.0	0.0
123	116	0	0	2/2	1	1	V7		c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1	0	59	0.0	0.0	13.25	0.0
126	119	0	0	2/2	1	1	I.I		c	I		I		I								M	1	0	0, 4, 1		0	0	0	5	0.0	0.0	4.0	0.0
127	120	0	0	2/2	1	1	V43		c	I		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2	2	5	0.2857142857142857	0.5	3.5	0.125
128	121	0	0	2/2	1	1	I6		c	I		I6		I		6						M	1	0	4, 1, 0		0	4	1	4	0.2	0.25	1.75	0.125
128	121	1/2	1/2	2/2	1	1	#viio6/V		c	I		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3	1	4	0.2	0.25	1.75	0.125
129	122	0	0	2/2	1	1	V(4)		c	I		V(4)		V			4					M	1	0	1, 0, 2		1	1	0	4	0.0	0.0	3.5	0.0
129	122	1/2	1/2	2/2	1	1	V		c	I		V		V								M	1	0	1, 5, 2		1	1	0	1	0.0	0.0	0.5	0.0
130	123	0	0	2/2	1	1	V65/ii		c	I		V65/ii		V		65		ii				Mm7	1	0	7, 4, 1, 3		3	7						
130	123	0	0	2/2	1	1	ii		c	I		ii		ii								m	1	0	2, -1, 3		2	2	3	4	0.42857142857142855	1.5	2.5	0.375
131	124	0	0	2/2	1	1	V65		c	I		V65		V		65						Mm7	1	0	5, 2, -1, 1		1	5						
131	124	0	0	2/2	1	1	I		c	I		I		I								M	1	0	0, 4, 1		0	0	3	4	0.42857142857142855	1.5	2.5	0.375
132	125	0	0	2/2	1	1	ii6(94)		c	I		ii6(94)		ii		6	94					m	1	0	1, 3, 2	4	2	1	1	3	0.25	0.5	0.75	0.4
132	125	1/4	1/4	2/2	1	1	ii6		c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1	0	3	0.0	0.0	0.75	0.0
132	125	1/2	1/2	2/2	1	1	V(64)		c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1	0	4	0.0	0.0	1.25	0.0
132	125	3/4	3/4	2/2	1	1	V7		c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.75	0.0
133	126	0	0	2/2	1	1	I\\		c	I		I		I							\\	M	1	0	0, 4, 1		0	0	6	9	0.4	0.5	1.75	0.2222222222222222
134	127	0	0	2/2	1	1	I		c	I		I		I								M	1	0	0, 4, 1		0	0	0	13	0.0	0.0	3.25	0.0
135	128	0	0	2/2	1	1	V7		c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1	4	13	0.23529411764705882	1.0	2.25	0.3076923076923077
136	129	0	0	2/2	1	1	I		c	I		I		I								M	1	0	0, 4, 1		0	0	0	5	0.0	0.0	1.0	0.0
