mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
164	157	1/2	1/2	2/2	1	1	#viio7		c	i		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5	0	6	0.0	0.0	1.25	0.0
165	158	0	0	2/2	1	1	VI6		c	i		VI6		VI		6						M	1	1	0, -3, -4		-4	0	2	3	0.4	0.375	0.625	0.375
165	158	1/4	1/4	2/2	1	1	i6		c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3	1	4	0.2	0.125	0.875	0.125
165	158	1/2	1/2	2/2	1	1	viio6		c	i		viio6		vii	o	6						o	1	1	-5, -8, -2		-2	-5	5	0	1.0	1.0	0.0	1.0
165	158	3/4	3/4	2/2	1	1	#viio43/V		c	i		#viio43/V		#vii	o	43		V				o7	1	1	0, -3, 6, 3		6	0	2	3	0.4	0.375	0.625	0.375
166	159	0	0	2/2	1	1	V]		c	i		V		V					]			M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	1.0	0.0
166	159	1/4	1/4	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.5	0.0
166	159	1/2	1/2	2/2	1	1	#viio2		c	i		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4	0	14	0.0	0.0	3.0	0.0
168	161	0	0	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	2	6	0.25	0.375	1.125	0.25
168	161	1/2	1/2	2/2	1	1	#viio7\\		c	i		#viio7		#vii	o	7					\\	o7	1	1	5, 2, -1, -4		5	5	1	15	0.0625	1.0	4.0	0.2
172	165	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	10	31	0.24390243902439024	1.125	8.875	0.1125
174	167	0	0	2/2	1	1	V65		c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5	0	5	0.0	0.0	1.25	0.0
174	167	1/4	1/4	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.25	0.0
174	167	1/2	1/2	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	1.25	0.0
174	167	3/4	3/4	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.25	0.0
175	168	0	0	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	2	17	0.10526315789473684	0.25	4.75	0.05
176	169	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	4	16	0.2	0.5	4.5	0.1
177	170	0	0	2/2	1	1	v.iv		c	v		iv		iv								m	1	1	0, -3, 1		0	0	3	10	0.23076923076923078	0.25	2.25	0.1
177	170	1/2	1/2	2/2	1	1	#viio7/V		c	v		#viio7/V		#vii	o	7		V				o7	1	1	7, 4, 1, -2		7	7	2	10	0.16666666666666666	0.25	2.25	0.1
178	171	0	0	2/2	1	1	V(64)		c	v		V(64)		V			64					M	1	1	2, 1, -2		2	2	0	5	0.0	0.0	1.25	0.0
178	171	1/4	1/4	2/2	1	1	.Ger6		c	v		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-3, 1, -2, 7		7	-3	0	4	0.0	0.0	1.0	0.0
178	171	1/2	1/2	2/2	1	1	V(64)		c	v		V(64)		V			64					M	1	1	2, 1, -2		2	2	0	4	0.0	0.0	1.0	0.0
178	171	3/4	3/4	2/2	1	1	V		c	v		V		V								M	1	1	2, 6, 3		2	2	0	4	0.0	0.0	1.0	0.0
179	172	0	0	2/2	1	1	i\\		c	v		i		i							\\	m	1	1	1, -2, 2		1	1	2	6	0.25	0.25	3.25	0.07142857142857142
180	173	0	0	2/2	1	1	i.V7/iv		c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0	1	9	0.1	0.25	3.25	0.07142857142857142
180	173	3/4	3/4	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
181	174	0	0	2/2	1	1	V7/III		c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2	1	8	0.1111111111111111	0.25	2.75	0.08333333333333333
181	174	3/4	3/4	2/2	1	1	III		c	i		III		III								M	1	1	-3, 1, -2		-3	-3	0	4	0.0	0.0	1.0	0.0
182	175	0	0	2/2	1	1	iv6(2)		c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4	4	6	0.4	0.5	1.5	0.25
182	175	1/2	1/2	2/2	1	1	ii%43		c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4	0	4	0.0	0.0	1.0	0.0
182	175	3/4	3/4	2/2	1	1	.It6		c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4	0	4	0.0	0.0	1.0	0.0
183	176	0	0	2/2	1	1	V\\		c	i		V		V							\\	M	1	1	1, 5, 2		1	1	2	6	0.25	0.25	3.0	0.07692307692307693
184	177	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	6	21	0.2222222222222222	0.625	5.625	0.1
185	178	1/4	1/4	2/2	1	1	V2/iv		c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2	1	4	0.2	0.125	0.875	0.125
185	178	1/2	1/2	2/2	1	1	iv65		c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4	1	4	0.2	0.125	0.875	0.125
185	178	3/4	3/4	2/2	1	1	V64/iv		c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1	1	5	0.16666666666666666	0.125	1.125	0.1
186	179	0	0	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	5	0.0	0.0	1.25	0.0
186	179	1/4	1/4	2/2	1	1	.It6		c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4	0	4	0.0	0.0	1.0	0.0
186	179	1/2	1/2	2/2	1	1	V(64)		c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	1.0	0.0
186	179	3/4	3/4	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.0	0.0
187	180	0	0	2/2	1	1	i\\		c	i		i		i							\\	m	1	1	0, -3, 1		0	0	1	7	0.125	0.125	1.375	0.08333333333333333
187	180	3/4	3/4	2/2	1	1	V7		c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1	0	5	0.0	0.0	1.0	0.0
188	181	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	1	7	0.125	0.125	1.375	0.08333333333333333
188	181	3/4	3/4	2/2	1	1	V7		c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1	0	6	0.0	0.0	1.25	0.0
189	182	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	1	8	0.1111111111111111	0.125	1.625	0.07142857142857142
189	182	3/4	3/4	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	0	6	0.0	0.0	1.25	0.0
190	183	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	1.25	0.0
190	183	1/4	1/4	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	1	5	0.16666666666666666	0.25	1.0	0.2
190	183	1/2	1/2	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	1.25	0.0
190	183	3/4	3/4	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	1	5	0.16666666666666666	0.25	1.0	0.2
191	184	0	0	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	2.25	0.0
191	184	1/2	1/2	2/2	1	1	V2/iv		c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2	0	4	0.0	0.0	1.25	0.0
192	185	0	0	2/2	1	1	iv6		c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4	0	6	0.0	0.0	2.25	0.0
192	185	1/2	1/2	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.25	0.0
193	186	0	0	2/2	1	1	V(64)		c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1	2	8	0.2	0.25	2.5	0.09090909090909091
194	187	0	0	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	2	8	0.2	0.25	2.5	0.09090909090909091
195	188	0	0	2/2	1	1	i\\		c	i		i		i							\\	m	1	1	0, -3, 1		0	0	0	6	0.0	0.0	2.25	0.0
195	188	1/2	1/2	2/2	1	1	V2/iv		c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2	0	4	0.0	0.0	1.25	0.0
196	189	0	0	2/2	1	1	iv6		c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4	0	6	0.0	0.0	2.25	0.0
196	189	1/2	1/2	2/2	1	1	i64		c	i		i64		i		64						m	1	1	1, 0, -3		0	1	0	4	0.0	0.0	1.25	0.0
197	190	0	0	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1						
197	190	0	0	2/2	1	1	iv7		c	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1	2	10	0.16666666666666666	0.25	3.0	0.07692307692307693
198	191	0	0	2/2	1	1	.Ger6		c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4	2	8	0.2	0.25	2.5	0.09090909090909091
199	192	0	0	2/2	1	1	V(64)		c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1	2	8	0.2	0.25	2.5	0.09090909090909091
200	193	0	0	2/2	1	1	V		c	i		V		V								M	1	1	1, 5, 2		1	1	2	8	0.2	0.25	2.5	0.09090909090909091
201	194	0	0	2/2	1	1	i\\		c	i		i		i							\\	m	1	1	0, -3, 1		0	0	0	7	0.0	0.0	2.5	0.0
201	194	3/4	3/4	2/2	1	1	i64		c	i		i64		i		64						m	1	1	1, 0, -3		0	1	0	2	0.0	0.0	0.5	0.0
202	195	0	0	2/2	1	1	V43		c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2	0	7	0.0	0.0	2.5	0.0
202	195	3/4	3/4	2/2	1	1	V7		c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.5	0.0
203	196	0	0	2/2	1	1	i6		c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3	0	8	0.0	0.0	3.0	0.0
203	196	3/4	3/4	2/2	1	1	i		c	i		i		i								m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.5	0.0
204	197	0	0	2/2	1	1	ii%65		c	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1	0	5	0.0	0.0	1.25	0.0
204	197	1/4	1/4	2/2	1	1	ii%7		c	i		ii%7		ii	%	7						%7	1	1	2, -1, -4, 0		2	2	0	4	0.0	0.0	1.0	0.0
204	197	1/2	1/2	2/2	1	1	V(64)		c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	1.0	0.0
204	197	3/4	3/4	2/2	1	1	V7		c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1	0	4	0.0	0.0	1.0	0.0
205	198	0	0	2/2	1	1	i\\		c	i		i		i							\\	m	1	1	0, -3, 1		0	0	0	15	0.0	0.0	3.5	0.0
206	199	0	0	2/2	1	1	V43		c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2	0	4	0.0	0.0	1.0	0.0
206	199	1/4	1/4	2/2	1	1	V7		c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.5	0.0
206	199	1/2	1/2	2/2	1	1	V43		c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2	0	5	0.0	0.0	1.5	0.0
206	199	3/4	3/4	2/2	1	1	V7		c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.5	0.0
207	200	0	0	2/2	1	1	i6		c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3	2	17	0.10526315789473684	0.5	3.25	0.13333333333333333
209	202	0	0	2/2	1	1	ii%65		c	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1	3	13	0.1875	0.75	3.25	0.1875
211	204	0	0	2/2	1	1	V(64)		c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1	0	4	0.0	0.0	1.0	0.0
212	205	0	0	2/2	1	1	V7\\		c	i		V7		V		7					\\	Mm7	1	1	1, 5, 2, -1		1	1	2	6	0.25	0.25	1.25	0.16666666666666666
213	206	0	0	2/2	1	1	I[I		c	i	I	I		I								M	1	1	0, 4, 1		0	0	4	10	0.2857142857142857	0.5	2.75	0.15384615384615385
214	207	0	0	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
214	207	1/4	1/4	2/2	1	1	I		c	i		I		I								M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
214	207	1/2	1/2	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
214	207	3/4	3/4	2/2	1	1	I		c	i		I		I								M	1	1	0, 4, 1		0	0	6	15	0.2857142857142857	0.75	4.25	0.15
216	209	0	0	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
216	209	1/4	1/4	2/2	1	1	I		c	i		I		I								M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
216	209	1/2	1/2	2/2	1	1	iv		c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
216	209	3/4	3/4	2/2	1	1	I		c	i		I		I								M	1	1	0, 4, 1		0	0	14	39	0.2641509433962264	1.75	9.75	0.15217391304347827
221	214	0	0	2/2	1	1	I]		c	i		I		I					]			M	1	1	0, 4, 1		0	0	2	2	0.5	0.08333333333333333	0.2916666666666667	0.2222222222222222
222	215	0	0	2/2	1	1	I		c	i		I		I								M	1	1	0, 4, 1		0	0	26	23	0.5306122448979592	1.0833333333333333	3.0416666666666665	0.2626262626262626
225	218	0	0	2/2	1	1	I\\		c	i		I		I							\\	M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
