mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line	diminuendo_line	Trill:trill	Ottava:8va
4	3	4	3a	12	12	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	43								6
4	3	4	3a	25/2	25/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	44
4	3	4	3a	9	9	3.0		0	0	Chord	4/4	2	1	3/4			1/2	3/2	45								7
4	3	4	3a	12	12	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	46
4	3	4	3a	9	9	3.0		0	0	Chord	4/4	3	1	3/4			1/2	3/2	47								8
4	3	4	3a	12	12	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	48
4	3	4	3a	9	9	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	49
4	3	4	3a	19/2	19/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	50
4	3	4	3a	10	10	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	51
4	3	4	3a	21/2	21/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	52
4	3	4	3a	11	11	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	53
4	3	4	3a	23/2	23/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	54
4	3	4	3a	12	12	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	55
4	3	4	3a	25/2	25/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	56
5	4	5	4a	13	13	0.0		0	0	Dynamic	4/4	1	1	0						sf
5	4	5	4a	13	13	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	57								9
5	4	5	4a	15	15	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	58		articStaccatoBelow
5	4	5	4a	16	16	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	59
5	4	5	4a	13	13	0.0		0	0	Dynamic	4/4	2	1	0						sf
5	4	5	4a	13	13	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	60								10
5	4	5	4a	15	15	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	61		articStaccatoBelow
5	4	5	4a	13	13	0.0		0	0	Dynamic	4/4	3	1	0						sf
5	4	5	4a	13	13	1.5		0	0	Chord	4/4	3	1	3/8			1/4	3/2	62								11
5	4	5	4a	29/2	29/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	63
5	4	5	4a	15	15	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	64		articStaccatoBelow
5	4	5	4a	13	13	0.0		0	0	Dynamic	4/4	4	1	0						sf
5	4	5	4a	13	13	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	65
5	4	5	4a	27/2	27/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	66
5	4	5	4a	14	14	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	67
5	4	5	4a	29/2	29/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	68
5	4	5	4a	15	15	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	69
5	4	5	4a	31/2	31/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	70
5	4	5	4a	16	16	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	71
5	4	5	4a	33/2	33/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	72
6	5	6	5a	17	17	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	73								12
6	5	6	5a	35/2	35/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	74
6	5	6	5a	18	18	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	75								13
6	5	6	5a	20	20	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	76
6	5	6	5a	18	18	2.0		1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	77								14
6	5	6	5a	20	20	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	78
6	5	6	5a	18	18	2.0		1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	79								15
6	5	6	5a	20	20	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	80
6	5	6	5a	17	17	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	81
6	5	6	5a	35/2	35/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	82
6	5	6	5a	18	18	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	83
6	5	6	5a	37/2	37/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	84
6	5	6	5a	19	19	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	85
6	5	6	5a	39/2	39/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	86
6	5	6	5a	20	20	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	87
6	5	6	5a	41/2	41/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	88
7	6	7	6a	21	21	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	89								16
7	6	7	6a	43/2	43/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	90
7	6	7	6a	22	22	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	91								17
7	6	7	6a	24	24	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	92
7	6	7	6a	21	21	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	93								18
7	6	7	6a	43/2	43/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	94
7	6	7	6a	22	22	2.0		1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	95								19
7	6	7	6a	24	24	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	96
7	6	7	6a	21	21	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	97								20
7	6	7	6a	43/2	43/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	98
7	6	7	6a	22	22	2.0		1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	99								21
7	6	7	6a	24	24	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	100
7	6	7	6a	21	21	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	101
7	6	7	6a	43/2	43/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	102
7	6	7	6a	22	22	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	103
7	6	7	6a	45/2	45/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	104
7	6	7	6a	23	23	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	105
7	6	7	6a	47/2	47/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	106
7	6	7	6a	24	24	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	107
7	6	7	6a	49/2	49/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	108
8	7	8	7a	25	25	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	109								22
8	7	8	7a	51/2	51/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	110
8	7	8	7a	26	26	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	111								23
8	7	8	7a	28	28	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	112
8	7	8	7a	25	25	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	113
8	7	8	7a	51/2	51/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	114
8	7	8	7a	26	26	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	115
8	7	8	7a	53/2	53/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	116
8	7	8	7a	27	27	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	117
8	7	8	7a	55/2	55/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	118
8	7	8	7a	28	28	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	119
8	7	8	7a	57/2	57/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	120
8	7	8	7a	25	25	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	121
8	7	8	7a	51/2	51/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	122
8	7	8	7a	26	26	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	123
8	7	8	7a	53/2	53/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	124
8	7	8	7a	27	27	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	125
8	7	8	7a	55/2	55/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	126
8	7	8	7a	28	28	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	127
8	7	8	7a	57/2	57/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	128
8	7	8	7a	25	25	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	129
8	7	8	7a	51/2	51/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	130
8	7	8	7a	26	26	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	131
8	7	8	7a	53/2	53/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	132
8	7	8	7a	27	27	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	133
8	7	8	7a	55/2	55/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	134
8	7	8	7a	28	28	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	135
8	7	8	7a	57/2	57/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	136
9	8	9	8a	29	29	1.5		0	0	Chord	4/4	1	1	3/8			1/4	3/2	137								24
9	8	9	8a	61/2	61/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	138								24
9	8	9	8a	31	31	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	139
9	8	9	8a	65/2	65/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	140
9	8	9	8a	30	30	0.0		1/4	1/4	StaffText	4/4	1	2	0								♮
9	8	9	8a	30	30	0.5		1/4	1/4	Chord	4/4	1	2	1/8			1/8	1	141		ornamentTurn
9	8	9	8a	29	29	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	142
9	8	9	8a	59/2	59/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	143
9	8	9	8a	30	30	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	144
9	8	9	8a	61/2	61/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	145
9	8	9	8a	31	31	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	146
9	8	9	8a	63/2	63/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	147
9	8	9	8a	32	32	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	148
9	8	9	8a	65/2	65/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	149
9	8	9	8a	29	29	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	150
9	8	9	8a	59/2	59/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	151
9	8	9	8a	30	30	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	152								25
9	8	9	8a	61/2	61/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	153
9	8	9	8a	31	31	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	154		articStaccatoBelow
9	8	9	8a	63/2	63/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	155		articStaccatoBelow
9	8	9	8a	32	32	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	156		articStaccatoBelow
9	8	9	8a	65/2	65/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	157		articStaccatoBelow
9	8	9	8a	29	29	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	158
9	8	9	8a	59/2	59/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	159
9	8	9	8a	30	30	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	160								26
9	8	9	8a	61/2	61/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	161
9	8	9	8a	31	31	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	162		articStaccatoAbove
9	8	9	8a	63/2	63/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	163		articStaccatoAbove
9	8	9	8a	32	32	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	164		articStaccatoAbove
9	8	9	8a	65/2	65/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	165		articStaccatoAbove
10	9	10	9a	33	33	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	166								27
10	9	10	9a	67/2	67/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	167
