velocity,timing,articulation,id
0.0,0.0,0.0,ng6hp7e
0.0,0.0,0.0,n1khq61u
0.0,0.0,0.0,n100gd98
0.0,0.0,0.0,ngevg3i
0.0,0.0,0.0,nbhbsvs
0.0,0.0,0.0,nc5l9l6
0.0,0.0,0.0,nwaf9g4
0.0,0.0,0.0,n8jghwt
0.0,0.0,0.0,n1ndomom
0.0,0.0,0.0,n1m7wnc8
0.0,0.0,0.0,n10wqvpp
0.0,0.0,0.0,n1itvxhj
0.0,0.0,0.0,n1n9ko7n
0.0,0.0,0.0,n1f05kf0
0.0,0.0,0.0,n16yhsuy
0.0,0.0,0.0,n12vifp0
0.0,0.0,0.0,n19casdx
0.0,0.0,0.0,nky5k6q
0.0,0.0,0.0,n1sng5up
0.0,0.0,0.0,nilcimv
0.0,0.0,0.0,n10ba369
0.0,0.0,0.0,nfw7l20
0.0,0.0,0.0,n112tcfk
0.0,0.0,0.0,n18mg1et
0.0,0.0,0.0,n1tcy8b
0.0,0.0,0.0,n6v5hvi
0.0,0.0,0.0,n12n7xas
0.0,0.0,0.0,n1yn1nc9
0.0,0.0,0.0,necxfso
0.0,0.0,0.0,n1h378am
0.0,0.0,0.0,n1iba4d5
0.0,0.0,0.0,n19jj02v
0.0,0.0,0.0,n1vtwu4u
0.0,0.0,0.0,n1gyf11x
0.0,0.0,0.0,n18e52v1
0.0,0.0,0.0,n1cbtxzq
0.0,0.0,0.0,noxyeix
0.0,0.0,0.0,nhiryu2
0.0,0.0,0.0,nc3tk7n
0.0,0.0,0.0,nozf56n
0.0,0.0,0.0,nzgt9e6
0.0,0.0,0.0,n1dsxcj3
0.0,0.0,0.0,n9pvokp
0.0,0.0,0.0,n1wcys64
0.0,0.0,0.0,nlj3n87
0.0,0.0,0.0,n15rvhyc
0.0,0.0,0.0,n1781bp8
0.0,0.0,0.0,n19daiw1
0.0,0.0,0.0,n1o6r8e6
0.0,0.0,0.0,n1985uyk
0.0,0.0,0.0,n15sqsrm
0.0,0.0,0.0,n6ol2v6
0.0,0.0,0.0,njd0vb2
0.0,0.0,0.0,nhso13h
0.0,0.0,0.0,nog1322
0.0,0.0,0.0,n170zupd
0.0,0.0,0.0,n1hs0mq0
0.0,0.0,0.0,n9fu7o8
0.0,0.0,0.0,nv8x4g3
0.0,0.0,0.0,nmbgzgj
0.0,0.0,0.0,nrevevk
0.0,0.0,0.0,n1lcuzj
0.0,0.0,0.0,n10b8oen
0.0,0.0,0.0,n1x662om
0.0,0.0,0.0,n9egt9e
0.0,0.0,0.0,nommt0c
0.0,0.0,0.0,nk3zkrg
0.0,0.0,0.0,n9f43h8
0.0,0.0,0.0,n13panho
0.0,0.0,0.0,nok2y38
0.0,0.0,0.0,n1vstb1b
0.0,0.0,0.0,nlepmip
0.0,0.0,0.0,n1st1xqg
0.0,0.0,0.0,n7fzt0g
0.0,0.0,0.0,n1gfvle3
0.0,0.0,0.0,n1erapwz
0.0,0.0,0.0,nmxyto5
0.0,0.0,0.0,n6s0wyy
0.0,0.0,0.0,nb1w2y6
0.0,0.0,0.0,n1ksebqf
0.0,0.0,0.0,nbkyjw0
0.0,0.0,0.0,n12mm9l0
0.0,0.0,0.0,n4f3lsb
0.0,0.0,0.0,n4qfwbf
0.0,0.0,0.0,n197fke7
0.0,0.0,0.0,n1scanvd
0.0,0.0,0.0,nhwyey3
