mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
167	167	7/8	7/8	4/4	2	1	V7/V					C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	0	3	0.0	0.0	0.375	0.0
168	168	0	0	4/4	2	1	V64					C	I		V64	V		64					M	0	0	2, 1, 5		1	2	0	4	0.0	0.0	0.625	0.0
168	168	1/8	1/8	4/4	2	1	V6					C	I		V6	V		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.375	0.0
168	168	1/4	1/4	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
168	168	3/8	3/8	4/4	2	1	V64					C	I		V64	V		64					M	0	0	2, 1, 5		1	2	0	4	0.0	0.0	0.5	0.0
168	168	1/2	1/2	4/4	2	1	V(6)/vi					C	I		V(6)/vi	V			6	vi			M	0	0	4, 8, 0		4	4	0	7	0.0	0.0	1.75	0.0
168	168	3/4	3/4	4/4	2	1	V/vi					C	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4	0	5	0.0	0.0	0.75	0.0
169	169	0	0	4/4	2	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3	3	0	5	0.0	0.0	0.75	0.0
169	169	1/8	1/8	4/4	2	1	vi6					C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0	0	4	0.0	0.0	0.5	0.0
169	169	1/4	1/4	4/4	2	1	V7/V					C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	0	5	0.0	0.0	0.625	0.0
169	169	3/8	3/8	4/4	2	1	vi64					C	I		vi64	vi		64					m	0	0	4, 3, 0		3	4	0	5	0.0	0.0	0.625	0.0
169	169	1/2	1/2	4/4	2	1	V6/V					C	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6	0	5	0.0	0.0	0.75	0.0
169	169	5/8	5/8	4/4	2	1	V/V					C	I		V/V	V				V			M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	0.5	0.0
169	169	3/4	3/4	4/4	2	1	V7(9)/V					C	I		V7(9)/V	V		7	9	V			Mm7	0	0	2, 6, 3, 0	4	2	2	0	5	0.0	0.0	0.75	0.0
169	169	7/8	7/8	4/4	2	1	V65/V					C	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6	0	4	0.0	0.0	0.5	0.0
170	170	0	0	4/4	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	2	5	0.2857142857142857	0.125	0.625	0.16666666666666666
170	170	1/4	1/4	4/4	2	1	vi7					C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3	0	3	0.0	0.0	0.5	0.0
170	170	3/8	3/8	4/4	2	1	V43/V					C	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3	0	4	0.0	0.0	0.5	0.0
170	170	1/2	1/2	4/4	2	1	V7/iii					C	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5	2	5	0.2857142857142857	0.125	0.625	0.16666666666666666
170	170	3/4	3/4	4/4	2	1	viio64/V					C	I		viio64/V	vii	o	64		V			o	0	0	0, 6, 3		6	0	0	3	0.0	0.0	0.5	0.0
170	170	7/8	7/8	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
171	171	0	0	4/4	2	1	V7(b9)/V					C	I		V7(b9)/V	V		7	b9	V			Mm7	0	0	2, 6, 3, 0	-3	2	2	0	5	0.0	0.0	1.0625	0.0
171	171	1/16	1/16	4/4	2	1	V7/V					C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	1	2	0.3333333333333333	0.0625	0.125	0.3333333333333333
171	171	1/4	1/4	4/4	2	1	I6(2)					C	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4	0	4	0.0	0.0	0.9375	0.0
171	171	5/16	5/16	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	2	3	0.4	0.125	0.1875	0.4
171	171	5/8	5/8	4/4	2	1	V/V					C	I		V/V	V				V			M	0	0	2, 6, 3		2	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
171	171	3/4	3/4	4/4	2	1	vi6					C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0	1	3	0.25	0.0625	0.3125	0.16666666666666666
171	171	7/8	7/8	4/4	2	1	V/iii					C	I		V/iii	V				iii			M	0	0	5, 9, 6		5	5	1	3	0.25	0.0625	0.3125	0.16666666666666666
172	172	0	0	4/4	2	1	vi7					C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
172	172	0	0	4/4	2	1	V2/iii					C	I		V2/iii	V		2		iii			Mm7	0	0	3, 5, 9, 6		5	3	4	3	0.5714285714285714	0.25	1.0625	0.19047619047619047
172	172	1/4	1/4	4/4	2	1	vi7					C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
172	172	1/4	1/4	4/4	2	1	V2/iii					C	I		V2/iii	V		2		iii			Mm7	0	0	3, 5, 9, 6		5	3	9	9	0.5	0.5625	1.4375	0.28125
173	173	0	0	4/4	2	1	V7\\					C	I		V7	V		7				\\	Mm7	0	0	1, 5, 2, -1		1	1	6	33	0.15384615384615385	0.375	3.5625	0.09523809523809523
174	174	0	0	4/4	2	1	I64					C	I		I64	I		64					M	0	0	1, 0, 4		0	1	0	6	0.0	0.0	1.625	0.0
174	174	1/2	1/2	4/4	2	1	IV(2)					C	I		IV(2)	IV			2				M	0	0	1, 3, 0		-1	1	2	5	0.2857142857142857	0.25	1.75	0.125
174	174	3/4	3/4	4/4	2	1	IV					C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	2	2	0.5	0.25	0.25	0.5
175	175	0	0	4/4	2	1	V7/ii					C	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3	1	6	0.14285714285714285	0.125	1.875	0.0625
175	175	1/2	1/2	4/4	2	1	ii(4)					C	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2	0	7	0.0	0.0	1.75	0.0
175	175	3/4	3/4	4/4	2	1	ii6					C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	0	5	0.0	0.0	0.75	0.0
176	176	0	0	4/4	2	1	ii2					C	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0	3	5	0.375	0.1875	0.9375	0.16666666666666666
176	176	3/8	3/8	4/4	2	1	#viio6/vi					C	I		#viio6/vi	#vii	o	6		vi			o	0	0	5, 2, 8		8	5	1	3	0.25	0.0625	0.3125	0.16666666666666666
176	176	1/2	1/2	4/4	2	1	vi(4)					C	I		vi(4)	vi			4				m	0	0	3, 2, 4		3	3	0	3	0.0	0.0	0.625	0.0
176	176	5/8	5/8	4/4	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.375	0.0
176	176	3/4	3/4	4/4	2	1	vi(11)					C	I		vi(11)	vi			11				m	0	0	3, 0, 4	2	3	3	0	3	0.0	0.0	0.375	0.0
176	176	7/8	7/8	4/4	2	1	viio					C	I		viio	vii	o						o	0	0	5, 2, -1		5	5	0	4	0.0	0.0	0.5	0.0
177	177	0	0	4/4	2	1	I(4)					C	I		I(4)	I			4				M	0	0	0, -1, 1		0	0	2	5	0.2857142857142857	0.25	1.5	0.14285714285714285
177	177	1/4	1/4	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	3	2	0.6	0.375	0.25	0.6
177	177	1/2	1/2	4/4	2	1	I6\\					C	I		I6	I		6				\\	M	0	0	4, 1, 0		0	4	4	8	0.3333333333333333	0.25	1.3125	0.16
178	178	0	0	4/4	2	1	I64					C	I		I64	I		64					M	0	0	1, 0, 4		0	1	0	23	0.0	0.0	4.375	0.0
178	178	5/8	5/8	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	2	5	0.2857142857142857	0.25	0.5	0.3333333333333333
178	178	7/8	7/8	4/4	2	1	I64					C	I		I64	I		64					M	0	0	1, 0, 4		0	1	0	3	0.0	0.0	0.375	0.0
179	179	0	0	4/4	2	1	vi7					C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3	2	10	0.16666666666666666	0.125	1.875	0.0625
179	179	1/2	1/2	4/4	2	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	0	9	0.0	0.0	0.875	0.0
179	179	3/4	3/4	4/4	2	1	ii65					C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1	1	6	0.14285714285714285	0.0625	0.9375	0.0625
180	180	0	0	4/4	2	1	IV64					C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0	2	5	0.2857142857142857	0.125	1.375	0.08333333333333333
180	180	1/4	1/4	4/4	2	1	ii2					C	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0	0	2	0.0	0.0	0.125	0.0
180	180	3/8	3/8	4/4	2	1	viio					C	I		viio	vii	o						o	0	0	5, 2, -1		5	5	1	3	0.25	0.0625	0.3125	0.16666666666666666
180	180	1/2	1/2	4/4	2	1	IV6					C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3	2	7	0.2222222222222222	0.25	1.0	0.2
180	180	7/8	7/8	4/4	2	1	vii%7					C	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5	0	4	0.0	0.0	0.375	0.0
181	181	0	0	4/4	2	1	vi6					C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0	0	4	0.0	0.0	0.625	0.0
181	181	1/8	1/8	4/4	2	1	vii%7					C	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5	0	3	0.0	0.0	0.375	0.0
181	181	1/4	1/4	4/4	2	1	vi6					C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0	1	4	0.2	0.0625	0.4375	0.125
181	181	3/8	3/8	4/4	2	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	0	4	0.0	0.0	0.4375	0.0
181	181	7/16	7/16	4/4	2	1	viio6					C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2	0	1	0.0	0.0	0.0625	0.0
181	181	1/2	1/2	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.5	0.0
181	181	5/8	5/8	4/4	2	1	V6					C	I		V6	V		6					M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	0.5	0.0
181	181	3/4	3/4	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
181	181	7/8	7/8	4/4	2	1	IV6					C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.5	0.0
182	182	0	0	4/4	2	1	I64					C	I		I64	I		64					M	0	0	1, 0, 4		0	1	0	9	0.0	0.0	2.0	0.0
182	182	1/2	1/2	4/4	2	1	vi2					C	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1	0	3	0.0	0.0	0.75	0.0
182	182	5/8	5/8	4/4	2	1	vi64					C	I		vi64	vi		64					m	0	0	4, 3, 0		3	4	0	6	0.0	0.0	0.5	0.0
182	182	3/4	3/4	4/4	2	1	IVM7					C	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1	0	4	0.0	0.0	0.5	0.0
182	182	7/8	7/8	4/4	2	1	vi2					C	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1	0	4	0.0	0.0	0.5	0.0
183	183	0	0	4/4	2	1	vi7					C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3	0	5	0.0	0.0	1.5	0.0
183	183	1/4	1/4	4/4	2	1	V(6)/ii					C	I		V(6)/ii	V			6	ii			M	0	0	3, 7, -1		3	3	0	2	0.0	0.0	0.375	0.0
183	183	3/8	3/8	4/4	2	1	V/ii					C	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3	0	1	0.0	0.0	0.125	0.0
183	183	1/2	1/2	4/4	2	1	ii(4)					C	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2	0	7	0.0	0.0	1.5	0.0
183	183	3/4	3/4	4/4	2	1	ii6					C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	0	3	0.0	0.0	0.5	0.0
183	183	7/8	7/8	4/4	2	1	vii%2					C	I		vii%2	vii	%	2					%7	0	0	3, 5, 2, -1		5	3	1	3	0.25	0.0625	0.3125	0.16666666666666666
184	184	0	0	4/4	2	1	ii2					C	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0	3	5	0.375	0.1875	1.125	0.14285714285714285
184	184	3/8	3/8	4/4	2	1	#viio6/vi					C	I		#viio6/vi	#vii	o	6		vi			o	0	0	5, 2, 8		8	5	1	3	0.25	0.0625	0.3125	0.16666666666666666
184	184	1/2	1/2	4/4	2	1	ii64					C	I		ii64	ii		64					m	0	0	3, 2, -1		2	3	0	4	0.0	0.0	0.75	0.0
184	184	5/8	5/8	4/4	2	1	V7					C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
184	184	3/4	3/4	4/4	2	1	IV6					C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.6875	0.0
184	184	7/8	7/8	4/4	2	1	vii%7					C	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5	0	3	0.0	0.0	0.3125	0.0
185	185	0	0	4/4	2	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	3	6	0.3333333333333333	0.1875	1.1875	0.13636363636363635
185	185	3/8	3/8	4/4	2	1	IV64					C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0	1	3	0.25	0.0625	0.3125	0.16666666666666666
185	185	1/2	1/2	4/4	2	1	viio					C	I		viio	vii	o						o	0	0	5, 2, -1		5	5	0	4	0.0	0.0	0.75	0.0
185	185	5/8	5/8	4/4	2	1	IV6					C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
185	185	3/4	3/4	4/4	2	1	vii%7					C	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5	0	4	0.0	0.0	0.6875	0.0
185	185	7/8	7/8	4/4	2	1	IV64					C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0	0	3	0.0	0.0	0.3125	0.0
186	186	0	0	4/4	2	1	IVM2					C	I		IVM2	IV	M	2					MM7	0	0	4, -1, 3, 0		-1	4	2	7	0.2222222222222222	0.125	1.25	0.09090909090909091
186	186	3/8	3/8	4/4	2	1	viio6					C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
186	186	1/2	1/2	4/4	2	1	IV64					C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0	0	5	0.0	0.0	1.0	0.0
186	186	5/8	5/8	4/4	2	1	vii%7					C	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5	0	2	0.0	0.0	0.25	0.0
186	186	3/4	3/4	4/4	2	1	IV64					C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0	0	7	0.0	0.0	0.6875	0.0
186	186	7/8	7/8	4/4	2	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	0	4	0.0	0.0	0.375	0.0
187	187	0	0	4/4	2	1	ii65(#4)					C	I		ii65(#4)	ii		65	#4				mm7	0	0	-1, 8, 0, 2		2	-1	0	4	0.0	0.0	0.9375	0.0
187	187	1/8	1/8	4/4	2	1	ii65					C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1	0	1	0.0	0.0	0.125	0.0
187	187	3/16	3/16	4/4	2	1	vii%43					C	I		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1	1	3	0.25	0.0625	0.25	0.2
187	187	3/8	3/8	4/4	2	1	vi64					C	I		vi64	vi		64					m	0	0	4, 3, 0		3	4	1	3	0.25	0.0625	0.3125	0.16666666666666666
187	187	1/2	1/2	4/4	2	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	3	5	0.375	0.25	0.4375	0.36363636363636365
187	187	3/4	3/4	4/4	2	1	V2					C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	0	2	0.0	0.0	0.25	0.0
187	187	7/8	7/8	4/4	2	1	VM2					C	I		VM2	V	M	2					MM7	0	0	6, 1, 5, 2		1	6	0	3	0.0	0.0	0.25	0.0
188	188	0	0	4/4	2	1	I64					C	I		I64	I		64					M	0	0	1, 0, 4		0	1	1	4	0.2	0.125	0.875	0.125
188	188	1/4	1/4	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
188	188	3/8	3/8	4/4	2	1	ii7					C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2	0	3	0.0	0.0	0.375	0.0
188	188	1/2	1/2	4/4	2	1	vi6					C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
188	188	5/8	5/8	4/4	2	1	IM2					C	I		IM2	I	M	2					MM7	0	0	5, 0, 4, 1		0	5	0	3	0.0	0.0	0.375	0.0
188	188	3/4	3/4	4/4	2	1	V(2)					C	I		V(2)	V			2				M	0	0	3, 5, 2		1	3	2	4	0.3333333333333333	0.2916666666666667	0.3333333333333333	0.4666666666666667
188	188	7/8	7/8	4/4	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.375	0.0
189	189	0	0	4/4	2	1	I(11)					C	I		I(11)	I			11				M	0	0	0, 4, 1	-1	0	0	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
189	189	1/8	1/8	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
189	189	1/4	1/4	4/4	2	1	vii%65					C	I		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
189	189	3/8	3/8	4/4	2	1	IV64					C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0	0	3	0.0	0.0	0.375	0.0
189	189	1/2	1/2	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
189	189	5/8	5/8	4/4	2	1	iii2					C	I		iii2	iii		2					mm7	0	0	2, 4, 1, 5		4	2	0	3	0.0	0.0	0.375	0.0
189	189	3/4	3/4	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
189	189	7/8	7/8	4/4	2	1	iii64					C	I		iii64	iii		64					m	0	0	5, 4, 1		4	5	0	6	0.0	0.0	0.5	0.0
190	190	0	0	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
190	190	1/8	1/8	4/4	2	1	iii				I64	C	I		iii	iii							m	0	0	4, 1, 5		4	4	0	3	0.0	0.0	0.375	0.0
190	190	1/4	1/4	4/4	2	1	I(11)					C	I		I(11)	I			11				M	0	0	0, 4, 1	-1	0	0	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
190	190	3/8	3/8	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
190	190	1/2	1/2	4/4	2	1	vi(11)					C	I		vi(11)	vi			11				m	0	0	3, 0, 4	2	3	3	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
190	190	5/8	5/8	4/4	2	1	vi6					C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0	0	3	0.0	0.0	0.375	0.0
190	190	3/4	3/4	4/4	2	1	V6					C	I		V6	V		6					M	0	0	5, 2, 1		1	5	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
190	190	7/8	7/8	4/4	2	1	V(9)					C	I		V(9)	V			9				M	0	0	1, 5, 2	3	1	1	0	3	0.0	0.0	0.375	0.0
191	191	0	0	4/4	2	1	I64					C	I		I64	I		64					M	0	0	1, 0, 4		0	1	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
191	191	1/8	1/8	4/4	2	1	I(11)					C	I		I(11)	I			11				M	0	0	0, 4, 1	-1	0	0	0	3	0.0	0.0	0.375	0.0
191	191	1/4	1/4	4/4	2	1	IVM2					C	I		IVM2	IV	M	2					MM7	0	0	4, -1, 3, 0		-1	4	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
191	191	3/8	3/8	4/4	2	1	ii					C	I		ii	ii							m	0	0	2, -1, 3		2	2	0	3	0.0	0.0	0.375	0.0
191	191	1/2	1/2	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
191	191	5/8	5/8	4/4	2	1	iii6				I64	C	I		iii6	iii		6					m	0	0	1, 5, 4		4	1	0	3	0.0	0.0	0.375	0.0
191	191	3/4	3/4	4/4	2	1	vi7					C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3	0	5	0.0	0.0	0.625	0.0
191	191	7/8	7/8	4/4	2	1	IM2					C	I		IM2	I	M	2					MM7	0	0	5, 0, 4, 1		0	5	0	8	0.0	0.0	0.625	0.0
192	192	0	0	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	3	6	0.3333333333333333	0.2916666666666667	0.7083333333333334	0.2916666666666667
192	192	1/4	1/4	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	3	6	0.3333333333333333	0.2916666666666667	0.7083333333333334	0.2916666666666667
192	192	1/2	1/2	4/4	2	1	vi6					C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0	3	6	0.3333333333333333	0.2916666666666667	0.7083333333333334	0.2916666666666667
192	192	3/4	3/4	4/4	2	1	V(9)					C	I		V(9)	V			9				M	0	0	1, 5, 2	3	1	1	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
192	192	7/8	7/8	4/4	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.375	0.0
193	193	0	0	4/4	2	1	IV					C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1	1	8	0.1111111111111111	0.041666666666666664	0.9583333333333334	0.041666666666666664
193	193	1/4	1/4	4/4	2	1	V/vi					C	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4	1	5	0.16666666666666666	0.041666666666666664	0.5833333333333334	0.06666666666666667
193	193	3/8	3/8	4/4	2	1	#viio64/vi					C	I		#viio64/vi	#vii	o	64		vi			o	0	0	2, 8, 5		8	2	0	3	0.0	0.0	0.375	0.0
193	193	1/2	1/2	4/4	2	1	vi6					C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0	0	5	0.0	0.0	0.625	0.0
193	193	5/8	5/8	4/4	2	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3	3	2	3	0.4	0.0625	0.1875	0.25
193	193	3/4	3/4	4/4	2	1	ii6(2)	0	-8	/		C	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1	0	4	0.0	0.0	0.75	0.0
193	193	7/8	7/8	4/4	2	1	ii	0	-8	/		C	I		ii	ii							m	0	0	2, -1, 3		2	2	0	2	0.0	0.0	0.25	0.0
194	194	0	0	4/4	2	1	V7(4)					C	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1	0	5	0.0	0.0	1.5	0.0
194	194	1/4	1/4	4/4	2	1	viio64					C	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1	0	2	0.0	0.0	0.25	0.0
194	194	3/8	3/8	4/4	2	1	ii7					C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2	0	2	0.0	0.0	0.25	0.0
194	194	1/2	1/2	4/4	2	1	V64/V					C	I		V64/V	V		64		V			M	0	0	3, 2, 6		2	3	0	4	0.0	0.0	0.875	0.0
194	194	5/8	5/8	4/4	2	1	viio6/V					C	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3	0	3	0.0	0.0	0.375	0.0
194	194	3/4	3/4	4/4	2	1	V(6)/V					C	I		V(6)/V	V			6	V			M	0	0	2, 6, 5		2	2	0	3	0.0	0.0	0.375	0.0
194	194	7/8	7/8	4/4	2	1	V/V					C	I		V/V	V				V			M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
195	195	0	0	4/4	2	1	vii%7					C	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5	0	5	0.0	0.0	0.875	0.0
195	195	1/8	1/8	4/4	2	1	V65					C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5	0	3	0.0	0.0	0.375	0.0
195	195	1/4	1/4	4/4	2	1	iii6				I64	C	I		iii6	iii		6					m	0	0	1, 5, 4		4	1	0	3	0.0	0.0	0.375	0.0
195	195	3/8	3/8	4/4	2	1	ii6				viio64	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	0	3	0.0	0.0	0.375	0.0
195	195	1/2	1/2	4/4	2	1	ii7					C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2	0	4	0.0	0.0	0.625	0.0
195	195	5/8	5/8	4/4	2	1	viio6					C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2	0	3	0.0	0.0	0.375	0.0
195	195	3/4	3/4	4/4	2	1	vii%7					C	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5	0	3	0.0	0.0	0.375	0.0
195	195	7/8	7/8	4/4	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.375	0.0
196	196	0	0	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	1	9	0.1	0.03125	0.96875	0.03125
196	196	1/4	1/4	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	1	8	0.1111111111111111	0.03125	1.21875	0.025
196	196	1/2	1/2	4/4	2	1	vi					C	I		vi	vi							m	0	0	3, 0, 4		3	3	1	9	0.1	0.03125	1.46875	0.020833333333333332
196	196	3/4	3/4	4/4	2	1	V					C	I		V	V							M	0	0	1, 5, 2		1	1	1	9	0.1	0.03125	1.46875	0.020833333333333332
197	197	0	0	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	1	9	0.1	0.03125	1.46875	0.020833333333333332
197	197	1/4	1/4	4/4	2	1	IV64					C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0	1	9	0.1	0.03125	1.46875	0.020833333333333332
197	197	1/2	1/2	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	1	9	0.1	0.03125	1.46875	0.020833333333333332
197	197	3/4	3/4	4/4	2	1	I64					C	I		I64	I		64					M	0	0	1, 0, 4		0	1	0	5	0.0	0.0	0.625	0.0
197	197	7/8	7/8	4/4	2	1	I6					C	I		I6	I		6					M	0	0	4, 1, 0		0	4	0	8	0.0	0.0	0.625	0.0
198	198	0	0	4/4	2	1	I					C	I		I	I							M	0	0	0, 4, 1		0	0	1	8	0.1111111111111111	0.03125	1.21875	0.025
