piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
WoO71	1: 2/4, 262: 6/8	1: 3, 73: 0, 94: 3, 157: 0, 178: 3, 241: 0, 262: 3, 330: 0, 372: 3	397	371	882.0	505	470	1078.0	[[[260], [261]]]	2414.17	4629	2816	0	0	0									Copyright © 	2023-07-01	Linux			3.6.2	2.6.0.post1.dev1+ga429209ac.d20260201	.	./WoO71.mscx	False	28-90 (E1-F#6)	xml	Piano	40-90 (E2-F#6)	Piano	28-88 (E1-E6)
original_file_before_cleaning	1: 2/4, 240: 6/8	1: 3, 68: 0, 87: 3, 144: 0, 163: 3, 220: 0, 240: 3, 308: 0, 350: 3	373	370	879.5	381	379	895.5	[[[238], [239]]]	2412.67	4627	2814	0	0	0									Copyright © 	2023-07-01	Linux			3.6.2	2.6.0.post1.dev1+ga429209ac.d20260201	.	./original_file_before_cleaning.mscx	False	28-90 (E1-F#6)	xml	Piano	40-90 (E2-F#6)	Piano	28-88 (E1-E6)
