mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
4	3	4	3a	5	5	1.0		0	0	2/4	2	1	1/4		1/4	1		7	49	C#3	3	25
4	3	4	3a	5	5	1.0		0	0	2/4	1	1	1/4		1/4	1		3	69	A4	4	20
4	3	4	3a	11/2	11/2	1.5		1/8	1/8	2/4	1	2	3/8		1/4	3/2	1	4	64	E4	4	24
4	3	4	3a	6	6	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		3	45	A2	2	26
4	3	4	3a	6	6	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		3	69	A4	4	21
4	3	4	3a	13/2	13/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	22
4	3	4	3a	27/4	27/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	23
5	4	5	4a	7	7	1.0		0	0	2/4	2	1	1/4		1/4	1		8	44	G#2	2	34
5	4	5	4a	7	7	2.0		0	0	2/4	1	2	1/2		1/2	1	-1	4	64	E4	4	33
5	4	5	4a	7	7	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	27
5	4	5	4a	15/2	15/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	28
5	4	5	4a	31/4	31/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	29
5	4	5	4a	8	8	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		3	45	A2	2	35
5	4	5	4a	8	8	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		7	73	C#5	5	30
5	4	5	4a	17/2	17/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		3	69	A4	4	31
5	4	5	4a	35/4	35/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	32
6	5	6	5a	9	9	1.0		0	0	2/4	2	1	1/4		1/4	1		4	40	E2	2	42
6	5	6	5a	9	9	1.0		0	0	2/4	1	2	1/4		1/4	1		8	68	G#4	4	39
6	5	6	5a	9	9	1.0		0	0	2/4	1	1	1/4		1/4	1		5	71	B4	4	36
6	5	6	5a	10	10	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		3	57	A3	3	43
6	5	6	5a	10	10	0.5		1/4	1/4	2/4	1	2	1/8		1/8	1		3	69	A4	4	40
6	5	6	5a	10	10	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		7	73	C#5	5	37
6	5	6	5a	21/2	21/2	0.5		3/8	3/8	2/4	1	2	1/8		1/8	1		4	64	E4	4	41
6	5	6	5a	21/2	21/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		4	76	E5	5	38
7	6	7	6a	11	11	1.0		0	0	2/4	2	1	1/4		1/4	1		8	56	G#3	3	52
7	6	7	6a	11	11	0.5		0	0	2/4	1	2	1/8		1/8	1		5	71	B4	4	48
7	6	7	6a	11	11	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	44
7	6	7	6a	23/2	23/2	0.5		1/8	1/8	2/4	1	2	1/8		1/8	1		4	64	E4	4	49
7	6	7	6a	23/2	23/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		4	76	E5	5	45
7	6	7	6a	12	12	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		3	57	A3	3	53
7	6	7	6a	12	12	0.5		1/4	1/4	2/4	1	2	1/8		1/8	1		3	69	A4	4	50
7	6	7	6a	12	12	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		7	73	C#5	5	46
7	6	7	6a	25/2	25/2	0.5		3/8	3/8	2/4	1	2	1/8		1/8	1		4	64	E4	4	51
