mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
2	1	38	1c	97/2	1/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-4	56	Ab3	3	7
2	1	38	1c	97/2	1/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	2
2	1	38	1c	49	1	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	8
2	1	38	1c	49	1	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	3
2	1	38	1c	197/4	5/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	4
2	1	38	1c	99/2	3/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	9
2	1	38	1c	99/2	3/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	C5	5	5
2	1	38	1c	199/4	7/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		5	71	B4	4	6
3	2	39	2c	50	2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		5	71	B4	4	10
3	2	39	2c	50	2	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	14
3	2	39	2c	50	2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	11
3	2	39	2c	101/2	5/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	50	D3	3	15
3	2	39	2c	101/2	5/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		2	74	D5	5	12
3	2	39	2c	51	3	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	16
3	2	39	2c	51	3	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	13
4	3	40	3c	103/2	7/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		-3	75	Eb5	5	17
4	3	40	3c	103/2	7/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	23
4	3	40	3c	103/2	7/2	0.5	0	0	3/8	1	1	1/8		1/8	1		2	74	D5	5	18
4	3	40	3c	52	4	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55	G3	3	24
4	3	40	3c	52	4	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		-1	77	F5	5	19
4	3	40	3c	209/4	17/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	20
4	3	40	3c	105/2	9/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-4	56	Ab3	3	25
4	3	40	3c	105/2	9/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		2	74	D5	5	21
4	3	40	3c	211/4	19/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		0	72	C5	5	22
5	4	41	4c	53	5	0.5	0	0	3/8	2	1	1/8		1/8	1		1	55	G3	3	30
5	4	41	4c	53	5	0.5	0	0	3/8	1	1	1/8		1/8	1		5	71	B4	4	26
5	4	41	4c	107/2	11/2	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		3	69	A4	4	27
5	4	41	4c	107/2	11/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	31
5	4	41	4c	107/2	11/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	28
5	4	41	4c	54	6	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	32
5	4	41	4c	54	6	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	29
6	5	42	5c	109/2	13/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		-3	75	Eb5	5	33
6	5	42	5c	109/2	13/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	39
6	5	42	5c	109/2	13/2	0.5	0	0	3/8	1	1	1/8		1/8	1		2	74	D5	5	34
6	5	42	5c	55	7	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	40
6	5	42	5c	55	7	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		2	74	D5	5	35
6	5	42	5c	221/4	29/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	36
6	5	42	5c	111/2	15/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	50	D3	3	41
6	5	42	5c	111/2	15/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-1	77	F5	5	37
6	5	42	5c	223/4	31/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		3	69	A4	4	38
7	6	43	6c	56	8	0.25	0	0	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	46
7	6	43	6c	56	8	0.5	0	0	3/8	1	1	1/8		1/8	1		5	71	B4	4	42
7	6	43	6c	225/4	33/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	47
7	6	43	6c	113/2	17/2	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		3	69	A4	4	43
7	6	43	6c	113/2	17/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	48
7	6	43	6c	113/2	17/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	44
7	6	43	6c	227/4	35/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	49
7	6	43	6c	57	9	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	50
7	6	43	6c	57	9	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1	1	0	72	C5	5	45
8	7	44	7c	115/2	19/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	56
8	7	44	7c	115/2	19/2	0.25	0	0	3/8	1	1	1/16		1/16	1	-1	0	72	C5	5	51
8	7	44	7c	231/4	39/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	52
8	7	44	7c	58	10	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55	G3	3	57
8	7	44	7c	58	10	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		5	71	B4	4	53
8	7	44	7c	117/2	21/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	G2	2	58
8	7	44	7c	235/4	43/4	0.125	5/16	5/16	3/8	1	1	1/32		1/32	1		3	69	A4	4	54
8	7	44	7c	471/8	87/8	0.125	11/32	11/32	3/8	1	1	1/32		1/32	1		5	71	B4	4	55
9	8	45	8d	59	11	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	60
9	8	45	8d	59	11	1.0	0	0	3/8	1	1	1/4		1/4	1		0	72	C5	5	59
9	8	45	8d	119/2	23/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	36	C2	2	61
19	16	46	16c	60	24	0.5	0	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	117
19	16	46	16c	60	24	0.5	0	1/4	3/8	1	1	1/8		1/8	1		2	74	D5	5	116
20	17	47	17a	121/2	49/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		2	74	D5	5	118
20	17	47	17a	121/2	49/2	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	124
20	17	47	17a	121/2	49/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	119
20	17	47	17a	61	25	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		2	74	D5	5	120
20	17	47	17a	61	25	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	125
20	17	47	17a	61	25	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		0	72	C5	5	121
20	17	47	17a	123/2	51/2	0.0	1/4	1/4	3/8	1	1	0	appoggiatura	1/8	1		-2	70	Bb4	4	122
20	17	47	17a	123/2	51/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	126
20	17	47	17a	123/2	51/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		3	69	A4	4	123
21	18	48	18a	62	26	0.0	0	0	3/8	1	1	0	grace4	1/8	1		3	69	A4	4	127
21	18	48	18a	62	26	0.5	0	0	3/8	2	1	1/8		1/8	1		2	50	D3	3	131
21	18	48	18a	62	26	0.75	0	0	3/8	1	1	3/16		1/8	3/2		-2	70	Bb4	4	128
21	18	48	18a	125/2	53/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	48	C3	3	132
21	18	48	18a	251/4	107/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		0	72	C5	5	129
21	18	48	18a	63	27	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	133
21	18	48	18a	63	27	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		2	74	D5	5	130
22	19	49	19a	127/2	55/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		0	72	C5	5	134
22	19	49	19a	127/2	55/2	0.25	0	0	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	138
22	19	49	19a	127/2	55/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	135
22	19	49	19a	255/4	111/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	139
22	19	49	19a	64	28	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	48	C3	3	140
22	19	49	19a	64	28	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		-3	75	Eb5	5	136
22	19	49	19a	129/2	57/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	141
22	19	49	19a	259/4	115/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	137
23	20	50	20a	65	29	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	146
23	20	50	20a	65	29	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	142
23	20	50	20a	131/2	59/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-2	46	Bb2	2	147
23	20	50	20a	131/2	59/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	143
23	20	50	20a	263/4	119/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-4	44	Ab2	2	148
23	20	50	20a	66	30	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	G2	2	149
23	20	50	20a	66	30	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	144
23	20	50	20a	265/4	121/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	145
24	21	51	21a	133/2	61/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-4	44	Ab2	2	153
24	21	51	21a	133/2	61/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	150
24	21	51	21a	67	31	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	43	G2	2	154
24	21	51	21a	67	31	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		-2	70	Bb4	4	151
24	21	51	21a	135/2	63/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-1	41	F2	2	155
24	21	51	21a	271/4	127/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-4	68	Ab4	4	152
25	22	52	22a	68	32	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	39	Eb2	2	159
25	22	52	22a	68	32	0.75	0	0	3/8	1	1	3/16		1/8	3/2		1	67	G4	4	156
25	22	52	22a	137/2	65/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	160
25	22	52	22a	275/4	131/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	161
25	22	52	22a	275/4	131/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-4	68	Ab4	4	157
25	22	52	22a	69	33	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	162
25	22	52	22a	69	33	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	158
26	23	53	23a	139/2	67/2	0.25	0	0	3/8	2	1	1/16		1/16	1		-4	56	Ab3	3	167
26	23	53	23a	139/2	67/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	163
26	23	53	23a	279/4	135/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		1	55	G3	3	168
26	23	53	23a	70	34	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		0	72	C5	5	164
26	23	53	23a	70	34	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	169
26	23	53	23a	70	34	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		2	74	D5	5	165
26	23	53	23a	141/2	69/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	170
26	23	53	23a	283/4	139/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	166
27	24	54	24a	71	35	0.5	0	0	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	173
27	24	54	24a	71	35	0.5	0	0	3/8	1	1	1/8		1/8	1		-1	65	F4	4	171
27	24	54	24a	143/2	71/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-3	39	Eb2	2	174
27	24	54	24a	143/2	71/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-3	63	Eb4	4	172
19	16	55	24a	72	24	0.5	0	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	117
19	16	55	24a	72	24	0.5	0	1/4	3/8	1	1	1/8		1/8	1		2	74	D5	5	116
20	17	56	17b	145/2	49/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		2	74	D5	5	118
20	17	56	17b	145/2	49/2	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	124
20	17	56	17b	145/2	49/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	119
20	17	56	17b	73	25	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		2	74	D5	5	120
20	17	56	17b	73	25	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	125
20	17	56	17b	73	25	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		0	72	C5	5	121
20	17	56	17b	147/2	51/2	0.0	1/4	1/4	3/8	1	1	0	appoggiatura	1/8	1		-2	70	Bb4	4	122
20	17	56	17b	147/2	51/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	126
20	17	56	17b	147/2	51/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		3	69	A4	4	123
21	18	57	18b	74	26	0.0	0	0	3/8	1	1	0	grace4	1/8	1		3	69	A4	4	127
21	18	57	18b	74	26	0.5	0	0	3/8	2	1	1/8		1/8	1		2	50	D3	3	131
21	18	57	18b	74	26	0.75	0	0	3/8	1	1	3/16		1/8	3/2		-2	70	Bb4	4	128
21	18	57	18b	149/2	53/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	48	C3	3	132
21	18	57	18b	299/4	107/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		0	72	C5	5	129
21	18	57	18b	75	27	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	133
21	18	57	18b	75	27	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		2	74	D5	5	130
22	19	58	19b	151/2	55/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		0	72	C5	5	134
22	19	58	19b	151/2	55/2	0.25	0	0	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	138
22	19	58	19b	151/2	55/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	135
22	19	58	19b	303/4	111/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	139
22	19	58	19b	76	28	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	48	C3	3	140
22	19	58	19b	76	28	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		-3	75	Eb5	5	136
22	19	58	19b	153/2	57/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	141
22	19	58	19b	307/4	115/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	137
23	20	59	20b	77	29	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	146
23	20	59	20b	77	29	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	142
23	20	59	20b	155/2	59/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-2	46	Bb2	2	147
23	20	59	20b	155/2	59/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	143
23	20	59	20b	311/4	119/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-4	44	Ab2	2	148
23	20	59	20b	78	30	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	G2	2	149
23	20	59	20b	78	30	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	144
23	20	59	20b	313/4	121/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	145
24	21	60	21b	157/2	61/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-4	44	Ab2	2	153
24	21	60	21b	157/2	61/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	150
24	21	60	21b	79	31	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	43	G2	2	154
24	21	60	21b	79	31	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		-2	70	Bb4	4	151
24	21	60	21b	159/2	63/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-1	41	F2	2	155
24	21	60	21b	319/4	127/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-4	68	Ab4	4	152
25	22	61	22b	80	32	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	39	Eb2	2	159
25	22	61	22b	80	32	0.75	0	0	3/8	1	1	3/16		1/8	3/2		1	67	G4	4	156
25	22	61	22b	161/2	65/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	160
25	22	61	22b	323/4	131/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	161
25	22	61	22b	323/4	131/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-4	68	Ab4	4	157
25	22	61	22b	81	33	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	162
25	22	61	22b	81	33	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	158
26	23	62	23b	163/2	67/2	0.25	0	0	3/8	2	1	1/16		1/16	1		-4	56	Ab3	3	167
26	23	62	23b	163/2	67/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	163
26	23	62	23b	327/4	135/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		1	55	G3	3	168
26	23	62	23b	82	34	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		0	72	C5	5	164
26	23	62	23b	82	34	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	169
26	23	62	23b	82	34	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		2	74	D5	5	165
26	23	62	23b	165/2	69/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	170
26	23	62	23b	331/4	139/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	166
27	24	63	24b	83	35	0.5	0	0	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	173
27	24	63	24b	83	35	0.5	0	0	3/8	1	1	1/8		1/8	1		-1	65	F4	4	171
27	24	63	24b	167/2	71/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-3	39	Eb2	2	174
27	24	63	24b	167/2	71/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-3	63	Eb4	4	172
1	0	64	24b	84	0	0.5	0	1/4	3/8	2	1	1/8		1/8	1		0	60	C4	4	1
1	0	64	24b	84	0	0.5	0	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	0
2	1	65	1d	169/2	1/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-4	56	Ab3	3	7
2	1	65	1d	169/2	1/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	2
2	1	65	1d	85	1	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	8
2	1	65	1d	85	1	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	3
2	1	65	1d	341/4	5/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	4
2	1	65	1d	171/2	3/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	9
2	1	65	1d	171/2	3/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	C5	5	5
2	1	65	1d	343/4	7/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		5	71	B4	4	6
3	2	66	2d	86	2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		5	71	B4	4	10
3	2	66	2d	86	2	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	14
3	2	66	2d	86	2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	11
3	2	66	2d	173/2	5/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	50	D3	3	15
3	2	66	2d	173/2	5/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		2	74	D5	5	12
3	2	66	2d	87	3	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	16
3	2	66	2d	87	3	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	13
4	3	67	3d	175/2	7/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		-3	75	Eb5	5	17
4	3	67	3d	175/2	7/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	23
4	3	67	3d	175/2	7/2	0.5	0	0	3/8	1	1	1/8		1/8	1		2	74	D5	5	18
4	3	67	3d	88	4	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55	G3	3	24
4	3	67	3d	88	4	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		-1	77	F5	5	19
4	3	67	3d	353/4	17/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	20
4	3	67	3d	177/2	9/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-4	56	Ab3	3	25
4	3	67	3d	177/2	9/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		2	74	D5	5	21
4	3	67	3d	355/4	19/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		0	72	C5	5	22
5	4	68	4d	89	5	0.5	0	0	3/8	2	1	1/8		1/8	1		1	55	G3	3	30
5	4	68	4d	89	5	0.5	0	0	3/8	1	1	1/8		1/8	1		5	71	B4	4	26
5	4	68	4d	179/2	11/2	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		3	69	A4	4	27
5	4	68	4d	179/2	11/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	31
5	4	68	4d	179/2	11/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	28
5	4	68	4d	90	6	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	32
5	4	68	4d	90	6	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	29
6	5	69	5d	181/2	13/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		-3	75	Eb5	5	33
6	5	69	5d	181/2	13/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	39
6	5	69	5d	181/2	13/2	0.5	0	0	3/8	1	1	1/8		1/8	1		2	74	D5	5	34
6	5	69	5d	91	7	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	40
6	5	69	5d	91	7	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		2	74	D5	5	35
6	5	69	5d	365/4	29/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	36
6	5	69	5d	183/2	15/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	50	D3	3	41
6	5	69	5d	183/2	15/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-1	77	F5	5	37
6	5	69	5d	367/4	31/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		3	69	A4	4	38
7	6	70	6d	92	8	0.25	0	0	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	46
7	6	70	6d	92	8	0.5	0	0	3/8	1	1	1/8		1/8	1		5	71	B4	4	42
7	6	70	6d	369/4	33/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	47
7	6	70	6d	185/2	17/2	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		3	69	A4	4	43
7	6	70	6d	185/2	17/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	48
7	6	70	6d	185/2	17/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	44
7	6	70	6d	371/4	35/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	49
7	6	70	6d	93	9	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	50
7	6	70	6d	93	9	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1	1	0	72	C5	5	45
8	7	71	7d	187/2	19/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	56
8	7	71	7d	187/2	19/2	0.25	0	0	3/8	1	1	1/16		1/16	1	-1	0	72	C5	5	51
8	7	71	7d	375/4	39/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	52
8	7	71	7d	94	10	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55	G3	3	57
8	7	71	7d	94	10	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		5	71	B4	4	53
8	7	71	7d	189/2	21/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	G2	2	58
8	7	71	7d	379/4	43/4	0.125	5/16	5/16	3/8	1	1	1/32		1/32	1		3	69	A4	4	54
8	7	71	7d	759/8	87/8	0.125	11/32	11/32	3/8	1	1	1/32		1/32	1		5	71	B4	4	55
9	8	72	8e	95	11	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	60
9	8	72	8e	95	11	1.0	0	0	3/8	1	1	1/4		1/4	1		0	72	C5	5	59
9	8	72	8e	191/2	23/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	36	C2	2	61
28	24	73	24c	96	36	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	179
28	24	73	24c	96	36	1.0	0	0	3/8	1	1	1/4		1/4	1		0	72	C5	5	175
28	24	73	24c	193/2	73/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	36	C2	2	180
28	24	73	24c	389/4	149/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-4	68	Ab4	4	176
28	24	73	24c	195/2	75/2	0.25	3/8	3/8	3/8	1	1	1/16		1/16	1		1	67	G4	4	177
