mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
52	48	94	48a	513/2	3.0	-1	6/8	3/4	0										53
53	49	95	49a	519/2	3.0	-1	6/8	3/4	0										54
54	50	96	50a	525/2	3.0	-1	6/8	3/4	0										55
55	51	97	51a	531/2	3.0	-1	6/8	3/4	0										56
56	52	98	52a	537/2	3.0	-1	6/8	3/4	0										57
57	53	99	53a	543/2	3.0	-1	6/8	3/4	0										58
58	54	100	54a	549/2	1.5	-1	6/8	3/8	0					end		segno		fine	32, 6
32	28	101	54a	276	1.5	-1	6/8	3/8	3/8		1			start	2e				33
33	29	102	29b	555/2	3.0	-1	6/8	3/4	0										34
34	30	103	30b	561/2	3.0	-1	6/8	3/4	0										35
35	31	104	31b	567/2	3.0	-1	6/8	3/4	0										36
36	32	105	32b	573/2	3.0	-1	6/8	3/4	0										37
37	33	106	33b	579/2	3.0	-1	6/8	3/4	0										38
38	34	107	34b	585/2	3.0	-1	6/8	3/4	0										39
39	35	108	35b	591/2	3.0	-1	6/8	3/4	0										40
40	36	109	36b	597/2	3.0	-1	6/8	3/4	0										41
41	37	110	37b	603/2	3.0	-1	6/8	3/4	0										42
42	38	111	38b	609/2	3.0	-1	6/8	3/4	0										43
43	39	112	39b	615/2	3.0	-1	6/8	3/4	0										44
44	40	113	40b	621/2	3.0	-1	6/8	3/4	0										45
45	41	114	41b	627/2	3.0	-1	6/8	3/4	0										46
46	42	115	42b	633/2	3.0	-1	6/8	3/4	0										47
47	43	116	43b	639/2	3.0	-1	6/8	3/4	0										48
48	44	117	44b	645/2	3.0	-1	6/8	3/4	0										49
49	45	118	45b	651/2	3.0	-1	6/8	3/4	0										50
50	46	119	46b	657/2	3.0	-1	6/8	3/4	0										51
51	47	120	47b	663/2	3.0	-1	6/8	3/4	0										52
52	48	121	48b	669/2	3.0	-1	6/8	3/4	0										53
53	49	122	49b	675/2	3.0	-1	6/8	3/4	0										54
54	50	123	50b	681/2	3.0	-1	6/8	3/4	0										55
55	51	124	51b	687/2	3.0	-1	6/8	3/4	0										56
56	52	125	52b	693/2	3.0	-1	6/8	3/4	0										57
57	53	126	53b	699/2	3.0	-1	6/8	3/4	0										58
58	54	127	54b	705/2	1.5	-1	6/8	3/8	0					end		segno		fine	32, 6
6	4	128	54b	354	1.5	-1	6/8	3/8	3/8		1				segno				7
7	5	129	5d	711/2	3.0	-1	6/8	3/4	0										8
8	6	130	6d	717/2	3.0	-1	6/8	3/4	0										9
9	7	131	7d	723/2	3.0	-1	6/8	3/4	0										10
10	8	132	8d	729/2	3.0	-1	6/8	3/4	0										11
11	9	133	9d	735/2	3.0	-1	6/8	3/4	0										12
12	10	134	10d	741/2	3.0	-1	6/8	3/4	0										13
13	11	135	11d	747/2	3.0	-1	6/8	3/4	0										14
14	12	136	12d	753/2	3.0	-1	6/8	3/4	0										15
15	13	137	13d	759/2	3.0	-1	6/8	3/4	0										16
16	14	138	14e	765/2	1.5	-1	6/8	3/8	0					end	fine				1, 17, 32, -1
