mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	38	1c	97/2	1/2	0.5	0	0	3/8	1	1	VI	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	1	38	1c	49	1	0.5	1/8	1/8	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
2	1	38	1c	99/2	3/2	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
3	2	39	2c	50	2	1.0	0	0	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	39	2c	51	3	0.5	1/4	1/4	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
4	3	40	3c	103/2	7/2	0.5	0	0	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
4	3	40	3c	52	4	0.5	1/8	1/8	3/8	1	1	i64	c	i		i64	i		64					m	1	1	1, 0, -3		0	1
4	3	40	3c	105/2	9/2	0.5	1/4	1/4	3/8	1	1	ii%43	c	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
5	4	41	4c	53	5	0.5	0	0	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
5	4	41	4c	107/2	11/2	0.5	1/8	1/8	3/8	1	1	V2	c	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
5	4	41	4c	54	6	0.5	1/4	1/4	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	42	5c	109/2	13/2	1.0	0	0	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
6	5	42	5c	111/2	15/2	0.5	1/4	1/4	3/8	1	1	ii7	c	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
7	6	43	6c	56	8	1.0	0	0	3/8	1	1	III+M7(9)	c	i		III+M7(9)	III	+M	7	9				+M7	1	1	-3, 1, 5, 2	-1	-3	-3
7	6	43	6c	57	9	0.5	1/4	1/4	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
8	7	44	7c	115/2	19/2	0.5	0	0	3/8	1	1	ii65	c	i		ii65	ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
8	7	44	7c	58	10	0.5	1/8	1/8	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
8	7	44	7c	117/2	21/2	0.5	1/4	1/4	3/8	1	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	45	8d	59	11	1.0	0	0	3/8	1	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
19	16	46	16c	60	24	0.5	0	1/4	3/8	1	1	i.V{	c	i		V	V						{	M	1	1	1, 5, 2		1	1
20	17	47	17a	121/2	49/2	0.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
20	17	47	17a	61	25	0.5	1/8	1/8	3/8	1	1	VII.V	c	VII		V	V							M	1	0	1, 5, 2		1	1
20	17	47	17a	123/2	51/2	0.5	1/4	1/4	3/8	1	1	V2	c	VII		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
21	18	48	18a	62	26	1.0	0	0	3/8	1	1	I6	c	VII		I6	I		6					M	1	0	4, 1, 0		0	4
21	18	48	18a	63	27	0.5	1/4	1/4	3/8	1	1	I	c	VII		I	I							M	1	0	0, 4, 1		0	0
22	19	49	19a	127/2	55/2	0.5	0	0	3/8	1	1	IV	c	VII		IV	IV							M	1	0	-1, 3, 0		-1	-1
22	19	49	19a	64	28	0.5	1/8	1/8	3/8	1	1	V43	c	VII		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
22	19	49	19a	129/2	57/2	0.5	1/4	1/4	3/8	1	1	I	c	VII		I	I							M	1	0	0, 4, 1		0	0
23	20	50	20a	65	29	0.5	0	0	3/8	1	1	V	c	VII		V	V							M	1	0	1, 5, 2		1	1
23	20	50	20a	131/2	59/2	0.5	1/8	1/8	3/8	1	1	I	c	VII		I	I							M	1	0	0, 4, 1		0	0
23	20	50	20a	66	30	0.5	1/4	1/4	3/8	1	1	III.I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
24	21	51	21a	133/2	61/2	0.5	0	0	3/8	1	1	IV	c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
24	21	51	21a	67	31	0.5	1/8	1/8	3/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
24	21	51	21a	135/2	63/2	0.5	1/4	1/4	3/8	1	1	V43	c	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
25	22	52	22a	68	32	1.0	0	0	3/8	1	1	I	c	III		I	I							M	1	0	0, 4, 1		0	0
25	22	52	22a	69	33	0.5	1/4	1/4	3/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
26	23	53	23a	139/2	67/2	0.5	0	0	3/8	1	1	IV	c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
26	23	53	23a	70	34	0.5	1/8	1/8	3/8	1	1	V43	c	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
26	23	53	23a	141/2	69/2	0.5	1/4	1/4	3/8	1	1	I	c	III		I	I							M	1	0	0, 4, 1		0	0
27	24	54	24a	71	35	0.5	0	0	3/8	1	1	V	c	III		V	V							M	1	0	1, 5, 2		1	1
27	24	54	24a	143/2	71/2	0.5	1/8	1/8	3/8	1	1	I|PAC}	c	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
19	16	55	24a	72	24	0.5	0	1/4	3/8	1	1	i.V{	c	i		V	V						{	M	1	1	1, 5, 2		1	1
20	17	56	17b	145/2	49/2	0.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
20	17	56	17b	73	25	0.5	1/8	1/8	3/8	1	1	VII.V	c	VII		V	V							M	1	0	1, 5, 2		1	1
20	17	56	17b	147/2	51/2	0.5	1/4	1/4	3/8	1	1	V2	c	VII		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
21	18	57	18b	74	26	1.0	0	0	3/8	1	1	I6	c	VII		I6	I		6					M	1	0	4, 1, 0		0	4
21	18	57	18b	75	27	0.5	1/4	1/4	3/8	1	1	I	c	VII		I	I							M	1	0	0, 4, 1		0	0
22	19	58	19b	151/2	55/2	0.5	0	0	3/8	1	1	IV	c	VII		IV	IV							M	1	0	-1, 3, 0		-1	-1
22	19	58	19b	76	28	0.5	1/8	1/8	3/8	1	1	V43	c	VII		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
22	19	58	19b	153/2	57/2	0.5	1/4	1/4	3/8	1	1	I	c	VII		I	I							M	1	0	0, 4, 1		0	0
23	20	59	20b	77	29	0.5	0	0	3/8	1	1	V	c	VII		V	V							M	1	0	1, 5, 2		1	1
23	20	59	20b	155/2	59/2	0.5	1/8	1/8	3/8	1	1	I	c	VII		I	I							M	1	0	0, 4, 1		0	0
23	20	59	20b	78	30	0.5	1/4	1/4	3/8	1	1	III.I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
24	21	60	21b	157/2	61/2	0.5	0	0	3/8	1	1	IV	c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
24	21	60	21b	79	31	0.5	1/8	1/8	3/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
24	21	60	21b	159/2	63/2	0.5	1/4	1/4	3/8	1	1	V43	c	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
25	22	61	22b	80	32	1.0	0	0	3/8	1	1	I	c	III		I	I							M	1	0	0, 4, 1		0	0
25	22	61	22b	81	33	0.5	1/4	1/4	3/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
26	23	62	23b	163/2	67/2	0.5	0	0	3/8	1	1	IV	c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
26	23	62	23b	82	34	0.5	1/8	1/8	3/8	1	1	V43	c	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
26	23	62	23b	165/2	69/2	0.5	1/4	1/4	3/8	1	1	I	c	III		I	I							M	1	0	0, 4, 1		0	0
27	24	63	24b	83	35	0.5	0	0	3/8	1	1	V	c	III		V	V							M	1	0	1, 5, 2		1	1
27	24	63	24b	167/2	71/2	0.5	1/8	1/8	3/8	1	1	I|PAC}	c	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
1	0	64	24b	84	0	0.5	0	1/4	3/8	1	1	c.i{	c	i		i	i						{	m	1	1	0, -3, 1		0	0
2	1	65	1d	169/2	1/2	0.5	0	0	3/8	1	1	VI	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
2	1	65	1d	85	1	0.5	1/8	1/8	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
2	1	65	1d	171/2	3/2	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
3	2	66	2d	86	2	1.0	0	0	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	66	2d	87	3	0.5	1/4	1/4	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
