mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
59	55	104	55a	287/2	167/2	0.5	1/8	1/8	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
59	55	104	55a	144	84	0.5	1/4	1/4	3/8	1	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
60	56	105	56a	289/2	169/2	1.0	0	0	3/8	1	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
28	24	106	56a	291/2	36	1.25	0	0	3/8	1	1	i.i{	c	i		i	i						{	m	1	1	0, -3, 1		0	0
28	24	106	56a	587/4	149/4	0.75	5/16	5/16	3/8	1	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
29	25	107	25b	295/2	38	1.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
30	26	108	26b	149	79/2	1.5	0	0	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
31	27	109	27b	301/2	41	0.5	0	0	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
31	27	109	27b	151	83/2	0.5	1/8	1/8	3/8	1	1	IV6	c	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
31	27	109	27b	303/2	42	0.5	1/4	1/4	3/8	1	1	V65	c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
32	28	110	28b	152	85/2	1.0	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
32	28	110	28b	153	87/2	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
33	29	111	29b	307/2	44	1.0	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
33	29	111	29b	309/2	45	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
34	30	112	30b	155	91/2	1.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
35	31	113	31b	313/2	47	0.5	0	0	3/8	1	1	v6	c	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
35	31	113	31b	157	95/2	0.5	1/8	1/8	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
35	31	113	31b	315/2	48	0.5	1/4	1/4	3/8	1	1	ii%43	c	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
36	32	114	32b	158	97/2	1.5	0	0	3/8	1	1	V|HC.PHR}	c	i		V	V					HC.PHR	}	M	1	1	1, 5, 2		1	1
36	32	114	32b	635/4	197/4	0.0	3/16	3/16	3/8	1	1	{	c	i									{		1	1				
37	33	115	33b	319/2	50	1.5	0	0	3/8	1	1	v.i	c	v		i	i							m	1	1	0, -3, 1		0	0
38	34	116	34b	161	103/2	1.5	0	0	3/8	1	1	i6	c	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
39	35	117	35b	325/2	53	0.5	0	0	3/8	1	1	V	c	v		V	V							M	1	1	1, 5, 2		1	1
39	35	117	35b	163	107/2	0.5	1/8	1/8	3/8	1	1	IV6	c	v		IV6	IV		6					M	1	1	3, 0, -1		-1	3
39	35	117	35b	327/2	54	0.5	1/4	1/4	3/8	1	1	V65	c	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
40	36	118	36b	164	109/2	0.5	0	0	3/8	1	1	i	c	v		i	i							m	1	1	0, -3, 1		0	0
40	36	118	36b	329/2	55	1.0	1/8	1/8	3/8	1	1	iv64	c	v		iv64	iv		64					m	1	1	0, -1, -4		-1	0
41	37	119	37b	331/2	56	0.5	0	0	3/8	1	1	VII7	c	v		VII7	VII		7					Mm7	1	1	-2, 2, -1, -4		-2	-2
41	37	119	37b	166	113/2	1.0	1/8	1/8	3/8	1	1	III64	c	v		III64	III		64					M	1	1	-2, -3, 1		-3	-2
42	38	120	38b	167	115/2	1.0	0	0	3/8	1	1	VIM7	c	v		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
42	38	120	38b	168	117/2	0.5	1/4	1/4	3/8	1	1	ii%43	c	v		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
43	39	121	39b	337/2	59	0.5	0	0	3/8	1	1	ii%65	c	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
43	39	121	39b	169	119/2	0.5	1/8	1/8	3/8	1	1	V(4)	c	v		V(4)	V			4				M	1	1	1, 0, 2		1	1
43	39	121	39b	339/2	60	0.5	1/4	1/4	3/8	1	1	V	c	v		V	V							M	1	1	1, 5, 2		1	1
44	40	122	40b	170	121/2	1.5	0	0	3/8	1	1	I|PAC}	c	v		I	I					PAC	}	M	1	1	0, 4, 1		0	0
44	40	122	40b	683/4	245/4	0.0	3/16	3/16	3/8	1	1	{	c	v									{		1	1				
45	41	123	41b	343/2	62	1.5	0	0	3/8	1	1	i.V/iv	c	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
46	42	124	42b	173	127/2	1.5	0	0	3/8	1	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
47	43	125	43b	349/2	65	1.5	0	0	3/8	1	1	V/III	c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
48	44	126	44b	176	133/2	0.5	0	0	3/8	1	1	III	c	i		III	III							M	1	1	-3, 1, -2		-3	-3
48	44	126	44b	353/2	67	0.5	1/8	1/8	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
48	44	126	44b	177	135/2	0.5	1/4	1/4	3/8	1	1	i7	c	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
49	45	127	45b	355/2	68	0.5	0	0	3/8	1	1	IV7	c	i		IV7	IV		7					Mm7	1	1	-1, 3, 0, -3		-1	-1
49	45	127	45b	178	137/2	0.5	1/8	1/8	3/8	1	1	ii6	c	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
49	45	127	45b	357/2	69	0.5	1/4	1/4	3/8	1	1	ii7	c	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
50	46	128	46b	179	139/2	1.0	0	0	3/8	1	1	V|HC}	c	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
50	46	128	46b	719/4	281/4	0.0	3/16	3/16	3/8	1	1	{	c	i									{		1	1				
50	46	128	46b	180	141/2	0.5	1/4	1/4	3/8	1	1	V65	c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
51	47	129	47b	361/2	71	0.5	0	0	3/8	1	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
51	47	129	47b	181	143/2	1.0	1/8	1/8	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
52	48	130	48b	182	145/2	1.5	0	0	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
53	49	131	49b	367/2	74	0.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
53	49	131	49b	184	149/2	0.5	1/8	1/8	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
53	49	131	49b	369/2	75	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
54	50	132	50b	185	151/2	1.5	0	0	3/8	1	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
54	50	132	50b	371/2	76	0.0	1/8	1/8	3/8	1	1	{	c	i									{		1	1				
55	51	133	51b	373/2	77	0.5	0	0	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
55	51	133	51b	187	155/2	0.5	1/8	1/8	3/8	1	1	i64	c	i		i64	i		64					m	1	1	1, 0, -3		0	1
55	51	133	51b	375/2	78	0.5	1/4	1/4	3/8	1	1	ii%43	c	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
56	52	134	52b	188	157/2	0.5	0	0	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
56	52	134	52b	377/2	79	0.5	1/8	1/8	3/8	1	1	V2	c	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
56	52	134	52b	189	159/2	0.5	1/4	1/4	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
57	53	135	53b	379/2	80	1.0	0	0	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
57	53	135	53b	381/2	81	0.5	1/4	1/4	3/8	1	1	ii7	c	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
58	54	136	54b	191	163/2	1.0	0	0	3/8	1	1	III+M7(9)	c	i		III+M7(9)	III	+M	7	9				+M7	1	1	-3, 1, 5, 2	-1	-3	-3
58	54	136	54b	192	165/2	0.5	1/4	1/4	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
59	55	137	55b	385/2	83	0.5	0	0	3/8	1	1	ii65	c	i		ii65	ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
59	55	137	55b	193	167/2	0.5	1/8	1/8	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
59	55	137	55b	387/2	84	0.5	1/4	1/4	3/8	1	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
60	56	138	56b	194	169/2	1.0	0	0	3/8	1	1	i|PAC}	c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
