mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
3	2	13/2	13/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	23	ornamentShortTrill											6
3	2	7	7	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	24												
3	2	9/2	9/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	25	ornamentShortTrill											7
3	2	5	5	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	26												7
3	2	11/2	11/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	27												
3	2	6	6	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	28												8
3	2	13/2	13/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	29	ornamentShortTrill											8
3	2	7	7	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	30												
3	2	9/2	9/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	31												
4	3	15/2	15/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	32												9
4	3	8	8	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	33												9
4	3	17/2	17/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	34												
4	3	9	9	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	35												10
4	3	19/2	19/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	36	ornamentShortTrill											10
4	3	10	10	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	37												
4	3	15/2	15/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	38												11
4	3	8	8	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	39												11
4	3	17/2	17/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	40												
4	3	9	9	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	41												12
4	3	19/2	19/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	42	ornamentShortTrill											12
4	3	10	10	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	43												
5	4	21/2	21/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	44												
5	4	23/2	23/2	0.0	1/4	1/4	StaffText	6/8	1	1	0						)										
5	4	23/2	23/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	45												
5	4	21/2	21/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	46												
5	4	23/2	23/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	47												
6	4	12	12	0.5	0	3/8	Chord	6/8	1	1	1/8		1/8	1	48												13
6	4	25/2	25/2	0.5	1/8	1/2	Chord	6/8	1	1	1/8		1/8	1	49	ornamentShortTrill											13
6	4	13	13	0.5	1/4	5/8	Chord	6/8	1	1	1/8		1/8	1	50												
6	4	12	12	0.0	0	3/8	StaffText	6/8	2	1	0						renvoy										
6	4	12	12	0.5	0	3/8	Chord	6/8	2	1	1/8		1/8	1	51												
