mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
23	20	119/2	119/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	207
23	20	60	60	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	208
23	20	60	60	1.0	3/8	3/8	6/8	1	1	1/4		1/4	1		0	84	C6	6	204
23	20	121/2	121/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		1	55	G3	3	209
23	20	61	61	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-1	53	F3	3	210
24	21	123/2	123/2	0.5	0	0	6/8	2	1	1/8		1/8	1		4	52	E3	3	215
24	21	123/2	123/2	1.0	0	0	6/8	1	1	1/4		1/4	1		-2	82	Bb5	5	211
24	21	62	62	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		2	50	D3	3	216
24	21	125/2	125/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		0	48	C3	3	217
24	21	63	63	1.0	3/8	3/8	6/8	2	1	1/4		1/4	1		0	60	C4	4	218
24	21	63	63	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		3	81	A5	5	212
24	21	127/2	127/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		-2	82	Bb5	5	213
24	21	64	64	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	81	A5	5	214
25	22	129/2	129/2	1.0	0	0	6/8	2	1	1/4		1/4	1		-2	58	Bb3	3	225
25	22	129/2	129/2	0.5	0	0	6/8	1	1	1/8		1/8	1		1	79	G5	5	219
25	22	65	65	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		3	81	A5	5	220
25	22	131/2	131/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		-2	82	Bb5	5	221
25	22	66	66	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	226
25	22	66	66	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		0	84	C6	6	222
25	22	133/2	133/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	227
25	22	133/2	133/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		2	86	D6	6	223
25	22	67	67	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	228
25	22	67	67	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		0	84	C6	6	224
26	23	135/2	135/2	0.5	0	0	6/8	2	1	1/8		1/8	1		1	55	G3	3	235
26	23	135/2	135/2	0.5	0	0	6/8	1	1	1/8		1/8	1		-2	82	Bb5	5	229
26	23	68	68	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		3	57	A3	3	236
26	23	68	68	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		0	84	C6	6	230
26	23	137/2	137/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		1	55	G3	3	237
26	23	137/2	137/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		-2	82	Bb5	5	231
26	23	69	69	1.0	3/8	3/8	6/8	2	1	1/4		1/4	1		-1	53	F3	3	238
26	23	69	69	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		3	81	A5	5	232
26	23	139/2	139/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		-2	82	Bb5	5	233
26	23	70	70	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-1	65	F4	4	239
26	23	70	70	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	81	A5	5	234
27	24	141/2	141/2	0.5	0	0	6/8	2	1	1/8		1/8	1		4	64	E4	4	244
27	24	141/2	141/2	1.0	0	0	6/8	1	1	1/4		1/4	1		1	79	G5	5	240
27	24	71	71	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		-1	65	F4	4	245
27	24	143/2	143/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		4	64	E4	4	246
27	24	72	72	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		2	62	D4	4	247
27	24	72	72	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	241
27	24	145/2	145/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		0	60	C4	4	248
27	24	145/2	145/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		4	76	E5	5	242
27	24	73	73	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	249
27	24	73	73	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	243
28	25	147/2	147/2	0.5	0	0	6/8	2	1	1/8		1/8	1		3	57	A3	3	256
28	25	147/2	147/2	0.5	0	0	6/8	1	1	1/8		1/8	1		0	72	C5	5	250
28	25	74	74	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	257
28	25	74	74	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	251
28	25	149/2	149/2	0.5	1/4	1/4	6/8	2	1	1/8		1/8	1		0	60	C4	4	258
28	25	149/2	149/2	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		4	76	E5	5	252
28	25	75	75	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		2	62	D4	4	259
28	25	75	75	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	F5	5	253
28	25	151/2	151/2	0.5	1/2	1/2	6/8	2	1	1/8		1/8	1		0	60	C4	4	260
28	25	151/2	151/2	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		4	76	E5	5	254
28	25	76	76	0.5	5/8	5/8	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	261
28	25	76	76	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		2	74	D5	5	255
29	26	153/2	153/2	0.5	0	0	6/8	2	1	1/8		1/8	1		3	57	A3	3	266
29	26	153/2	153/2	1.0	0	0	6/8	1	1	1/4		1/4	1		0	72	C5	5	262
29	26	77	77	0.5	1/8	1/8	6/8	2	1	1/8		1/8	1		1	55	G3	3	267
