piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	path	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
c11n08_Rondeau	1: 3/8	1: -2	60	56	85.5	138	130	195.0	164.75	437	266	0	0	131	c	2.3.0	Tobias Drewelius (2.1.0), Hanné Becker (2.3.0)	Johannes Menke (2.1.0)	1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 11	8	Rondeau						2019-08-01	3.02	Linux			Rondeau	c11n08	Francois Couperin	3.6.2	2.6.0.post1.dev1+ga429209ac.d20260201	.	./c11n08_Rondeau.mscx	False	36-79 (C2-G5)	MS3/c11n08_Rondeau.mscx	Piano	58-79 (Bb3-G5)	Piano	36-62 (C2-D4)
c05n05_musete	1: 6/8	1: -1	58	54	162.0	138	129	384.0	299.5	530	318	0	0	118	F	2.3.0	Johannes Menke (2.1.0), Hanné Becker (2.3.0)		1724	1724	François Couperin	Nouveau Concert, ou Les Goûts-Réunis no. 5	5	Muséte						2019-08-01	3.02	Linux			Muséte	c05n05	Francois Couperin	3.6.2	2.6.0.post1.dev1+ga429209ac.d20260201	.	./c05n05_musete.mscx	False	38-86 (D2-D6)	MS3/c05n05_musete.mscx	Piano	65-86 (F4-D6)	Piano	38-70 (D2-Bb4)
