mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
47	43	255/2	255/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
47	43	129	129	1.5	3/8	3/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
48	44	261/2	261/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
48	44	132	132	1.5	3/8	3/8	6/8	1	1	V.IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
49	45	267/2	267/2	1.5	0	0	6/8	1	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
49	45	135	135	1.5	3/8	3/8	6/8	1	1	V43	F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
50	46	273/2	273/2	1.5	0	0	6/8	1	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
50	46	138	138	1.5	3/8	3/8	6/8	1	1	IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
51	47	279/2	279/2	1.5	0	0	6/8	1	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
51	47	141	141	1.5	3/8	3/8	6/8	1	1	V43	F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
52	48	285/2	285/2	1.5	0	0	6/8	1	1	I|IAC}	F	V		I	I					IAC	}	M	0	0	0, 4, 1		0	0
52	48	144	144	1.5	3/8	3/8	6/8	1	1	I.vi{	F	I		vi	vi						{	m	0	0	3, 0, 4		3	3
53	49	291/2	291/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
53	49	147	147	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
