start;measure
924.31;515
925.65;516
926.83;517
928.15;518
929.34;519
930.59;520
931.9466666667;521
933.12;522
934.24;523
935.5016666667;524
936.88;525
937.6481481481;526
939.61;527
941.07;528
942.89;529
944.415;530
946.36;531
947.88;532
949.26;533
950.6814285714;534
952.578730158;535
954.76;536
957.22;537
958.832653061;538
960.68;539
963.2575;540
965.7;541
967.6;542
969.46;543
971.09;544
972.42;545
973.58;546
974.96;547
976.12;548
977.3;549
978.594666666;550
979.886666666;551
981.18;552
982.46;553
983.66;554
985.06;555
986.22;556
987.4321428571;557
988.68;558
990.08;559
991.48;560
993.5266666667;561
994.54;562
995.96;563
997.32;564
998.8;565
1000.48;566
1001.84;567
1003.18;568
1004.76;569
1006.06;570
1007.335;571
1008.92;572
1010.095;573
1011.5;574
1012.92;575
1014.34;576
1015.66;577
1016.845;578
1018.198684807;579
1019.6;580
1021.04;581
1022.32;582
1023.58;583
1025.06;584
1026.5;585
1027.78;586
1029.3;587
1030.44;588
1031.76;589
1033.16;590
1034.52;591
1035.92;592
1037.061333333;593
1038.44;594
1039.88;595
1041.2;596
1042.48;597
1043.76;598
1045.04;599
1046.28;600
1047.56;601
1048.76;602
1050.42;603
1051.98;604
1053.4;605
1055.06;606
1056.6;607
1058.14;608
1059.74;609
1061.38;610
1063;611
1064.53;612
1066.2;613
1067.74;614
1069.36;615
1070.96;616
1072.66;617
1074.28;618
1076;619
1077.38;620
1079.2;621
1080.94;622
1082.46;623
1084.12;624
1085.844;625
1087.4;626
1089.08;627
1090.7;628
1092.33;629
1093.94;630
1095.7;631
1097.3;632
1099.18;633
1100.8;634
1102.788;635
1104.7;636
1106.84;637
1109;638
1111.015;639
1112.96;640
1115;641
1116.84;642
1118.76;643
1120.74;644
1122.72;645
1124.74;646
1126.58;647
1128.8;648
1130.7;649
1132.8;650
1134.72;651
1136.56;652
1138.22;653
1140.04;654
1141.635;655
1143.466666667;656
1145.0225;657
1146.72;658
1148.563265306;659
1150.28;660
1152.38;661
1154.54;662
1156.819455782;663
1159.26;664
1161.68;665
1164.16;666
1166.36;667
1168.38;668
1171.3;669
1173.7;670
1175.856;671
1178.06;672
1180.62;673
1182.62;674
1185.04;675
1187.46;676
1189.78;677
1191.82;678
1194.52;679
1196.08;680
1198.88;681
1201.16;682
1203.16;683
1205.18;684
1208.08;685
1210.04;686
1212.04;687
1214.26;688
1216.26;689
1218.4;690
1220.6;691
1222.44;692
1224.48;693
1226.44;694
1228.6;695
1230.8;696
1232.96;697
1235.22;698
1237.28;699
1239.48;700
1241.3;701
1243.14;702
1245.18;703
1247.32;704
1249.22;705
1251.54;706
1253.8;707
1255.98;708
1258.36;709
1260.36;710
1262.51;711
1264.812199546;712
1266.96;713
1269.02;714
1271.14;715
1273.48;716
1275.82;717
1278.26;718
1280.76;719
1282.64;720
1285.695;721
1288.18;722
1290.78;723
1293.34;724
1295.94;725
1299.72;726
1300.88;727
1304.74;728
1308.62;729
1312.42;730
1316.78;731
1321;732
1324.58;733
1327.08;734
1329.48;735
1331.6025;736
1333.46;737
