mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
46	46	182	182	1.0	1/2	1/2	4/4	2	1	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
46	46	183	183	0.5	3/4	3/4	4/4	2	1	ii6(2)		C	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
46	46	367/2	367/2	0.5	7/8	7/8	4/4	2	1	ii6		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
47	47	184	184	1.0	0	0	4/4	2	1	V7(4)		C	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
47	47	185	185	1.0	1/4	1/4	4/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
47	47	186	186	2.0	1/2	1/2	4/4	2	1	V43/V		C	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
48	48	188	188	0.5	0	0	4/4	2	1	V65(9)		C	I		V65(9)	V		65	9				Mm7	0	0	5, 2, -1, 1	3	1	5
48	48	377/2	377/2	0.5	1/8	1/8	4/4	2	1	V65		C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
48	48	189	189	0.5	1/4	1/4	4/4	2	1	V65(13)		C	I		V65(13)	V		65	13				Mm7	0	0	5, 2, -1, 1	4	1	5
48	48	379/2	379/2	0.5	3/8	3/8	4/4	2	1	V65		C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
48	48	190	190	0.5	1/2	1/2	4/4	2	1	V7(4)		C	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
48	48	381/2	381/2	0.5	5/8	5/8	4/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	48	191	191	0.5	3/4	3/4	4/4	2	1	V(9)		C	I		V(9)	V			9				M	0	0	1, 5, 2	3	1	1
48	48	383/2	383/2	0.5	7/8	7/8	4/4	2	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
49	49	192	192	1.0	0	0	4/4	2	1	I\\		C	I		I	I						\\	M	0	0	0, 4, 1		0	0
49	49	193	193	1.0	1/4	1/4	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
49	49	194	194	1.0	1/2	1/2	4/4	2	1	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
49	49	195	195	1.0	3/4	3/4	4/4	2	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
50	50	196	196	1.0	0	0	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
50	50	197	197	1.0	1/4	1/4	4/4	2	1	I(64)		C	I		I(64)	I			64				M	0	0	0, -1, 3		0	0
50	50	198	198	3.0	1/2	1/2	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
51	51	201	201	1.0	1/4	1/4	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
51	51	202	202	1.0	1/2	1/2	4/4	2	1	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
51	51	203	203	1.0	3/4	3/4	4/4	2	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
52	52	204	204	1.0	0	0	4/4	2	1	iii		C	I		iii	iii							m	0	0	4, 1, 5		4	4
52	52	205	205	1.0	1/4	1/4	4/4	2	1	V7/iii		C	I		V7/iii	V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
52	52	206	206	1.0	1/2	1/2	4/4	2	1	iii		C	I		iii	iii							m	0	0	4, 1, 5		4	4
52	52	207	207	2.0	3/4	3/4	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
53	53	209	209	1.0	1/4	1/4	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
53	53	210	210	1.0	1/2	1/2	4/4	2	1	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
53	53	211	211	1.0	3/4	3/4	4/4	2	1	iii		C	I		iii	iii							m	0	0	4, 1, 5		4	4
54	54	212	212	1.0	0	0	4/4	2	1	V7/V		C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
54	54	213	213	1.0	1/4	1/4	4/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
54	54	214	214	1.0	1/2	1/2	4/4	2	1	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
54	54	215	215	0.5	3/4	3/4	4/4	2	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
54	54	431/2	431/2	0.5	7/8	7/8	4/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
55	55	216	216	1.0	0	0	4/4	2	1	V+6/vi		C	I		V+6/vi	V	+	6		vi			+	0	0	8, 12, 4		4	8
55	55	217	217	1.0	1/4	1/4	4/4	2	1	vii%65		C	I		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
55	55	218	218	1.0	1/2	1/2	4/4	2	1	#viio7/ii		C	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
55	55	219	219	1.0	3/4	3/4	4/4	2	1	V2/V		C	I		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
56	56	220	220	0.5	0	0	4/4	2	1	V6(97)		C	I		V6(97)	V		6	97				M	0	0	5, 2, -1	3	1	5
56	56	441/2	441/2	0.5	1/8	1/8	4/4	2	1	V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
56	56	221	221	1.0	1/4	1/4	4/4	2	1	vii%65/V		C	I		vii%65/V	vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3
56	56	222	222	1.0	1/2	1/2	4/4	2	1	V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
56	56	223	223	1.0	3/4	3/4	4/4	2	1	iii7		C	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
57	57	224	224	0.5	0	0	4/4	2	1	vi(4)		C	I		vi(4)	vi			4				m	0	0	3, 2, 4		3	3
57	57	449/2	449/2	0.5	1/8	1/8	4/4	2	1	vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
57	57	225	225	1.0	1/4	1/4	4/4	2	1	vi6		C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
57	57	226	226	1.0	1/2	1/2	4/4	2	1	V(64)/V		C	I		V(64)/V	V			64	V			M	0	0	2, 1, 5		2	2
57	57	227	227	1.0	3/4	3/4	4/4	2	1	V7/V		C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
58	58	228	228	2.0	0	0	4/4	2	1	V\\		C	I		V	V						\\	M	0	0	1, 5, 2		1	1
58	58	230	230	2.0	1/2	1/2	4/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
59	59	232	232	2.0	0	0	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
59	59	234	234	1.0	1/2	1/2	4/4	2	1	IV6(2)		C	I		IV6(2)	IV		6	2				M	0	0	3, 0, 1		-1	3
59	59	235	235	1.0	3/4	3/4	4/4	2	1	IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
60	60	236	236	1.5	0	0	4/4	2	1	V2(6)/ii		C	I		V2(6)/ii	V		2	6	ii			Mm7	0	0	1, 3, 7, -1		3	1
60	60	475/2	475/2	0.5	3/8	3/8	4/4	2	1	V2/ii		C	I		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
60	60	238	238	1.0	1/2	1/2	4/4	2	1	ii6(2)		C	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
60	60	239	239	0.5	3/4	3/4	4/4	2	1	vii%43		C	I		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
60	60	479/2	479/2	0.5	7/8	7/8	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
61	61	240	240	2.0	0	0	4/4	2	1	ii7		C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
61	61	242	242	2.0	1/2	1/2	4/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
62	62	244	244	2.0	0	0	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
62	62	246	246	1.5	1/2	1/2	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
62	62	495/2	495/2	0.5	7/8	7/8	4/4	2	1	viio6		C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
63	63	248	248	2.0	0	0	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
63	63	250	250	1.0	1/2	1/2	4/4	2	1	IV6(2)		C	I		IV6(2)	IV		6	2				M	0	0	3, 0, 1		-1	3
63	63	251	251	1.0	3/4	3/4	4/4	2	1	IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
64	64	252	252	1.5	0	0	4/4	2	1	V2(6)/ii		C	I		V2(6)/ii	V		2	6	ii			Mm7	0	0	1, 3, 7, -1		3	1
64	64	507/2	507/2	0.5	3/8	3/8	4/4	2	1	V2/ii		C	I		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
64	64	254	254	1.0	1/2	1/2	4/4	2	1	ii6(2)		C	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
64	64	255	255	0.5	3/4	3/4	4/4	2	1	vii%43		C	I		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
64	64	511/2	511/2	0.5	7/8	7/8	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
65	65	256	256	2.0	0	0	4/4	2	1	ii7		C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
65	65	258	258	2.0	1/2	1/2	4/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
66	66	260	260	2.0	0	0	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
66	66	262	262	1.5	1/2	1/2	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
66	66	527/2	527/2	0.5	7/8	7/8	4/4	2	1	viio64/V		C	I		viio64/V	vii	o	64		V			o	0	0	0, 6, 3		6	0
67	67	264	264	2.0	0	0	4/4	2	1	V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
67	67	266	266	1.0	1/2	1/2	4/4	2	1	I(9)		C	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
67	67	267	267	1.0	3/4	3/4	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
68	68	268	268	1.5	0	0	4/4	2	1	V2(6)/vi		C	I		V2(6)/vi	V		2	6	vi			Mm7	0	0	2, 4, 8, 0		4	2
68	68	539/2	539/2	0.5	3/8	3/8	4/4	2	1	V2/vi		C	I		V2/vi	V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2
68	68	270	270	1.0	1/2	1/2	4/4	2	1	vi6(2)		C	I		vi6(2)	vi		6	2				m	0	0	0, 4, 5		3	0
68	68	271	271	0.5	3/4	3/4	4/4	2	1	vii%43/V		C	I		vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
68	68	543/2	543/2	0.5	7/8	7/8	4/4	2	1	V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
69	69	272	272	2.0	0	0	4/4	2	1	vi7		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
69	69	274	274	2.0	1/2	1/2	4/4	2	1	V/V		C	I		V/V	V				V			M	0	0	2, 6, 3		2	2
70	70	276	276	2.0	0	0	4/4	2	1	V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
70	70	278	278	2.0	1/2	1/2	4/4	2	1	#vii%43/ii		C	I		#vii%43/ii	#vii	%	43		ii			%7	0	0	1, 5, 7, 4		7	1
71	71	280	280	2.0	0	0	4/4	2	1	V6/V		C	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
71	71	282	282	2.0	1/2	1/2	4/4	2	1	vii%43		C	I		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
72	72	284	284	1.5	0	0	4/4	2	1	V7(4)/vi		C	I		V7(4)/vi	V		7	4	vi			Mm7	0	0	4, 3, 5, 2		4	4
72	72	571/2	571/2	0.5	3/8	3/8	4/4	2	1	V7/vi		C	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
72	72	286	286	2.0	1/2	1/2	4/4	2	1	vi7		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
73	73	288	288	1.5	0	0	4/4	2	1	V2(6)/vii		C	I		V2(6)/vii	V		2	6	vii			Mm7	0	0	4, 6, 10, 2		6	4
73	73	579/2	579/2	0.5	3/8	3/8	4/4	2	1	V2/vii		C	I		V2/vii	V		2		vii			Mm7	0	0	4, 6, 10, 7		6	4
73	73	290	290	2.0	1/2	1/2	4/4	2	1	VM7		C	I		VM7	V	M	7					MM7	0	0	1, 5, 2, 6		1	1
74	74	292	292	2.0	0	0	4/4	2	1	iii7		C	I		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
74	74	294	294	2.0	1/2	1/2	4/4	2	1	vi7		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
75	75	296	296	2.0	0	0	4/4	2	1	vii%7/V		C	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
75	75	298	298	2.0	1/2	1/2	4/4	2	1	vii7		C	I		vii7	vii		7					mm7	0	0	5, 2, 6, 3		5	5
76	76	300	300	2.0	0	0	4/4	2	1	vi7		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
76	76	302	302	2.0	1/2	1/2	4/4	2	1	vii%43/V		C	I		vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
77	77	304	304	2.0	0	0	4/4	2	1	vii%7		C	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
77	77	306	306	2.0	1/2	1/2	4/4	2	1	vii%65		C	I		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
78	78	308	308	2.0	0	0	4/4	2	1	vii%43/V		C	I		vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
78	78	310	310	2.0	1/2	1/2	4/4	2	1	V65/IV		C	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
79	79	312	312	2.0	0	0	4/4	2	1	#viio43/vi		C	I		#viio43/vi	#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
79	79	314	314	2.0	1/2	1/2	4/4	2	1	V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
80	80	316	316	2.0	0	0	4/4	2	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
80	80	318	318	1.0	1/2	1/2	4/4	2	1	IV6(2)		C	I		IV6(2)	IV		6	2				M	0	0	3, 0, 1		-1	3
80	80	319	319	1.0	3/4	3/4	4/4	2	1	IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
81	81	320	320	1.0	0	0	4/4	2	1	V2(6)/ii		C	I		V2(6)/ii	V		2	6	ii			Mm7	0	0	1, 3, 7, -1		3	1
81	81	321	321	1.0	1/4	1/4	4/4	2	1	V2/ii		C	I		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
81	81	322	322	1.0	1/2	1/2	4/4	2	1	ii6(2)		C	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
81	81	323	323	1.0	3/4	3/4	4/4	2	1	vii%43		C	I		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
82	82	324	324	2.0	0	0	4/4	2	1	ii7		C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
82	82	326	326	2.0	1/2	1/2	4/4	2	1	V7(9)		C	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
83	83	328	328	2.0	0	0	4/4	2	1	IM7		C	I		IM7	I	M	7					MM7	0	0	0, 4, 1, 5		0	0
83	83	330	330	2.0	1/2	1/2	4/4	2	1	IV+(9)		C	I		IV+(9)	IV	+		9				+	0	0	-1, 3, 7	1	-1	-1
84	84	332	332	2.0	0	0	4/4	2	1	vii%7		C	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
84	84	334	334	2.0	1/2	1/2	4/4	2	1	V7/vi		C	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
85	85	336	336	1.0	0	0	4/4	2	1	IVM7(4)		C	I		IVM7(4)	IV	M	7	4				MM7	0	0	-1, 5, 0, 4		-1	-1
85	85	337	337	1.0	1/4	1/4	4/4	2	1	IVM7		C	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
85	85	338	338	1.0	1/2	1/2	4/4	2	1	#viio65/iii		C	I		#viio65/iii	#vii	o	65		iii			o7	0	0	6, 3, 0, 9		9	6
85	85	339	339	0.5	3/4	3/4	4/4	2	1	iii6		C	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
85	85	679/2	679/2	0.5	7/8	7/8	4/4	2	1	viio6/V		C	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
86	86	340	340	0.5	0	0	4/4	2	1	V65		C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
86	86	681/2	681/2	0.5	1/8	1/8	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
86	86	341	341	0.5	1/4	1/4	4/4	2	1	#vii%7/ii		C	I		#vii%7/ii	#vii	%	7		ii			%7	0	0	7, 4, 1, 5		7	7
86	86	683/2	683/2	0.5	3/8	3/8	4/4	2	1	#viio7/ii		C	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
86	86	342	342	0.5	1/2	1/2	4/4	2	1	ii(4)		C	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
86	86	685/2	685/2	0.5	5/8	5/8	4/4	2	1	ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
86	86	343	343	0.5	3/4	3/4	4/4	2	1	V(6)/vi		C	I		V(6)/vi	V			6	vi			M	0	0	4, 8, 0		4	4
86	86	687/2	687/2	0.5	7/8	7/8	4/4	2	1	ii65		C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
87	87	344	344	1.0	0	0	4/4	2	1	V[I6		C	I	V	I6	I		6					M	0	0	4, 1, 0		0	4
87	87	345	345	1.0	1/4	1/4	4/4	2	1	V65/iii		C	I	V	V65/iii	V		65		iii			Mm7	0	0	9, 6, 3, 5		5	9
87	87	346	346	1.0	1/2	1/2	4/4	2	1	viio6		C	I	V	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
87	87	347	347	0.5	3/4	3/4	4/4	2	1	#vii%7/ii		C	I	V	#vii%7/ii	#vii	%	7		ii			%7	0	0	7, 4, 1, 5		7	7
87	87	695/2	695/2	0.5	7/8	7/8	4/4	2	1	viio6		C	I	V	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
88	88	348	348	2.0	0	0	4/4	2	1	vii%43		C	I	V	vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
88	88	350	350	1.0	1/2	1/2	4/4	2	1	iii		C	I	V	iii	iii							m	0	0	4, 1, 5		4	4
88	88	351	351	1.0	3/4	3/4	4/4	2	1	viio6]		C	I	V	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
89	89	352	352	1.0	0	0	4/4	2	1	vi7		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
89	89	353	353	1.0	1/4	1/4	4/4	2	1	viio65/V		C	I		viio65/V	vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
89	89	354	354	1.0	1/2	1/2	4/4	2	1	ii43		C	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
89	89	355	355	0.5	3/4	3/4	4/4	2	1	V(b10)/ii		C	I		V(b10)/ii	V			b10	ii			M	0	0	3, 7, 4	0	3	3
89	89	711/2	711/2	0.5	7/8	7/8	4/4	2	1	ii43		C	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
90	90	356	356	1.0	0	0	4/4	2	1	V7(96)		C	I		V7(96)	V		7	96				Mm7	0	0	1, 5, 4, -1	3	1	1
90	90	357	357	0.5	1/4	1/4	4/4	2	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
90	90	715/2	715/2	0.5	3/8	3/8	4/4	2	1	IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
90	90	358	358	0.5	1/2	1/2	4/4	2	1	viio6(2)		C	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
90	90	717/2	717/2	0.5	5/8	5/8	4/4	2	1	viio6		C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
90	90	359	359	0.5	3/4	3/4	4/4	2	1	V(4)		C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
90	90	719/2	719/2	0.5	7/8	7/8	4/4	2	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
91	91	360	360	1.0	0	0	4/4	2	1	vi7		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
91	91	361	361	1.0	1/4	1/4	4/4	2	1	viio7/bVII		C	I		viio7/bVII	vii	o	7		bVII			o7	0	0	3, 0, -3, -6		3	3
91	91	362	362	1.0	1/2	1/2	4/4	2	1	ii43		C	I		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
91	91	363	363	0.5	3/4	3/4	4/4	2	1	viio7/bVII		C	I		viio7/bVII	vii	o	7		bVII			o7	0	0	3, 0, -3, -6		3	3
91	91	727/2	727/2	0.5	7/8	7/8	4/4	2	1	vii%7/bVII		C	I		vii%7/bVII	vii	%	7		bVII			%7	0	0	3, 0, -3, 1		3	3
92	92	364	364	1.0	0	0	4/4	2	1	bVII[V7(4)/bIII		C	I	bVII	V7(4)/bIII	V		7	4	bIII			Mm7	0	0	-2, -3, -1, -4		-2	-2
92	92	365	365	1.0	1/4	1/4	4/4	2	1	V7/bIII		C	I	bVII	V7/bIII	V		7		bIII			Mm7	0	0	-2, 2, -1, -4		-2	-2
92	92	366	366	1.0	1/2	1/2	4/4	2	1	viio7/bVII		C	I	bVII	viio7/bVII	vii	o	7		bVII			o7	0	0	3, 0, -3, -6		3	3
92	92	367	367	0.3333333333333144	3/4	3/4	4/4	2	1	V7(b9)/bIII		C	I	bVII	V7(b9)/bIII	V		7	b9	bIII			Mm7	0	0	-2, 2, -1, -4	-7	-2	-2
92	92	1102/3	1102/3	0.6666666666666856	5/6	5/6	4/4	2	1	V7/bIII]		C	I	bVII	V7/bIII	V		7		bIII			Mm7	0	0	-2, 2, -1, -4		-2	-2
93	93	368	368	1.0	0	0	4/4	2	1	i7		C	I		i7	i		7					mm7	0	0	0, -3, 1, -2		0	0
93	93	369	369	1.0	1/4	1/4	4/4	2	1	viio65/bVII		C	I		viio65/bVII	vii	o	65		bVII			o7	0	0	0, -3, -6, 3		3	0
93	93	370	370	1.0	1/2	1/2	4/4	2	1	iv43		C	I		iv43	iv		43					mm7	0	0	0, -3, -1, -4		-1	0
93	93	371	371	0.5	3/4	3/4	4/4	2	1	V(b10)/iv		C	I		V(b10)/iv	V			b10	iv			M	0	0	0, 4, 1	-3	0	0
93	93	743/2	743/2	0.5	7/8	7/8	4/4	2	1	iv43		C	I		iv43	iv		43					mm7	0	0	0, -3, -1, -4		-1	0
94	94	372	372	1.0	0	0	4/4	2	1	V7(96)/bIII		C	I		V7(96)/bIII	V		7	96	bIII			Mm7	0	0	-2, 2, 1, -4	0	-2	-2
94	94	373	373	0.5	1/4	1/4	4/4	2	1	V7/bIII		C	I		V7/bIII	V		7		bIII			Mm7	0	0	-2, 2, -1, -4		-2	-2
94	94	747/2	747/2	0.5	3/8	3/8	4/4	2	1	bVI6		C	I		bVI6	bVI		6					M	0	0	0, -3, -4		-4	0
94	94	374	374	0.5	1/2	1/2	4/4	2	1	viio6(2)/bIII		C	I		viio6(2)/bIII	vii	o	6	2	bIII			o	0	0	-1, -4, -3		2	-1
94	94	749/2	749/2	0.5	5/8	5/8	4/4	2	1	viio6/bIII		C	I		viio6/bIII	vii	o	6		bIII			o	0	0	-1, -4, 2		2	-1
94	94	375	375	0.5	3/4	3/4	4/4	2	1	V(4)/bIII		C	I		V(4)/bIII	V			4	bIII			M	0	0	-2, -3, -1		-2	-2
94	94	751/2	751/2	0.5	7/8	7/8	4/4	2	1	V/bIII		C	I		V/bIII	V				bIII			M	0	0	-2, 2, -1		-2	-2
95	95	376	376	1.0	0	0	4/4	2	1	i7		C	I		i7	i		7					mm7	0	0	0, -3, 1, -2		0	0
95	95	377	377	1.0	1/4	1/4	4/4	2	1	viio43/V		C	I		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
95	95	378	378	1.0	1/2	1/2	4/4	2	1	iv43		C	I		iv43	iv		43					mm7	0	0	0, -3, -1, -4		-1	0
95	95	379	379	0.5	3/4	3/4	4/4	2	1	viio43/V		C	I		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
95	95	759/2	759/2	0.5	7/8	7/8	4/4	2	1	i7(#4)		C	I		i7(#4)	i		7	#4				mm7	0	0	0, -3, 6, -2		0	0
96	96	380	380	2.0	0	0	4/4	2	1	III.V43/V		C	III		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
96	96	382	382	0.5	1/2	1/2	4/4	2	1	V7(6)/V		C	III		V7(6)/V	V		7	6	V			Mm7	0	0	2, 6, 5, 0		2	2
96	96	765/2	765/2	1.5	5/8	5/8	4/4	2	1	V7/V		C	III		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
97	97	384	384	1.5	0	0	4/4	2	1	I6		C	III		I6	I		6					M	0	0	4, 1, 0		0	4
97	97	771/2	771/2	0.5	3/8	3/8	4/4	2	1	vii%2/V		C	III		vii%2/V	vii	%	2		V			%7	0	0	4, 6, 3, 0		6	4
97	97	386	386	0.5	1/2	1/2	4/4	2	1	V43(4)		C	III		V43(4)	V		43	4				Mm7	0	0	2, -1, 1, 0		1	2
97	97	773/2	773/2	1.0	5/8	5/8	4/4	2	1	V43		C	III		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
97	97	775/2	775/2	0.5	7/8	7/8	4/4	2	1	viio6		C	III		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
98	98	388	388	1.0	0	0	4/4	2	1	I6		C	III		I6	I		6					M	0	0	4, 1, 0		0	4
98	98	389	389	0.5	1/4	1/4	4/4	2	1	ii(b64)		C	III		ii(b64)	ii			b64				m	0	0	2, 1, -2		2	2
98	98	779/2	779/2	0.5	3/8	3/8	4/4	2	1	ii		C	III		ii	ii							m	0	0	2, -1, 3		2	2
98	98	390	390	0.5	1/2	1/2	4/4	2	1	ii65		C	III		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
98	98	781/2	781/2	0.5	5/8	5/8	4/4	2	1	#viio2(4)/vi		C	III		#viio2(4)/vi	#vii	o	2	4	vi			o7	0	0	-1, 8, 0, 2		8	-1
98	98	391	391	0.5	3/4	3/4	4/4	2	1	#viio2/vi		C	III		#viio2/vi	#vii	o	2		vi			o7	0	0	-1, 8, 5, 2		8	-1
98	98	783/2	783/2	0.5	7/8	7/8	4/4	2	1	ii6		C	III		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
