mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
101	101	101	101a	400	4.0	4	4/4	1	0						102
102	102	102	102a	404	4.0	4	4/4	1	0						103
103	103	103	103a	408	4.0	4	4/4	1	0						104
104	104	104	104a	412	4.0	4	4/4	1	0						105
105	105	105	105a	416	4.0	4	4/4	1	0						106
106	106	106	106a	420	4.0	4	4/4	1	0						107
107	107	107	107a	424	4.0	4	4/4	1	0						108
108	108	108	108a	428	4.0	4	4/4	1	0			double			109
109	109	109	109a	432	4.0	3	4/4	1	0						110
110	110	110	110a	436	4.0	3	4/4	1	0						111
111	111	111	111a	440	4.0	3	4/4	1	0						112
112	112	112	112a	444	4.0	3	4/4	1	0						113
113	113	113	113a	448	4.0	3	4/4	1	0						114
114	114	114	114a	452	4.0	3	4/4	1	0						115
115	115	115	115a	456	4.0	3	4/4	1	0						116
116	116	116	116a	460	4.0	3	4/4	1	0						117
117	117	117	117a	464	4.0	3	4/4	1	0			double			118
118	118	118	118a	468	4.0	0	4/4	1	0						119
119	119	119	119a	472	4.0	0	4/4	1	0						120
120	120	120	120a	476	4.0	0	4/4	1	0						121
121	121	121	121a	480	4.0	0	4/4	1	0			double			122
122	122	122	122a	484	4.0	-3	4/4	1	0						123
123	123	123	123a	488	4.0	-3	4/4	1	0						124
124	124	124	124a	492	4.0	-3	4/4	1	0						125
125	125	125	125a	496	4.0	-3	4/4	1	0						126
126	126	126	126a	500	4.0	-3	4/4	1	0						127
127	127	127	127a	504	4.0	-3	4/4	1	0						128
128	128	128	128a	508	4.0	-3	4/4	1	0						129
129	129	129	129a	512	4.0	-3	4/4	1	0						130
130	130	130	130a	516	4.0	-3	4/4	1	0						131
131	131	131	131a	520	4.0	-3	4/4	1	0						132
132	132	132	132a	524	4.0	-3	4/4	1	0						133
133	133	133	133a	528	4.0	-3	4/4	1	0						134
134	134	134	134a	532	4.0	-3	4/4	1	0						135
135	135	135	135a	536	4.0	-3	4/4	1	0						136
136	136	136	136a	540	4.0	-3	4/4	1	0						137
137	137	137	137a	544	4.0	-3	4/4	1	0						138
138	138	138	138a	548	4.0	-3	4/4	1	0						139
139	139	139	139a	552	4.0	-3	4/4	1	0						140
140	140	140	140a	556	4.0	-3	4/4	1	0						141
141	141	141	141a	560	4.0	-3	4/4	1	0						142
142	142	142	142a	564	4.0	-3	4/4	1	0						143
143	143	143	143a	568	4.0	-3	4/4	1	0						144
144	144	144	144a	572	4.0	-3	4/4	1	0						145
145	145	145	145a	576	4.0	-3	4/4	1	0						146
146	146	146	146a	580	4.0	-3	4/4	1	0						147
147	147	147	147a	584	4.0	-3	4/4	1	0						148
148	148	148	148a	588	4.0	-3	4/4	1	0						149
149	149	149	149a	592	4.0	-3	4/4	1	0						150
150	150	150	150a	596	4.0	-3	4/4	1	0			double			151
151	151	151	151a	600	4.0	0	4/4	1	0						152
152	152	152	152a	604	4.0	0	4/4	1	0						153
153	153	153	153a	608	4.0	0	4/4	1	0						154
154	154	154	154a	612	4.0	0	4/4	1	0						155
155	155	155	155a	616	4.0	0	4/4	1	0						156
156	156	156	156a	620	4.0	0	4/4	1	0						157
157	157	157	157a	624	4.0	0	4/4	1	0						158
158	158	158	158a	628	4.0	0	4/4	1	0						159
159	159	159	159a	632	4.0	0	4/4	1	0						160
160	160	160	160a	636	4.0	0	4/4	1	0						161
161	161	161	161a	640	4.0	0	4/4	1	0						162
162	162	162	162a	644	4.0	0	4/4	1	0						163
163	163	163	163a	648	4.0	0	4/4	1	0						164
164	164	164	164a	652	4.0	0	4/4	1	0						165
165	165	165	165a	656	4.0	0	4/4	1	0						166
166	166	166	166a	660	4.0	0	4/4	1	0						167
167	167	167	167a	664	4.0	0	4/4	1	0						168
168	168	168	168a	668	4.0	0	4/4	1	0						169
169	169	169	169a	672	4.0	0	4/4	1	0						170
170	170	170	170a	676	4.0	0	4/4	1	0						171
171	171	171	171a	680	4.0	0	4/4	1	0						172
172	172	172	172a	684	4.0	0	4/4	1	0						173
173	173	173	173a	688	4.0	0	4/4	1	0						174
174	174	174	174a	692	4.0	0	4/4	1	0						175
175	175	175	175a	696	4.0	0	4/4	1	0						176
176	176	176	176a	700	4.0	0	4/4	1	0						177
177	177	177	177a	704	4.0	0	4/4	1	0						178
178	178	178	178a	708	4.0	0	4/4	1	0						179
179	179	179	179a	712	4.0	0	4/4	1	0						180
180	180	180	180a	716	4.0	0	4/4	1	0						181
181	181	181	181a	720	4.0	0	4/4	1	0						182
182	182	182	182a	724	4.0	0	4/4	1	0						183
183	183	183	183a	728	4.0	0	4/4	1	0						184
184	184	184	184a	732	4.0	0	4/4	1	0						185
185	185	185	185a	736	4.0	0	4/4	1	0						186
186	186	186	186a	740	4.0	0	4/4	1	0						187
187	187	187	187a	744	4.0	0	4/4	1	0						188
188	188	188	188a	748	4.0	0	4/4	1	0						189
189	189	189	189a	752	4.0	0	4/4	1	0						190
190	190	190	190a	756	4.0	0	4/4	1	0						191
191	191	191	191a	760	4.0	0	4/4	1	0						192
192	192	192	192a	764	4.0	0	4/4	1	0						193
193	193	193	193a	768	4.0	0	4/4	1	0						194
194	194	194	194a	772	4.0	0	4/4	1	0						195
195	195	195	195a	776	4.0	0	4/4	1	0						196
196	196	196	196a	780	4.0	0	4/4	1	0						197
197	197	197	197a	784	4.0	0	4/4	1	0						198
198	198	198	198a	788	4.0	0	4/4	1	0						199
199	199	199	199a	792	4.0	0	4/4	1	0						200
200	200	200	200a	796	4.0	0	4/4	1	0						201
201	201	201	201a	800	4.0	0	4/4	1	0						202
202	202	202	202a	804	4.0	0	4/4	1	0						203
203	203	203	203a	808	4.0	0	4/4	1	0						204
204	204	204	204a	812	4.0	0	4/4	1	0						205
205	205	205	205a	816	4.0	0	4/4	1	0						206
206	206	206	206a	820	4.0	0	4/4	1	0						207
207	207	207	207a	824	4.0	0	4/4	1	0						208
208	208	208	208a	828	4.0	0	4/4	1	0						209
209	209	209	209a	832	4.0	0	4/4	1	0						210
210	210	210	210a	836	4.0	0	4/4	1	0						211
211	211	211	211a	840	4.0	0	4/4	1	0						212
212	212	212	212a	844	4.0	0	4/4	1	0						213
213	213	213	213a	848	4.0	0	4/4	1	0						214
214	214	214	214a	852	4.0	0	4/4	1	0						215
215	215	215	215a	856	4.0	0	4/4	1	0						216
216	216	216	216a	860	4.0	0	4/4	1	0						217
217	217	217	217a	864	4.0	0	4/4	1	0						218
218	218	218	218a	868	4.0	0	4/4	1	0						219
219	219	219	219a	872	4.0	0	4/4	1	0						220
220	220	220	220a	876	4.0	0	4/4	1	0						221
221	221	221	221a	880	4.0	0	4/4	1	0			double			222
222	222	222	222a	884	4.0	0	4/4	1	0			end		lastMeasure	-1
