mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
93	87	341	345	1.0		0	0	2/2	1	1	1/4	1/4	1		0	48	C3	3	0
225	218	861	869	1.0		0	0	2/2	1	1	1/4	1/4	1		0	48	C3	3	1
