mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id
93	87	341	345	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	0
225	218	861	869	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	1
