mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	1	1a	0	0	0.0	0	3/4	Tempo	2/2	1	1	0	𝅘𝅥 =170	170.0	𝅘𝅥 	170.0	1.0
1	1	10	1b	32	0	0.0	0	3/4	Tempo	2/2	1	1	0	𝅘𝅥 =170	170.0	𝅘𝅥 	170.0	1.0
