mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
1	1	0	0	0.0	0	1	StaffText	9/8	1	1	0								"<font size=""8.9291""/><b>Lebhaft</b>"									
1	1	0	0	0.0	0	1	Tempo	9/8	1	1	0									𝅘𝅥 =120	120.0	𝅘𝅥 	120.0	1.0				
1	1	0	0	0.125	0	1	Chord	9/8	2	1	1/32			1/32	1	0									0			
1	1	1/8	1/8	0.0	1/32	33/32	Dynamic	9/8	2	1	0						f								0			
1	1	1/8	1/8	0.125	1/32	33/32	Chord	9/8	2	1	1/32			1/32	1	1									0			
1	1	1/4	1/4	0.125	1/16	17/16	Chord	9/8	2	1	1/32			1/32	1	2									0			
1	1	3/8	3/8	0.125	3/32	35/32	Chord	9/8	2	1	1/32			1/32	1	3												
2	2	1/2	1/2	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	4									1			
2	2	3/4	3/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	5									1			
2	2	1	1	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	6									1			
2	2	5/4	5/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	7									1			
2	2	3/2	3/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	8									1			
2	2	7/4	7/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	9									1			
2	2	2	2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	10									1			
2	2	9/4	9/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	11									1			
2	2	5/2	5/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	12									1			
2	2	11/4	11/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	13									1			
2	2	3	3	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	14									1			
2	2	13/4	13/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	15									1			
2	2	7/2	7/2	0.25	3/4	3/4	Chord	9/8	1	1	1/16			1/16	1	16									1			
2	2	15/4	15/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	17									1			
2	2	4	4	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	18												
2	2	9/2	9/2	0.0	1	1	Dynamic	9/8	2	1	0						f											
2	2	9/2	9/2	0.125	1	1	Chord	9/8	2	1	1/32			1/32	1	19									2			
2	2	37/8	37/8	0.125	33/32	33/32	Chord	9/8	2	1	1/32			1/32	1	20									2			
2	2	19/4	19/4	0.125	17/16	17/16	Chord	9/8	2	1	1/32			1/32	1	21									2			
2	2	39/8	39/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32			1/32	1	22												
3	3	5	5	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	23									3			
3	3	21/4	21/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	24									3			
3	3	11/2	11/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	25									3			
3	3	23/4	23/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	26									3			
3	3	6	6	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	27									3			
3	3	25/4	25/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	28									3			
3	3	13/2	13/2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	29									3			
3	3	27/4	27/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	30									3			
3	3	7	7	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	31									3			
3	3	29/4	29/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	32									3			
3	3	15/2	15/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	33									3			
3	3	31/4	31/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	34									3			
3	3	8	8	0.25	3/4	3/4	Chord	9/8	1	1	1/16			1/16	1	35									3			
3	3	33/4	33/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	36									3			
3	3	17/2	17/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	37												
3	3	9	9	0.0	1	1	Dynamic	9/8	2	1	0						f											
3	3	9	9	0.125	1	1	Chord	9/8	2	1	1/32			1/32	1	38									4			
3	3	73/8	73/8	0.125	33/32	33/32	Chord	9/8	2	1	1/32			1/32	1	39									4			
3	3	37/4	37/4	0.125	17/16	17/16	Chord	9/8	2	1	1/32			1/32	1	40									4			
3	3	75/8	75/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32			1/32	1	41												
4	4	19/2	19/2	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	42									5			
4	4	39/4	39/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	43									5			
4	4	10	10	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	44									5			
4	4	41/4	41/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	45									5			
4	4	21/2	21/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	46									5			
4	4	43/4	43/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	47									5			
4	4	11	11	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	48									5			
4	4	45/4	45/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	49									5			
4	4	23/2	23/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	50									5			
4	4	47/4	47/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	51									5			
4	4	12	12	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	52									5			
4	4	49/4	49/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	53									5			
4	4	25/2	25/2	0.25	3/4	3/4	Chord	9/8	1	1	1/16			1/16	1	54									5			
4	4	51/4	51/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	55									5			
4	4	13	13	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	56												
4	4	27/2	27/2	0.0	1	1	Dynamic	9/8	2	1	0						f											
4	4	27/2	27/2	0.125	1	1	Chord	9/8	2	1	1/32			1/32	1	57									6			
4	4	109/8	109/8	0.125	33/32	33/32	Chord	9/8	2	1	1/32			1/32	1	58									6			
4	4	55/4	55/4	0.125	17/16	17/16	Chord	9/8	2	1	1/32			1/32	1	59									6			
4	4	111/8	111/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32			1/32	1	60												
5	5	14	14	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	61									7			
5	5	57/4	57/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	62									7			
5	5	29/2	29/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	63									7			
5	5	59/4	59/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	64									7			
5	5	15	15	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	65									7			
5	5	61/4	61/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	66									7			
5	5	31/2	31/2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	67									7			
5	5	63/4	63/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	68									7			
5	5	16	16	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	69									7			
5	5	65/4	65/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	70									7			
5	5	33/2	33/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	71									7			
5	5	67/4	67/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	72									7			
5	5	17	17	0.25	3/4	3/4	Chord	9/8	1	1	1/16			1/16	1	73									7			
5	5	69/4	69/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	74									7			
5	5	35/2	35/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	75												
5	5	18	18	0.0	1	1	Dynamic	9/8	2	1	0						f											
5	5	18	18	0.125	1	1	Chord	9/8	2	1	1/32			1/32	1	76									8			
5	5	145/8	145/8	0.125	33/32	33/32	Chord	9/8	2	1	1/32			1/32	1	77									8			
5	5	73/4	73/4	0.125	17/16	17/16	Chord	9/8	2	1	1/32			1/32	1	78									8			
5	5	147/8	147/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32			1/32	1	79												
6	6	37/2	37/2	0.0	0	0	StaffText	9/8	1	1	0								"<font size=""8.185""/><i>sempre </i>"									
6	6	37/2	37/2	0.0	0	0	Dynamic	9/8	1	1	0						f											
6	6	37/2	37/2	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	80									9			
6	6	75/4	75/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	81									9			
6	6	19	19	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	82									9			
6	6	77/4	77/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	83									9			
6	6	39/2	39/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	84									9			
6	6	79/4	79/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	85									9			
6	6	20	20	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	86									9			
6	6	81/4	81/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	87									9			
6	6	41/2	41/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	88									9			
6	6	83/4	83/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	89									9			
6	6	21	21	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	90									9			
6	6	85/4	85/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	91									9			
6	6	43/2	43/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	92									9			
6	6	45/2	45/2	0.125	1	1	Chord	9/8	1	1	1/32			1/32	1	93									10			
6	6	181/8	181/8	0.125	33/32	33/32	Chord	9/8	1	1	1/32			1/32	1	94									10			
6	6	91/4	91/4	0.125	17/16	17/16	Chord	9/8	1	1	1/32			1/32	1	95									10			
6	6	183/8	183/8	0.125	35/32	35/32	Chord	9/8	1	1	1/32			1/32	1	96									10			
6	6	20	20	0.0	3/8	3/8	Dynamic	9/8	2	1	0						p											
6	6	20	20	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	97		articStaccatissimoAbove										
6	6	83/4	83/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	98		articStaccatissimoAbove										
6	6	21	21	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	99		articStaccatissimoAbove										
6	6	43/2	43/2	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	100		articStaccatissimoAbove										
6	6	89/4	89/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	101		articStaccatissimoAbove										
6	6	45/2	45/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	102		articStaccatissimoAbove										
7	7	23	23	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	103									10			
7	7	93/4	93/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	104									10			
7	7	47/2	47/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	105									10			
7	7	95/4	95/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	106									10			
7	7	24	24	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	107									10			
7	7	97/4	97/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	108									10			
7	7	49/2	49/2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	109									10			
7	7	99/4	99/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	110									10			
7	7	25	25	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	111									10			
7	7	101/4	101/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	112									10			
7	7	51/2	51/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	113									10			
7	7	103/4	103/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	114									10			
7	7	26	26	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	115												
7	7	27	27	0.125	1	1	Chord	9/8	1	1	1/32			1/32	1	116									11			
7	7	217/8	217/8	0.125	33/32	33/32	Chord	9/8	1	1	1/32			1/32	1	117									11			
7	7	109/4	109/4	0.125	17/16	17/16	Chord	9/8	1	1	1/32			1/32	1	118									11			
7	7	219/8	219/8	0.125	35/32	35/32	Chord	9/8	1	1	1/32			1/32	1	119									11			
7	7	49/2	49/2	0.0	3/8	3/8	StaffText	9/8	2	1	0								"<font size=""8.185""/><i>cresc.</i>"									
7	7	49/2	49/2	0.0	3/8	3/8	Spanner	9/8	2	1	0															0		
7	7	49/2	49/2	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	120		articStaccatissimoAbove								0		
7	7	101/4	101/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	121		articStaccatissimoAbove								0		
7	7	51/2	51/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	122		articStaccatissimoAbove								0		
7	7	26	26	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	123		articStaccatissimoAbove								0		
7	7	107/4	107/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	124		articStaccatissimoAbove								0		
7	7	27	27	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	125		articStaccatissimoAbove								0		
8	8	55/2	55/2	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	126									11			
8	8	111/4	111/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	127									11			
8	8	28	28	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	128									11			
8	8	113/4	113/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	129									11			
8	8	57/2	57/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	130									11			
8	8	115/4	115/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	131									11			
8	8	29	29	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	132									11			
8	8	117/4	117/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	133									11			
8	8	59/2	59/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	134									11			
8	8	119/4	119/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	135									11			
8	8	30	30	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	136									11			
8	8	121/4	121/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	137									11			
8	8	61/2	61/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	138												
8	8	63/2	63/2	0.125	1	1	Chord	9/8	1	1	1/32			1/32	1	139									12			
8	8	253/8	253/8	0.125	33/32	33/32	Chord	9/8	1	1	1/32			1/32	1	140									12			
8	8	127/4	127/4	0.125	17/16	17/16	Chord	9/8	1	1	1/32			1/32	1	141									12			
8	8	255/8	255/8	0.125	35/32	35/32	Chord	9/8	1	1	1/32			1/32	1	142									12			
8	8	29	29	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	143		articStaccatissimoAbove								0		
8	8	119/4	119/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	144		articStaccatissimoAbove								0		
8	8	30	30	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	145		articStaccatissimoAbove								0		
8	8	61/2	61/2	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	146		articStaccatissimoAbove								0		
8	8	125/4	125/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	147		articStaccatissimoAbove								0		
8	8	63/2	63/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	148		articStaccatissimoAbove								0		
9	9	32	32	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	149									12			
9	9	129/4	129/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	150									12			
9	9	65/2	65/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	151									12			
9	9	131/4	131/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	152									12			
9	9	33	33	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	153									12			
9	9	133/4	133/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	154									12			
9	9	67/2	67/2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	155									12			
9	9	135/4	135/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	156									12			
9	9	34	34	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	157									12			
9	9	137/4	137/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	158									12			
9	9	69/2	69/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	159									12			
9	9	139/4	139/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	160									12			
9	9	35	35	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	161												
9	9	67/2	67/2	0.0	3/8	3/8	StaffText	9/8	2	1	0								"<font size=""8.185""/><i>più cresc.</i>"									
9	9	67/2	67/2	0.0	3/8	3/8	Spanner	9/8	2	1	0																	
9	9	67/2	67/2	0.0	3/8	3/8	Spanner	9/8	2	1	0															1		
9	9	67/2	67/2	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	162		articStaccatissimoAbove								1		
9	9	137/4	137/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	163		articStaccatissimoAbove								1		
9	9	69/2	69/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	164		articStaccatissimoAbove								1		
9	9	35	35	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	165		articStaccatissimoAbove								1		
9	9	143/4	143/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	166		articStaccatissimoAbove								1		
9	9	36	36	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	167		articStaccatissimoAbove								1		
10	10	147/4	147/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	168									13			
10	10	37	37	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	169									13			
10	10	149/4	149/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	170									13			
10	10	75/2	75/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	171									13			
10	10	151/4	151/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	172									13			
10	10	153/4	153/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	173									14			
10	10	77/2	77/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	174									14			
10	10	155/4	155/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	175									14			
10	10	39	39	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	176									14			
10	10	157/4	157/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	177												
10	10	159/4	159/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	178									15			
10	10	40	40	0.25	7/8	7/8	Chord	9/8	1	1	1/16			1/16	1	179									15			
10	10	161/4	161/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16			1/16	1	180									15			
10	10	81/2	81/2	0.25	1	1	Chord	9/8	1	1	1/16			1/16	1	181									15			
10	10	163/4	163/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16			1/16	1	182												
10	10	73/2	73/2	0.0	0	0	Dynamic	9/8	2	1	0						f									1		
10	10	73/2	73/2	1.5	0	0	Chord	9/8	2	1	3/8			1/4	3/2	183										1		
10	10	38	38	0.0	3/8	3/8	Dynamic	9/8	2	1	0						f											
10	10	38	38	0.0	3/8	3/8	Spanner	9/8	2	1	0																	
10	10	38	38	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	184		articStaccatissimoAbove										
10	10	155/4	155/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	185		articStaccatissimoAbove										
10	10	39	39	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	186		articStaccatissimoAbove										
10	10	79/2	79/2	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	187		articStaccatissimoAbove										
10	10	161/4	161/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	188		articStaccatissimoAbove										
10	10	81/2	81/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	189		articStaccatissimoAbove										
11	11	165/4	165/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	190									16			
11	11	83/2	83/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	191									16			
11	11	167/4	167/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	192									16			
11	11	42	42	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	193									16			
11	11	169/4	169/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	194												
11	11	171/4	171/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	195									17			
11	11	43	43	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	196									17			
11	11	173/4	173/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	197									17			
11	11	87/2	87/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	198									17			
11	11	175/4	175/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	199												
11	11	177/4	177/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	200									18			
11	11	89/2	89/2	0.25	7/8	7/8	Chord	9/8	1	1	1/16			1/16	1	201									18			
11	11	179/4	179/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16			1/16	1	202									18			
11	11	45	45	0.25	1	1	Chord	9/8	1	1	1/16			1/16	1	203									18			
11	11	181/4	181/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16			1/16	1	204												
11	11	41	41	1.5	0	0	Chord	9/8	2	1	3/8			1/4	3/2	205												
11	11	85/2	85/2	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	206		articStaccatissimoAbove										
11	11	173/4	173/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	207		articStaccatissimoAbove										
11	11	87/2	87/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	208		articStaccatissimoAbove										
11	11	44	44	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	209		articStaccatissimoAbove										
11	11	179/4	179/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	210		articStaccatissimoAbove										
11	11	45	45	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	211		articStaccatissimoAbove										
12	12	183/4	183/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	212									19			
12	12	46	46	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	213									19			
12	12	185/4	185/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	214									19			
12	12	93/2	93/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	215									19			
12	12	187/4	187/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	216												
12	12	189/4	189/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	217									20			
12	12	95/2	95/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	218									20			
12	12	191/4	191/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	219									20			
12	12	48	48	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	220									20			
12	12	193/4	193/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	221												
12	12	195/4	195/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	222									21			
12	12	49	49	0.25	7/8	7/8	Chord	9/8	1	1	1/16			1/16	1	223									21			
12	12	197/4	197/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16			1/16	1	224									21			
12	12	99/2	99/2	0.25	1	1	Chord	9/8	1	1	1/16			1/16	1	225									21			
12	12	199/4	199/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16			1/16	1	226												
12	12	91/2	91/2	0.0	0	0	StaffText	9/8	2	1	0								"<font size=""8.185""/><i>più </i>"									
12	12	91/2	91/2	0.0	0	0	Dynamic	9/8	2	1	0						f											
12	12	91/2	91/2	1.5	0	0	Chord	9/8	2	1	3/8			1/4	3/2	227												
12	12	47	47	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	228		articStaccatissimoAbove										
12	12	191/4	191/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	229		articStaccatissimoAbove										
12	12	48	48	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	230		articStaccatissimoAbove										
12	12	97/2	97/2	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	231		articStaccatissimoAbove										
12	12	197/4	197/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	232		articStaccatissimoAbove										
12	12	99/2	99/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	233		articStaccatissimoAbove										
13	13	201/4	201/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	234									22			
13	13	101/2	101/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	235									22			
13	13	203/4	203/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	236									22			
13	13	51	51	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	237									22			
13	13	205/4	205/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	238												
13	13	207/4	207/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	239									23			
13	13	52	52	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	240									23			
13	13	209/4	209/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	241									23			
13	13	105/2	105/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	242									23			
13	13	211/4	211/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	243												
13	13	213/4	213/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	244									24			
13	13	107/2	107/2	0.25	7/8	7/8	Chord	9/8	1	1	1/16			1/16	1	245									24			
13	13	215/4	215/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16			1/16	1	246									24			
13	13	54	54	0.25	1	1	Chord	9/8	1	1	1/16			1/16	1	247									24			
13	13	217/4	217/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16			1/16	1	248												
13	13	50	50	1.5	0	0	Chord	9/8	2	1	3/8			1/4	3/2	249												
13	13	103/2	103/2	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	250		articStaccatissimoAbove										
