mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	crescendo_hairpin	decrescendo_hairpin
1	1	1	1a	0	0	0.0	0	1	StaffText	9/8	1	1	0								"<font size=""8.9291""/><b>Lebhaft</b>"
1	1	1	1a	0	0	0.0	0	1	Tempo	9/8	1	1	0									𝅘𝅥 =120	120.0	𝅘𝅥 	120.0	1.0
1	1	1	1a	0	0	0.125	0	1	Chord	9/8	2	1	1/32			1/32	1	0									0
1	1	1	1a	1/8	1/8	0.0	1/32	33/32	Dynamic	9/8	2	1	0						f								0
1	1	1	1a	1/8	1/8	0.125	1/32	33/32	Chord	9/8	2	1	1/32			1/32	1	1									0
1	1	1	1a	1/4	1/4	0.125	1/16	17/16	Chord	9/8	2	1	1/32			1/32	1	2									0
1	1	1	1a	3/8	3/8	0.125	3/32	35/32	Chord	9/8	2	1	1/32			1/32	1	3
2	2	2	2a	1/2	1/2	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	4									1
2	2	2	2a	3/4	3/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	5									1
2	2	2	2a	1	1	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	6									1
2	2	2	2a	5/4	5/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	7									1
2	2	2	2a	3/2	3/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	8									1
2	2	2	2a	7/4	7/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	9									1
2	2	2	2a	2	2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	10									1
2	2	2	2a	9/4	9/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	11									1
2	2	2	2a	5/2	5/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	12									1
2	2	2	2a	11/4	11/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	13									1
2	2	2	2a	3	3	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	14									1
2	2	2	2a	13/4	13/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	15									1
2	2	2	2a	7/2	7/2	0.25	3/4	3/4	Chord	9/8	1	1	1/16			1/16	1	16									1
2	2	2	2a	15/4	15/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	17									1
2	2	2	2a	4	4	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	18
2	2	2	2a	9/2	9/2	0.0	1	1	Dynamic	9/8	2	1	0						f
2	2	2	2a	9/2	9/2	0.125	1	1	Chord	9/8	2	1	1/32			1/32	1	19									2
2	2	2	2a	37/8	37/8	0.125	33/32	33/32	Chord	9/8	2	1	1/32			1/32	1	20									2
2	2	2	2a	19/4	19/4	0.125	17/16	17/16	Chord	9/8	2	1	1/32			1/32	1	21									2
2	2	2	2a	39/8	39/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32			1/32	1	22
3	3	3	3a	5	5	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	23									3
3	3	3	3a	21/4	21/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	24									3
3	3	3	3a	11/2	11/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	25									3
3	3	3	3a	23/4	23/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	26									3
3	3	3	3a	6	6	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	27									3
3	3	3	3a	25/4	25/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	28									3
