mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
50	46	1/4	1/4	3/8	1	1	V65					c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
51	47	0	0	3/8	1	1	V7					c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
51	47	1/8	1/8	3/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.125	0.375	0.25
52	48	0	0	3/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	5	5	0.5	0.3125	0.4375	0.4166666666666667
53	49	0	0	3/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
53	49	1/8	1/8	3/8	1	1	ii%65					c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
53	49	1/4	1/4	3/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
54	50	0	0	3/8	1	1	i|PAC}					c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.125	0.5	0.2
55	51	0	0	3/8	1	1	ii%65					c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	1	2	0.3333333333333333	0.0	0.25	0.0
55	51	1/8	1/8	3/8	1	1	i64					c	i		i64	i		64					m	1	1	1, 0, -3		0	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
55	51	1/4	1/4	3/8	1	1	ii%43					c	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4	0	3	0.0	0.0	0.25	0.0
56	52	0	0	3/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
56	52	1/8	1/8	3/8	1	1	V2					c	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1	1	2	0.3333333333333333	0.0	0.25	0.0
56	52	1/4	1/4	3/8	1	1	i6					c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	2	0.0	0.0	0.25	0.0
57	53	0	0	3/8	1	1	ii%65					c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	3	3	0.5	0.1875	0.3125	0.375
57	53	1/4	1/4	3/8	1	1	ii7					c	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2	0	3	0.0	0.0	0.25	0.0
58	54	0	0	3/8	1	1	III+M7(9)					c	i		III+M7(9)	III	+M	7	9				+M7	1	1	-3, 1, 5, 2	-1	-3	-3	1	6	0.14285714285714285	0.0	0.5	0.0
58	54	1/4	1/4	3/8	1	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
59	55	0	0	3/8	1	1	ii65					c	i		ii65	ii		65					mm7	1	1	-1, 3, 0, 2		2	-1	0	3	0.0	0.0	0.25	0.0
59	55	1/8	1/8	3/8	1	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.4375	0.0
59	55	1/4	1/4	3/8	1	1	V7					c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	1	0.5	0.03125	0.03125	0.5
60	56	0	0	3/8	1	1	i|PAC}					c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.5	0.0
