mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
35	31	3/8	3/8	6/8	1	1	i6				F	vi		i6	i		6					m	0	1	-1, 3, 2		2	-1	3	3	0.5	0.375	0.375	0.5
36	32	0	0	6/8	1	1	V65				F	vi		V65	V		65					Mm7	0	1	7, 4, 1, 3		3	7	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
36	32	3/8	3/8	6/8	1	1	i6				F	vi		i6	i		6					m	0	1	-1, 3, 2		2	-1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
37	33	0	0	6/8	1	1	V65				F	vi		V65	V		65					Mm7	0	1	7, 4, 1, 3		3	7	3	4	0.42857142857142855	0.25	0.5	0.3333333333333333
37	33	3/8	3/8	6/8	1	1	i(4)				F	vi		i(4)	i			4				m	0	1	2, 1, 3		2	2	0	2	0.0	0.0	0.5	0.0
37	33	5/8	5/8	6/8	1	1	i				F	vi		i	i							m	0	1	2, -1, 3		2	2	1	2	0.3333333333333333	0.03125	0.21875	0.125
38	34	0	0	6/8	1	1	V|HC.SIM}				F	vi		V	V					HC.SIM	}	M	0	1	3, 7, 4		3	3	1	3	0.25	0.125	0.5	0.2
38	34	3/8	3/8	6/8	1	1	i6{				F	vi		i6	i		6				{	m	0	1	-1, 3, 2		2	-1	1	3	0.25	0.125	0.5	0.2
39	35	0	0	6/8	1	1	IV7(9)				F	vi		IV7(9)	IV		7	9				Mm7	0	1	1, 5, 2, -1	3	1	1	1	3	0.25	0.125	0.5	0.2
39	35	3/8	3/8	6/8	1	1	V7				F	vi		V7	V		7					Mm7	0	1	3, 7, 4, 1		3	3	1	3	0.25	0.125	0.5	0.2
40	36	0	0	6/8	1	1	VI				F	vi		VI	VI							M	0	1	-2, 2, -1		-2	-2	3	3	0.5	0.375	0.375	0.5
40	36	3/8	3/8	6/8	1	1	i6				F	vi		i6	i		6					m	0	1	-1, 3, 2		2	-1	2	2	0.5	0.25	0.375	0.4
41	37	0	0	6/8	1	1	IV7(9)				F	vi		IV7(9)	IV		7	9				Mm7	0	1	1, 5, 2, -1	3	1	1	1	3	0.25	0.125	0.5	0.2
41	37	3/8	3/8	6/8	1	1	V7				F	vi		V7	V		7					Mm7	0	1	3, 7, 4, 1		3	3	1	3	0.25	0.125	0.5	0.2
42	38	0	0	6/8	1	1	VI				F	vi		VI	VI							M	0	1	-2, 2, -1		-2	-2	2	3	0.4	0.25	0.5	0.3333333333333333
42	38	3/8	3/8	6/8	1	1	#viio43				F	vi		#viio43	#vii	o	43					o7	0	1	1, -2, 7, 4		7	1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
43	39	0	0	6/8	1	1	i6				F	vi		i6	i		6					m	0	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.5	0.0
43	39	1/4	1/4	6/8	1	1	ii%65				F	vi		ii%65	ii	%	65					%7	0	1	1, -2, 2, 4		4	1	0	2	0.0	0.0	0.25	0.0
43	39	3/8	3/8	6/8	1	1	V(64)				F	vi		V(64)	V			64				M	0	1	3, 2, -1		3	3	0	2	0.0	0.0	0.5	0.0
43	39	5/8	5/8	6/8	1	1	V				F	vi		V	V							M	0	1	3, 7, 4		3	3	1	2	0.3333333333333333	0.03125	0.21875	0.125
44	40	0	0	6/8	1	1	i|PAC}				F	vi		i	i					PAC	}	m	0	1	2, -1, 3		2	2	1	3	0.25	0.125	0.5	0.2
44	40	3/8	3/8	6/8	1	1	I.IV{				F	I		IV	IV						{	M	0	0	-2, 2, -1		-2	-2	1	3	0.25	0.125	0.5	0.2
45	41	0	0	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.625	0.0
45	41	3/8	3/8	6/8	1	1	V43				F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0	1	1	3	0.25	0.0	0.625	0.0
46	42	0	0	6/8	1	1	I				F	I		I	I							M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	0.5	0.2
46	42	3/8	3/8	6/8	1	1	IV				F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	1	3	0.25	0.125	0.5	0.2
47	43	0	0	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.625	0.0
47	43	3/8	3/8	6/8	1	1	V43				F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0	1	1	3	0.25	0.0	0.625	0.0
48	44	0	0	6/8	1	1	I				F	I		I	I							M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	0.5	0.2
48	44	3/8	3/8	6/8	1	1	V.IV				F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	0.5	0.2
49	45	0	0	6/8	1	1	I6				F	V		I6	I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.625	0.0
49	45	3/8	3/8	6/8	1	1	V43				F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2	1	3	0.25	0.0	0.625	0.0
50	46	0	0	6/8	1	1	I				F	V		I	I							M	0	0	0, 4, 1		0	0	1	3	0.25	0.125	0.5	0.2
50	46	3/8	3/8	6/8	1	1	IV				F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	0.5	0.2
51	47	0	0	6/8	1	1	I6				F	V		I6	I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.625	0.0
51	47	3/8	3/8	6/8	1	1	V43				F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2	1	3	0.25	0.0	0.625	0.0
52	48	0	0	6/8	1	1	I|IAC}				F	V		I	I					IAC	}	M	0	0	0, 4, 1		0	0	3	3	0.5	0.375	0.375	0.5
52	48	3/8	3/8	6/8	1	1	I.vi{				F	I		vi	vi						{	m	0	0	2, -1, 3		2	2	2	2	0.5	0.25	0.375	0.4
53	49	0	0	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.5	0.2
53	49	3/8	3/8	6/8	1	1	vi				F	I		vi	vi							m	0	0	2, -1, 3		2	2	2	2	0.5	0.25	0.375	0.4
54	50	0	0	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.5	0.2
54	50	3/8	3/8	6/8	1	1	vi				F	I		vi	vi							m	0	0	2, -1, 3		2	2	3	3	0.5	0.375	0.375	0.5
55	51	0	0	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	3	3	0.5	0.375	0.375	0.5
55	51	3/8	3/8	6/8	1	1	vi				F	I		vi	vi							m	0	0	2, -1, 3		2	2	3	3	0.5	0.375	0.375	0.5
56	52	0	0	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.5	0.2
56	52	3/8	3/8	6/8	1	1	IV				F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.25	0.0
56	52	1/2	1/2	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
56	52	5/8	5/8	6/8	1	1	V43				F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0	1	0	2	0.0	0.0	0.25	0.0
57	53	0	0	6/8	1	1	I				F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
57	53	1/8	1/8	6/8	1	1	V43				F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0	1	0	2	0.0	0.0	0.25	0.0
57	53	1/4	1/4	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
57	53	3/8	3/8	6/8	1	1	IV				F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.25	0.0
57	53	1/2	1/2	6/8	1	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
57	53	5/8	5/8	6/8	1	1	V43				F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0	1	0	2	0.0	0.0	0.25	0.0
58	54	0	0	6/8	1	1	I|PAC}				F	I		I	I					PAC	}	M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.625	0.0
